Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.614,2.794,2.614,2.745,977948.0,2.7445,2.5622,2.5573,2.5242,2.4878,2.4776,2.4893,2.5404,2.7597,2.7758,2.7198,2.6114,91.6487,75.8707,69.8472,58.7869
1/4/2000,2.778,2.811,2.745,2.745,784562.0,2.7788,2.621,2.5769,2.5397,2.4982,2.4829,2.4935,2.5368,2.7568,2.7738,2.7244,2.6182,91.6487,75.8707,69.8472,58.7869
1/5/2000,2.745,2.762,2.647,2.712,645030.0,2.7205,2.6602,2.5932,2.5487,2.5072,2.4878,2.4961,2.5322,2.752,2.7716,2.7275,2.6247,70.9248,69.499,65.7523,57.0735
1/6/2000,2.712,2.778,2.712,2.762,139532.0,2.75,2.706,2.6128,2.5658,2.5178,2.4956,2.5004,2.5292,2.7468,2.77,2.7309,2.6317,80.7293,73.285,68.7151,58.9309
1/7/2000,2.712,2.778,2.712,2.762,139532.0,2.75,2.706,2.6128,2.5658,2.5178,2.4956,2.5004,2.5292,2.7468,2.77,2.7309,2.6317,80.7293,73.285,68.7151,58.9309
1/10/2000,2.712,2.778,2.712,2.762,139532.0,2.75,2.706,2.6128,2.5658,2.5178,2.4956,2.5004,2.5292,2.7468,2.77,2.7309,2.6317,80.7293,73.285,68.7151,58.9309
1/11/2000,2.811,3.023,2.811,3.023,707452.0,2.9538,2.7975,2.6586,2.5944,2.5371,2.5095,2.5102,2.5311,2.744,2.7702,2.7359,2.6398,94.7884,84.6884,79.1001,66.8455
1/12/2000,3.023,3.35,2.941,3.268,1539748.0,3.1913,2.902,2.7321,2.6357,2.566,2.5295,2.5252,2.5393,2.7452,2.773,2.7422,2.6488,97.4276,89.4418,84.3462,72.0663
1/13/2000,3.268,3.333,3.219,3.252,2409988.0,3.2624,3.0034,2.8122,2.6716,2.5938,2.5509,2.5406,2.5483,2.745,2.7754,2.7477,2.658,92.7316,87.4067,82.8531,71.2921
1/14/2000,3.252,3.301,3.219,3.252,1795557.0,3.2641,3.1112,2.8857,2.7076,2.6207,2.5722,2.5546,2.5573,2.7448,2.778,2.753,2.6671,92.7316,87.4067,82.8531,71.2921
1/17/2000,3.268,3.415,3.268,3.366,2476082.0,3.3521,3.2321,2.969,2.7501,2.6529,2.5959,2.571,2.5703,2.7458,2.7819,2.7589,2.6763,95.8682,89.5193,85.0077,73.4304
1/18/2000,3.382,3.399,3.268,3.35,767426.0,3.3404,3.2975,3.0475,2.7909,2.6844,2.6194,2.5873,2.5815,2.747,2.7867,2.765,2.6855,87.7534,87.1691,83.3955,72.6309
1/19/2000,3.301,3.317,3.219,3.235,1048938.0,3.2535,3.2909,3.0965,2.8269,2.7149,2.64,2.6014,2.5905,2.7465,2.7896,2.7696,2.6944,46.4604,72.2347,72.964,67.323
1/20/2000,3.284,3.284,3.186,3.203,1727015.0,3.2206,3.2811,3.1422,2.8596,2.7405,2.6592,2.6148,2.6017,2.7465,2.7926,2.7738,2.7021,38.6633,68.4644,70.2599,65.8996
1/21/2000,3.235,3.252,3.219,3.219,894719.0,3.2336,3.2746,3.1929,2.8931,2.7634,2.6786,2.6288,2.6123,2.7466,2.7961,2.7778,2.7097,45.5205,69.3638,70.8418,66.2685
1/24/2000,3.219,3.268,3.17,3.17,200730.0,3.204,3.2354,3.2338,2.9233,2.7885,2.6968,2.6432,2.6226,2.746,2.7973,2.7809,2.7169,30.2848,63.273,66.63,64.1159
1/25/2000,3.137,3.186,3.121,3.17,342710.0,3.1555,3.1994,3.2485,2.9535,2.8124,2.7149,2.6573,2.6332,2.7452,2.8011,2.7842,2.7239,30.2848,63.273,66.63,64.1159
1/26/2000,3.268,3.35,3.154,3.186,608311.0,3.2629,3.1896,3.2403,2.9862,2.8372,2.7346,2.6716,2.6444,2.746,2.8039,2.7878,2.7301,44.2735,64.5849,67.3797,64.527
