Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
2/24/2000,2.8,2.8,2.613,2.613,10500.0,2.6895,2.6027,2.604,2.5173,2.4138,2.3227,2.2725,2.2471,2.3093,2.2871,2.1614,2.0984,59.6701,59.5456,60.3759,58.8743
2/25/2000,2.667,2.667,2.56,2.56,4500.0,2.6267,2.584,2.592,2.5253,2.428,2.3363,2.2824,2.2553,2.3129,2.2923,2.1654,2.1043,39.3367,53.242,56.3127,56.9067
2/28/2000,2.667,2.667,2.56,2.56,4500.0,2.6267,2.584,2.592,2.5253,2.428,2.3363,2.2824,2.2553,2.3129,2.2923,2.1654,2.1043,39.3367,53.242,56.3127,56.9067
2/29/2000,2.533,2.533,2.507,2.507,9000.0,2.52,2.5547,2.584,2.534,2.436,2.3473,2.2912,2.2616,2.316,2.2966,2.1695,2.11,26.031,47.576,52.5072,55.0051
3/1/2000,2.52,2.547,2.52,2.52,6000.0,2.53,2.552,2.5813,2.5393,2.4444,2.3603,2.2981,2.268,2.3191,2.3003,2.1739,2.1156,34.3574,49.0994,53.3558,55.3907
3/2/2000,2.493,2.507,2.493,2.493,6000.0,2.4967,2.5387,2.576,2.5407,2.4542,2.371,2.3067,2.274,2.3213,2.3033,2.1778,2.121,25.684,46.086,51.3784,54.4258
3/3/2000,2.493,2.493,2.467,2.493,6000.0,2.4867,2.5147,2.5587,2.542,2.4684,2.3833,2.3152,2.28,2.3224,2.3069,2.1816,2.1265,25.684,46.086,51.3784,54.4258
3/6/2000,2.493,2.493,2.467,2.493,6000.0,2.4867,2.5147,2.5587,2.542,2.4684,2.3833,2.3152,2.28,2.3224,2.3069,2.1816,2.1265,25.684,46.086,51.3784,54.4258
3/7/2000,2.533,2.533,2.493,2.493,4500.0,2.52,2.5013,2.5427,2.5493,2.4791,2.3957,2.3237,2.286,2.3235,2.3108,2.1857,2.132,25.684,46.086,51.3784,54.4258
3/8/2000,2.4,2.4,2.373,2.373,6000.0,2.3867,2.4747,2.5147,2.5507,2.484,2.4047,2.3299,2.29,2.3225,2.3133,2.1889,2.137,5.3132,33.0784,42.5214,50.0802
