Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.627,2.829,2.598,2.829,4418637.0,2.7577,2.6382,2.6324,2.5408,2.4727,2.4134,2.3977,2.3714,2.1556,2.1682,2.156,2.0479,93.973,80.5882,76.1404,68.405
1/4/2000,2.829,2.829,2.713,2.757,1898552.0,2.796,2.6728,2.6468,2.5624,2.4876,2.4278,2.4064,2.3794,2.1686,2.1701,2.1647,2.0571,66.5037,68.7149,68.2851,64.6687
1/5/2000,2.684,2.742,2.641,2.699,2602541.0,2.6887,2.6959,2.6497,2.5805,2.5001,2.4415,2.413,2.3868,2.1771,2.172,2.1727,2.0661,49.2338,60.6701,62.7112,61.872
1/6/2000,2.713,2.814,2.713,2.757,1651879.0,2.7715,2.7334,2.6613,2.5992,2.5136,2.456,2.4214,2.3952,2.1852,2.1746,2.181,2.0753,63.4651,65.2473,65.7242,63.5048
1/7/2000,2.713,2.814,2.713,2.757,1651879.0,2.7715,2.7334,2.6613,2.5992,2.5136,2.456,2.4214,2.3952,2.1852,2.1746,2.181,2.0753,63.4651,65.2473,65.7242,63.5048
1/10/2000,2.713,2.814,2.713,2.757,1651879.0,2.7715,2.7334,2.6613,2.5992,2.5136,2.456,2.4214,2.3952,2.1852,2.1746,2.181,2.0753,63.4651,65.2473,65.7242,63.5048
1/11/2000,2.757,3.031,2.757,2.973,5220325.0,2.9237,2.8027,2.6959,2.6266,2.5352,2.4755,2.4335,2.4065,2.1957,2.1792,2.19,2.0854,85.8219,76.6915,74.1573,68.7037
1/12/2000,2.973,3.319,2.944,3.262,10649214.0,3.1826,2.8893,2.7637,2.667,2.5679,2.5014,2.4514,2.4236,2.2104,2.1862,2.2004,2.097,93.6245,84.3981,80.9037,73.8433
1/13/2000,3.262,3.695,3.262,3.637,29898731.0,3.559,3.0654,2.8691,2.7204,2.6108,2.5368,2.4763,2.447,2.228,2.1963,2.2125,2.1103,96.9247,89.4834,86.0149,78.5751
1/14/2000,3.637,3.723,3.608,3.695,9204513.0,3.676,3.2645,2.9802,2.7803,2.6555,2.5696,2.5028,2.4725,2.2471,2.2063,2.2248,2.1236,97.2529,90.045,86.6088,79.1746
1/17/2000,3.695,3.868,3.579,3.637,10929147.0,3.7239,3.4406,3.087,2.8395,2.6983,2.6039,2.5296,2.497,2.2648,2.2161,2.2371,2.1364,83.8341,84.942,82.8215,76.947
