Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,6.0,6.12,6.0,6.12,66664.0,6.1127,5.9582,5.9822,5.8667,5.7912,5.7595,5.7572,5.7172,5.5481,5.547,5.2425,5.1107,82.3355,67.3151,64.3849,61.0096
1/4/2000,6.12,6.18,6.12,6.12,11666.0,6.1288,5.9822,5.9942,5.8922,5.8022,5.7685,5.7662,5.7282,5.5556,5.5512,5.2565,5.1214,82.3355,67.3151,64.3849,61.0096
1/5/2000,6.06,6.06,5.97,5.97,16666.0,6.0092,6.0002,5.9792,5.9147,5.8142,5.7737,5.7704,5.7367,5.5619,5.554,5.2699,5.1308,39.3448,52.9549,54.7744,56.1927
1/6/2000,6.0,6.0,6.0,6.0,59998.0,6.0002,6.0242,5.9792,5.9417,5.8262,5.7797,5.7752,5.7457,5.5685,5.557,5.2829,5.14,47.5592,55.1096,56.1831,56.8968
1/7/2000,6.0,6.0,6.0,6.0,59998.0,6.0002,6.0242,5.9792,5.9417,5.8262,5.7797,5.7752,5.7457,5.5685,5.557,5.2829,5.14,47.5592,55.1096,56.1831,56.8968
1/10/2000,6.0,6.0,6.0,6.0,59998.0,6.0002,6.0242,5.9792,5.9417,5.8262,5.7797,5.7752,5.7457,5.5685,5.557,5.2829,5.14,47.5592,55.1096,56.1831,56.8968
1/11/2000,6.18,6.3,6.0,6.0,229991.0,6.1568,6.0422,5.9792,5.9687,5.8392,5.7872,5.7812,5.7547,5.5766,5.5602,5.2959,5.1493,47.5592,55.1096,56.1831,56.8968
1/12/2000,6.12,6.54,6.12,6.36,43332.0,6.3579,6.0902,6.0242,6.0137,5.8632,5.8052,5.7938,5.7692,5.5892,5.5667,5.3102,5.1604,88.7383,73.5253,69.4336,64.2713
1/13/2000,6.48,6.72,6.48,6.6,151661.0,6.6392,6.1862,6.0842,6.0437,5.8962,5.83,5.8112,5.7867,5.6069,5.5752,5.3257,5.1727,93.6918,79.7544,74.8861,68.042
1/14/2000,6.54,6.6,6.48,6.48,46665.0,6.5317,6.2883,6.1442,6.0677,5.9252,5.851,5.8262,5.8017,5.6234,5.5827,5.3399,5.1844,70.4508,70.4328,68.3235,64.5199
1/17/2000,6.48,6.66,6.48,6.54,163327.0,6.5752,6.3963,6.2102,6.0947,5.9552,5.8742,5.8388,5.8182,5.6408,5.591,5.3545,5.1964,75.0859,72.2567,69.7509,65.4451
1/18/2000,7.2,8.34,6.96,7.98,993294.0,7.8593,6.7923,6.4173,6.1937,6.0332,5.9335,5.8832,5.8587,5.6708,5.6097,5.3749,5.2156,96.2518,89.5921,86.026,79.0246
1/19/2000,7.98,9.12,7.98,8.34,946629.0,8.5649,7.1883,6.6393,6.3108,6.1242,6.0032,5.9354,5.9042,5.7023,5.6317,5.3974,5.2369,97.1574,91.1478,87.7941,80.9598
1/20/2000,8.34,8.64,8.34,8.58,693306.0,8.5489,7.5843,6.8853,6.4398,6.2232,6.073,5.9918,5.9527,5.7353,5.657,5.4212,5.2595,97.7106,92.0401,88.8105,82.0988
1/21/2000,8.7,8.7,8.52,8.7,184993.0,8.6101,8.0283,7.1583,6.5688,6.3293,6.1502,6.0506,6.0017,5.7707,5.6837,5.4452,5.2829,98.0021,92.4672,89.2907,82.636
1/24/2000,8.64,8.88,8.58,8.88,283322.0,8.7268,8.4963,7.4463,6.7128,6.4433,6.2312,6.113,6.0537,5.8076,5.7115,5.4699,5.3072,98.4471,93.0927,89.985,83.4087
1/25/2000,8.7,8.7,8.46,8.64,289988.0,8.6314,8.6283,7.7103,6.8448,6.5493,6.307,6.1718,6.1027,5.8421,5.737,5.4922,5.3312,68.1077,82.7824,82.3216,78.5853
1/26/2000,8.52,8.52,8.28,8.34,88330.0,8.4015,8.6283,7.9083,6.9663,6.6453,6.3745,6.2258,6.1462,5.873,5.7607,5.5124,5.3555,43.1652,71.6268,73.8546,73.1177
1/27/2000,8.4,8.4,7.92,7.98,151661.0,8.1399,8.5083,8.0463,7.0653,6.7113,6.4338,6.2733,6.1837,5.9,5.7827,5.5311,5.378,26.0157,60.6019,65.1898,67.3046
1/28/2000,8.1,8.1,7.56,7.62,184993.0,7.7668,8.2923,8.1603,7.1523,6.7653,6.484,6.3129,6.2152,5.9228,5.8012,5.5472,5.3986,16.3011,51.6569,57.8772,62.1899
1/31/2000,7.68,7.92,7.68,7.8,38332.0,7.8029,8.0763,8.2863,7.2483,6.8253,6.538,6.3567,6.2467,5.9471,5.8212,5.5642,5.419,34.6133,55.3629,60.2766,63.6199
2/1/2000,7.68,7.92,7.68,7.8,38332.0,7.8029,8.0763,8.2863,7.2483,6.8253,6.538,6.3567,6.2467,5.9471,5.8212,5.5642,5.419,34.6133,55.3629,60.2766,63.6199
2/2/2000,8.04,8.28,8.04,8.28,63331.0,8.2109,8.0043,8.3163,7.3668,6.9013,6.604,6.4101,6.2888,5.9762,5.8452,5.5839,5.4425,65.1298,63.7092,65.861,67.0569
2/3/2000,8.28,8.28,8.1,8.22,218325.0,8.2148,7.9803,8.3043,7.4718,6.9753,6.6693,6.4635,6.3303,6.0044,5.8687,5.6027,5.4655,59.8891,62.077,64.6378,66.2476
2/4/2000,8.28,8.28,8.1,8.22,218325.0,8.2148,7.9803,8.3043,7.4718,6.9753,6.6693,6.4635,6.3303,6.0044,5.8687,5.6027,5.4655,59.8891,62.077,64.6378,66.2476
2/7/2000,8.28,8.28,8.1,8.22,218325.0,8.2148,7.9803,8.3043,7.4718,6.9753,6.6693,6.4635,6.3303,6.0044,5.8687,5.6027,5.4655,59.8891,62.077,64.6378,66.2476
2/8/2000,8.4,8.4,8.22,8.22,241657.0,8.2613,8.0283,8.2683,7.5768,7.0493,6.7345,6.5121,6.3713,6.0326,5.8925,5.6221,5.4886,59.8891,62.077,64.6378,66.2476
2/9/2000,8.22,8.58,7.98,8.16,124995.0,8.3531,8.1363,8.2143,7.6863,7.1173,6.8005,6.5631,6.4113,6.0602,5.916,5.6404,5.5115,50.7083,60.1273,63.2748,65.4029
2/10/2000,8.1,8.16,8.1,8.1,13333.0,8.1153,8.1963,8.1363,7.7913,7.1873,6.8665,6.6123,6.4503,6.0872,5.939,5.6592,5.5337,41.2282,58.0753,61.8698,64.5514
2/11/2000,8.16,8.28,8.16,8.28,18333.0,8.2421,8.1963,8.1003,7.9053,7.2633,6.937,6.6657,6.4933,6.116,5.9647,5.6792,5.5568,68.0813,62.4055,64.4221,65.928
2/14/2000,8.28,8.46,8.28,8.46,39998.0,8.3178,8.2443,8.1123,8.0103,7.3483,7.012,6.7221,6.5403,6.1466,5.9927,5.7006,5.5802,81.0611,66.319,66.8142,67.244
2/15/2000,8.4,8.46,8.28,8.46,58331.0,8.3866,8.2923,8.1603,8.1033,7.4303,7.0735,6.7791,6.5878,6.1772,6.023,5.7217,5.6035,81.0611,66.319,66.8142,67.244
2/16/2000,8.34,8.4,8.34,8.4,34999.0,8.3603,8.3403,8.2383,8.1993,7.5143,7.1335,6.8349,6.6338,6.2069,6.0527,5.7427,5.6258,62.1163,63.529,65.1215,66.3301
2/17/2000,8.34,8.4,8.34,8.34,21666.0,8.3634,8.3883,8.2923,8.2893,7.5963,7.192,6.8889,6.6793,6.236,6.0822,5.7629,5.648,45.9928,60.6582,63.392,65.4105
2/18/2000,8.34,8.34,8.28,8.34,16666.0,8.3283,8.4003,8.2983,8.3073,7.6773,7.2505,6.9429,6.7248,6.2661,6.1102,5.7829,5.6681,45.9928,60.6582,63.392,65.4105
2/21/2000,8.34,8.34,8.16,8.16,68331.0,8.3169,8.3403,8.2923,8.2983,7.7453,7.3045,6.9939,6.7683,6.2937,6.135,5.8016,5.6875,16.7119,51.7748,58.0297,62.6232
2/22/2000,8.16,8.22,7.98,7.98,34999.0,8.0603,8.2443,8.2683,8.2683,7.8073,7.354,7.0413,6.8048,6.3195,6.1575,5.8187,5.7059,8.5485,44.4511,53.1848,59.9791
2/23/2000,8.04,8.16,8.04,8.16,5000.0,8.1203,8.1963,8.2683,8.2413,7.8803,7.405,7.0941,6.8473,6.3471,6.1825,5.8371,5.7248,47.2209,52.0772,57.0468,61.654
2/24/2000,8.1,8.1,8.1,8.1,28332.0,8.1003,8.1483,8.2683,8.2023,7.9503,7.4575,7.1469,6.8883,6.3747,6.2067,5.8552,5.7431,38.9792,49.5274,55.4061,60.7769
2/25/2000,8.04,8.1,7.86,7.86,43332.0,8.0288,8.0523,8.2263,8.1633,8.0123,7.5041,7.1949,6.9258,6.4011,6.229,5.8731,5.7593,19.0402,40.5854,49.2982,57.3982
2/28/2000,7.86,7.86,7.74,7.74,6666.0,7.8153,7.9683,8.1543,8.1333,8.0583,7.5498,7.2405,6.9608,6.4245,6.2497,5.8899,5.7745,13.7609,36.8436,46.5358,55.7939
2/29/2000,7.68,7.74,7.62,7.74,23332.0,7.6589,7.9203,8.0823,8.1213,8.0963,7.5933,7.2753,6.9963,6.4479,6.2703,5.9061,5.7901,13.7609,36.8436,46.5358,55.7939
3/1/2000,7.68,7.74,7.68,7.74,14999.0,7.7136,7.8363,8.0163,8.1273,8.1383,7.6398,7.3101,7.0318,6.471,6.2903,5.9222,5.8052,13.7609,36.8436,46.5358,55.7939
3/2/2000,7.8,7.92,7.74,7.8,51665.0,7.8216,7.7763,7.9623,8.1273,8.1803,7.6878,7.3461,7.0678,6.4944,6.3105,5.9396,5.8205,41.2499,40.7335,48.3434,56.4674
3/3/2000,7.68,7.92,7.68,7.92,28332.0,7.7897,7.7883,7.9203,8.1093,8.1783,7.7381,7.3845,7.1058,6.519,6.3318,5.9579,5.8364,69.9681,47.9472,51.8497,57.7977
3/6/2000,7.92,7.92,7.68,7.68,18333.0,7.8767,7.7763,7.8723,8.0823,8.1563,7.7771,7.4181,7.1403,6.5412,6.3508,5.9751,5.8507,28.3678,37.6393,45.2363,54.3607
