Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D
7/3/2001,11.875,12.125,11.875,12.125,480.0,12.0,12.2333,12.2917,12.3854,12.4125,12.5083,12.2358,11.8167,11.7054,11.7597,12.3676,12.6442,32.3264,39.8956,50.0966,44.5285
7/4/2001,11.833,12.083,11.833,12.083,1200.0,11.9333,12.1667,12.2708,12.3604,12.4014,12.4917,12.2858,11.8479,11.7042,11.7583,12.3579,12.6358,27.0806,38.1999,49.6474,43.4144
7/5/2001,12.083,12.25,12.083,12.25,720.0,12.1944,12.1417,12.2458,12.3438,12.3931,12.475,12.3375,11.8819,11.7025,11.7601,12.3495,12.6129,63.0537,48.1222,51.4488,48.9197
7/6/2001,12.0,12.333,12.0,12.333,9600.0,12.2688,12.1917,12.2375,12.3313,12.3889,12.4583,12.3942,11.9208,11.705,11.7618,12.3426,12.5896,73.0318,52.4193,52.3309,51.4625
7/9/2001,12.375,13.25,12.375,12.917,27840.0,12.805,12.3417,12.3167,12.3479,12.4097,12.4479,12.4592,11.9764,11.7125,11.7708,12.338,12.5688,92.9692,71.2032,57.8732,64.7067
7/10/2001,13.0,13.417,12.833,13.417,24240.0,13.1914,12.6,12.4167,12.3896,12.4431,12.4542,12.5192,12.0472,11.7263,11.7826,12.3356,12.5508,96.3954,79.1431,61.8104,71.8077
7/11/2001,13.333,13.5,13.25,13.5,11760.0,13.3793,12.8833,12.525,12.4396,12.4778,12.4771,12.5625,12.1153,11.7408,11.7938,12.3338,12.5325,96.7869,80.1683,62.416000000000004,72.7903
7/12/2001,13.333,13.333,13.0,13.25,26880.0,13.2076,13.0833,12.6125,12.4813,12.5028,12.4958,12.5783,12.1708,11.7533,11.8035,12.3306,12.5175,65.0146,68.7608,59.4883,65.4233
7/13/2001,13.25,13.667,13.167,13.667,44880.0,13.4505,13.35,12.7708,12.5438,12.5431,12.526,12.6,12.2431,11.7725,11.8184,12.3296,12.5092,80.7844,75.3401,62.5194,70.7388
7/16/2001,13.667,14.25,13.667,14.25,38400.0,13.9109,13.6167,12.9792,12.6458,12.5986,12.5677,12.62,12.3222,11.7963,11.8382,12.3361,12.5067,90.1285,81.4826,66.1838,76.2447
