Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
7/12/2004,2.27,2.27,2.25,2.26,7500.0,2.26,2.24,2.222,2.2315,2.2753,2.2918,2.3068,2.313,2.2692,2.2496,2.2117,2.2124,69.0856,53.6329,50.4358,49.1943
7/13/2004,2.28,2.28,2.28,2.28,4600.0,2.28,2.252,2.23,2.2315,2.2733,2.2903,2.3046,2.3113,2.2708,2.2501,2.2124,2.2138,79.339,56.9828,52.6606,50.3397
7/14/2004,2.25,2.25,2.25,2.25,5000.0,2.25,2.258,2.24,2.2295,2.2683,2.2875,2.3016,2.3093,2.2722,2.2505,2.2133,2.2131,45.4337,50.7906,49.1003,48.6381
7/15/2004,2.25,2.25,2.25,2.25,5000.0,2.25,2.258,2.24,2.2295,2.2683,2.2875,2.3016,2.3093,2.2722,2.2505,2.2133,2.2131,45.4337,50.7906,49.1003,48.6381
7/16/2004,2.25,2.25,2.25,2.25,2000.0,2.25,2.262,2.24,2.2285,2.2633,2.285,2.2988,2.3073,2.2731,2.2518,2.2141,2.2123,45.4337,50.7906,49.1003,48.6381
7/19/2004,2.25,2.25,2.25,2.25,5000.0,2.25,2.258,2.245,2.227,2.2583,2.283,2.2966,2.3058,2.274,2.2529,2.2149,2.2116,45.4337,50.7906,49.1003,48.6381
7/20/2004,2.25,2.25,2.25,2.25,5000.0,2.25,2.258,2.245,2.227,2.2583,2.283,2.2966,2.3058,2.274,2.2529,2.2149,2.2116,45.4337,50.7906,49.1003,48.6381
7/21/2004,2.25,2.25,2.25,2.25,5000.0,2.25,2.258,2.245,2.227,2.2583,2.283,2.2966,2.3058,2.274,2.2529,2.2149,2.2116,45.4337,50.7906,49.1003,48.6381
7/22/2004,2.26,2.26,2.26,2.26,1200.0,2.26,2.258,2.249,2.2295,2.2543,2.2813,2.2948,2.3047,2.2752,2.2542,2.2156,2.2111,63.1499,53.2041,50.4938,49.2709
7/23/2004,2.24,2.24,2.24,2.24,6000.0,2.24,2.25,2.251,2.229,2.25,2.2798,2.2926,2.3037,2.276,2.2552,2.2163,2.2106,31.9905,47.9164,47.6822,48.0462
7/26/2004,2.22,2.22,2.22,2.22,4000.0,2.22,2.244,2.251,2.226,2.246,2.2778,2.2898,2.3013,2.2769,2.256,2.2168,2.2102,18.384,43.0978,44.9847,46.8418
7/27/2004,2.2,2.2,2.2,2.2,1000.0,2.2,2.234,2.248,2.228,2.241,2.275,2.2866,2.2997,2.2777,2.2566,2.2172,2.2097,11.2235,38.7175,42.4014,45.6578
7/28/2004,2.2,2.2,2.2,2.2,400.0,2.2,2.224,2.241,2.2265,2.2359999999999998,2.27,2.283,2.2975,2.2782,2.2569,2.2176,2.2093,11.2235,38.7175,42.4014,45.6578
7/29/2004,2.2,2.2,2.2,2.2,3600.0,2.2,2.2119999999999997,2.235,2.2285,2.2327,2.2653,2.2804,2.2948,2.2789,2.2569999999999997,2.2182,2.2091,11.2235,38.7175,42.4014,45.6578
7/30/2004,2.2,2.2,2.2,2.2,3600.0,2.2,2.2119999999999997,2.235,2.2285,2.2327,2.2653,2.2804,2.2948,2.2789,2.2569999999999997,2.2182,2.2091,11.2235,38.7175,42.4014,45.6578
8/2/2004,2.2,2.2,2.2,2.2,3600.0,2.2,2.2119999999999997,2.235,2.2285,2.2327,2.2653,2.2804,2.2948,2.2789,2.2569999999999997,2.2182,2.2091,11.2235,38.7175,42.4014,45.6578
8/3/2004,2.2,2.2,2.2,2.2,10500.0,2.2,2.204,2.227,2.2285,2.23,2.2618,2.2776,2.2917,2.2796,2.2571,2.2187,2.2091,11.2235,38.7175,42.4014,45.6578
8/4/2004,2.25,2.25,2.2,2.2,2800.0,2.2357,2.2,2.222,2.231,2.227,2.2568,2.2744,2.2883,2.2796,2.2576,2.2192,2.2091,11.2235,38.7175,42.4014,45.6578
8/5/2004,2.25,2.25,2.2,2.2,2800.0,2.2357,2.2,2.222,2.231,2.227,2.2568,2.2744,2.2883,2.2796,2.2576,2.2192,2.2091,11.2235,38.7175,42.4014,45.6578
8/6/2004,2.21,2.21,2.21,2.21,2000.0,2.21,2.202,2.218,2.229,2.225,2.252,2.2716,2.2853,2.2801,2.2581,2.2198,2.2092,64.1867,43.8587,44.7014,46.4595
