Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,7.281,7.719,7.281,7.676,1247135.0,7.4708,7.1756,7.0615,6.6756,6.6449,6.6646,6.7466,6.8517,7.069,7.0414,7.0014,6.7721,96.4669,83.86,74.106,62.0107
1/4/2000,7.588,7.632,7.456,7.544,762645.0,7.5194,7.2896,7.1317,6.7458,6.6785,6.68,6.7554,6.8517,7.0808,7.0422,7.0148,6.7884,74.3336,75.2884,68.978,59.6976
1/5/2000,7.369,7.369,6.974,7.062,2432711.0,7.1075,7.3159,7.1537,6.7918,6.696,6.6832,6.7545,6.843,7.0817,7.0411,7.0243,6.8026,32.8631,52.9593,54.175,52.2981
1/6/2000,7.105,7.281,6.93,6.974,2710865.0,7.0846,7.2896,7.1493,6.8422,6.7121,6.6887,6.7519,6.8342,7.076,7.0396,7.0325,6.816,28.5232,49.9303,51.9904,51.1066
1/7/2000,7.105,7.281,6.93,6.974,2710865.0,7.0846,7.2896,7.1493,6.8422,6.7121,6.6887,6.7519,6.8342,7.076,7.0396,7.0325,6.816,28.5232,49.9303,51.9904,51.1066
1/10/2000,7.105,7.281,6.93,6.974,2710865.0,7.0846,7.2896,7.1493,6.8422,6.7121,6.6887,6.7519,6.8342,7.076,7.0396,7.0325,6.816,28.5232,49.9303,51.9904,51.1066
1/11/2000,7.281,7.412,7.062,7.105,2855642.0,7.144,7.2721,7.158,6.8971,6.7297,6.6964,6.7536,6.8269,7.0686,7.04,7.0384,6.8301,44.8965,54.3374,54.9265,52.776
1/12/2000,7.105,7.281,7.018,7.149,3297953.0,7.2083,7.1668,7.1712,6.9475,6.7428,6.7041,6.7563,6.8225,7.0646,7.0396,7.0457,6.8449,50.5592,55.7965,55.8948,53.3256
1/13/2000,7.193,7.632,7.193,7.456,4580428.0,7.4986,7.1493,7.2194,7.0023,6.7633,6.7194,6.7607,6.821,7.0637,7.0422,7.0564,6.8613,76.2193,64.6833,62.0419,56.9531
1/14/2000,7.456,8.158,7.456,8.026,6569687.0,7.8902,7.3423,7.3291,7.0791,6.8013,6.7479,6.7765,6.8342,7.0686,7.0469,7.0693,6.8789,90.2769,75.1297,70.3162,62.5455
1/17/2000,8.158,8.509,8.158,8.421,6095457.0,8.3346,7.6317,7.4607,7.1844,6.8583,6.7973,6.8045,6.8576,7.0765,7.0568,7.0845,6.8979,93.9753,79.7864,74.4661,65.7337
1/18/2000,8.421,8.86,8.158,8.597,3456410.0,8.641,7.93,7.601,7.2852,6.927,6.8521,6.8379,6.881,7.0839,7.0707,7.1003,6.9188,95.194,81.5168,76.0675,67.0243
1/19/2000,8.509,8.948,8.421,8.684,3759644.0,8.7326,8.237,7.7019,7.3817,7.0177,6.9091,6.8721,6.9058,7.0931,7.0827,7.1156,6.9387,95.8271,82.3659,76.8493,67.6544
1/20/2000,8.772,8.772,8.597,8.641,1098938.0,8.6705,8.4739,7.8116,7.4716,7.101,6.9618,6.9063,6.9314,7.1015,7.0977,7.131,6.9589,87.211,80.2911,75.5209,66.9923
1/21/2000,8.597,8.641,8.334,8.553,907422.0,8.5089,8.5791,7.9607,7.5572,7.1814,7.0122,6.9387,6.9555,7.1124,7.1098,7.1459,6.9784,68.6841,75.9843,72.81,65.6627
1/24/2000,8.597,8.597,8.421,8.509,313494.0,8.4839,8.5967,8.1142,7.6317,7.2662,7.0626,6.9738,6.9789,7.1212,7.1215,7.1615,6.9964,59.2447,73.7589,71.4294,64.9955
1/25/2000,8.334,8.465,8.246,8.377,632687.0,8.3494,8.5528,8.2414,7.6997,7.3452,7.1076,7.0054,7.0016,7.1278,7.135,7.1758,7.0133,36.606,67.1238,67.3062,63.0085
1/26/2000,8.421,8.509,8.334,8.509,712486.0,8.4348,8.5177,8.3774,7.7743,7.4241,7.1515,7.0387,7.0265,7.1383,7.146,7.19,7.03,59.7033,70.1451,69.2197,64.1425
1/27/2000,8.553,8.553,8.334,8.509,1184436.0,8.4768,8.4914,8.4826,7.851,7.4958,7.1931,7.0721,7.0477,7.1493,7.1617,7.2053,7.0473,59.7033,70.1451,69.2197,64.1425
1/28/2000,8.597,8.597,8.377,8.421,1081838.0,8.4644,8.4651,8.5221,7.9256,7.5601,7.2315,7.1028,7.0674,7.1576,7.1792,7.2187,7.0635,38.605,65.0974,66.223,62.7696
1/31/2000,8.29,8.334,8.07,8.114,522109.0,8.2366,8.3861,8.4914,7.976,7.62,7.2666,7.1361,7.0857,7.1624,7.195,7.226,7.0776,13.5206,50.7247,56.9328,58.2552
2/1/2000,8.29,8.334,8.07,8.114,522109.0,8.2366,8.3861,8.4914,7.976,7.62,7.2666,7.1361,7.0857,7.1624,7.195,7.226,7.0776,13.5206,50.7247,56.9328,58.2552
2/2/2000,8.246,8.772,8.246,8.684,2191036.0,8.6604,8.4475,8.5002,8.0506,7.6902,7.3203,7.1817,7.1149,7.1756,7.2198,7.2353,7.0942,69.2253,66.2796,66.3688,63.323
2/3/2000,8.684,8.948,8.684,8.948,1445491.0,8.7697,8.5353,8.5265,8.1142,7.7633,7.3949,7.2326,7.1478,7.1914,7.2432,7.2428,7.1126,78.7165,71.0282,69.6716,65.3324
2/4/2000,8.684,8.948,8.684,8.948,1445491.0,8.7697,8.5353,8.5265,8.1142,7.7633,7.3949,7.2326,7.1478,7.1914,7.2432,7.2428,7.1126,78.7165,71.0282,69.6716,65.3324
2/7/2000,8.684,8.948,8.684,8.948,1445491.0,8.7697,8.5353,8.5265,8.1142,7.7633,7.3949,7.2326,7.1478,7.1914,7.2432,7.2428,7.1126,78.7165,71.0282,69.6716,65.3324
2/8/2000,9.035,9.211,8.948,9.035,2212695.0,9.1069,8.6405,8.566,8.1888,7.8364,7.4673,7.2826,7.1829,7.208,7.2655,7.2526,7.1322,81.56,72.4815,70.7044,65.9752
2/9/2000,9.035,9.211,9.035,9.035,1402172.0,9.1222,8.7633,8.6142,8.2874,7.9095,7.5396,7.3326,7.218,7.2251,7.2827,7.2623,7.1506,81.56,72.4815,70.7044,65.9752
2/10/2000,8.948,9.123,8.684,8.948,1530989.0,8.81,8.93,8.6581,8.3861,7.9738,7.6142,7.3817,7.2545,7.2387,7.2944,7.2716,7.1679,62.7093,68.1547,68.0181,64.6915
2/11/2000,8.948,9.298,8.948,9.123,2131757.0,9.1684,9.0177,8.7326,8.487,8.044,7.692,7.4326,7.2933,7.2528,7.305,7.2833,7.1833,77.9785,71.9255,70.4373,66.0578
2/14/2000,8.948,9.123,8.772,9.123,1078418.0,9.0378,9.0528,8.794,8.5857,8.1142,7.7666,7.48,7.3313,7.2664,7.3181,7.2943,7.1997,77.9785,71.9255,70.4373,66.0578
2/15/2000,9.211,10.176,9.211,9.825,7937660.0,9.9311,9.2107,8.9256,8.7041,8.2092,7.8532,7.5396,7.381,7.2901,7.3371,7.3096,7.2212,95.2998,82.4473,78.1164,70.8812
2/16/2000,9.912,9.912,9.386,9.386,646367.0,9.4844,9.2809,9.0221,8.7721,8.2911,7.9256,7.5896,7.4227,7.3098,7.3525,7.3225,7.2396,54.8519,65.2521,66.4913,64.9168
2/17/2000,9.474,9.562,9.211,9.211,1097798.0,9.379,9.3335,9.1318,8.8116,8.3613,7.998,7.6396,7.4687,7.3291,7.3656,7.3349,7.2572,43.7187,59.6535,62.4856,62.7324
2/18/2000,9.386,9.562,9.298,9.474,531229.0,9.4174,9.4037,9.2107,8.8554,8.4373,8.0703,7.6984,7.5199,7.3475,7.3792,7.3491,7.2758,61.3633,64.7563,65.8126,64.5817
2/21/2000,9.474,9.474,9.211,9.211,525529.0,9.323,9.4212,9.237,8.8818,8.4885,8.1317,7.7633,7.5667,7.3646,7.3912,7.3598,7.2923,41.7363,56.6902,60.075,61.4284
2/22/2000,9.211,9.474,9.035,9.035,1193556.0,9.2412,9.2633,9.237,8.9015,8.5382,8.1866,7.8212,7.6083,7.383,7.4015,7.3705,7.308,31.622,51.8467,56.5363,59.4273
2/23/2000,9.211,9.298,8.728,8.772,1111478.0,8.8597,9.1405,9.2107,8.9125,8.5952,8.2348,7.8738,7.6456,7.4001,7.4124,7.3803,7.3225,20.4639,45.3135,51.624,56.5678
2/24/2000,8.86,8.86,8.597,8.597,971260.0,8.6875,9.0177,9.1756,8.9168,8.6493,8.2743,7.9265,7.6807,7.4164,7.4205,7.389,7.337,15.1264,41.4008,48.5928,54.7509
2/25/2000,8.728,8.948,8.684,8.772,1070438.0,8.7968,8.8774,9.1405,8.9366,8.7049,8.3182,7.9817,7.7173,7.4335,7.4292,7.3995,7.3519,38.9942,46.5891,51.6502,56.206
2/28/2000,8.641,8.772,8.509,8.509,1019139.0,8.6501,8.737,9.0791,8.9366,8.7502,8.3554,8.0291,7.7465,7.448,7.438,7.4056,7.3646,23.8827,40.5331,47.1229,53.5347
2/29/2000,8.684,8.684,7.983,8.465,1812563.0,8.2818,8.623,8.9432,8.9344,8.7838,8.3927,8.0712,7.7735,7.462,7.4468,7.4112,7.3782,21.7733,39.5686,46.3931,53.0996
3/1/2000,8.509,8.553,8.465,8.465,425211.0,8.49,8.5616,8.8511,8.9366,8.7984,8.4311,8.1107,7.7999,7.476,7.4541,7.4151,7.3905,21.7733,39.5686,46.3931,53.0996
