Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D
1/3/2000,7.3,7.35,7.3,7.3,40000.0,7.3013,7.4,7.495,7.49,7.555,7.615,7.663,7.7217,8.351,8.3088,7.6042,7.3789,32.2731,38.3357,46.3093,39.8344
1/4/2000,7.4,7.4,7.25,7.25,11000.0,7.3273,7.31,7.465,7.4725,7.54,7.6013,7.652,7.7075,8.3395,8.3025,7.6153,7.3907,25.7493,36.0339,45.3924,38.1161
1/5/2000,7.1,7.25,7.1,7.1,11000.0,7.1864,7.23,7.415,7.44,7.52,7.5838,7.637,7.6908,8.318,8.2933,7.6256,7.4015,13.4838,29.9623,42.7647,33.4538
1/6/2000,7.1,7.1,7.0,7.0,20000.0,7.01,7.19,7.36,7.41,7.4967,7.5638,7.627,7.6742,8.2935,8.2854,7.6353,7.4116,9.1332,26.6006,41.123,30.7532
1/7/2000,7.1,7.1,7.0,7.0,20000.0,7.01,7.19,7.36,7.41,7.4967,7.5638,7.627,7.6742,8.2935,8.2854,7.6353,7.4116,9.1332,26.6006,41.123,30.7532
1/10/2000,7.1,7.1,7.0,7.0,20000.0,7.01,7.19,7.36,7.41,7.4967,7.5638,7.627,7.6742,8.2935,8.2854,7.6353,7.4116,9.1332,26.6006,41.123,30.7532
1/11/2000,7.15,7.15,7.0,7.0,13000.0,7.0769,7.13,7.305,7.385,7.4717,7.5438,7.617,7.6575,8.269,8.2788,7.645,7.4221,9.1332,26.6006,41.123,30.7532
1/12/2000,7.3,7.55,7.3,7.55,17000.0,7.4471,7.18,7.29,7.3875,7.4667,7.5375,7.618,7.65,8.2495,8.2767,7.6578,7.4348,81.8005,58.7872,51.9747,54.2908
1/13/2000,7.65,7.65,7.3,7.4,18000.0,7.3861,7.21,7.26,7.3925,7.4567,7.5263,7.616,7.64,8.2275,8.2729,7.6697,7.4441,61.636,51.8157,49.4056,49.3627
1/14/2000,7.4,7.7,7.1,7.7,25000.0,7.278,7.33,7.28,7.4125,7.4567,7.5213,7.608,7.6333,8.2085,8.2696,7.6833,7.4531,77.9457,61.9645,54.0998,57.6437
1/17/2000,7.8,8.0,7.5,7.6,73000.0,7.7911,7.45,7.32,7.4275,7.4533,7.5163,7.596,7.63,8.1865,8.2654,7.6964,7.4616,64.2816,57.4286,52.4226,54.4474
1/18/2000,7.6,7.65,7.35,7.35,101000.0,7.4856,7.52,7.325,7.43,7.445,7.5075,7.577,7.6192,8.1635,8.2592,7.7081,7.4688,38.785,47.6237,48.5315,47.3749
