Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,4.267,4.267,4.267,4.267,1500.0,4.2667,4.1267,4.0733,4.0733,4.0422,4.0067,3.956,3.9022,3.874,3.9369,3.9181,3.9395,96.3547,77.1148,71.8683,69.2117
1/4/2000,4.333,4.533,4.333,4.333,33000.0,4.4061,4.18,4.1067,4.09,4.0567,4.0167,3.97,3.9122,3.8753,3.9381,3.9209,3.9391,97.6094,80.7841,75.1062,71.004
1/5/2000,4.333,4.4,4.333,4.4,19500.0,4.3641,4.2467,4.1467,4.1083,4.0722,4.0283,3.9853,3.9244,3.8777,3.9403,3.9246,3.9396,98.4234,83.7206,77.8516,72.651
1/6/2000,4.467,4.5,4.467,4.5,12000.0,4.4875,4.3267,4.1967,4.1317,4.0911,4.0442,4.0033,3.9406,3.8817,3.9439,3.929,3.9406,99.1073,87.058,81.2007,74.8662
1/7/2000,4.467,4.5,4.467,4.5,12000.0,4.4875,4.3267,4.1967,4.1317,4.0911,4.0442,4.0033,3.9406,3.8817,3.9439,3.929,3.9406,99.1073,87.058,81.2007,74.8662
1/10/2000,4.467,4.5,4.467,4.5,12000.0,4.4875,4.3267,4.1967,4.1317,4.0911,4.0442,4.0033,3.9406,3.8817,3.9439,3.929,3.9406,99.1073,87.058,81.2007,74.8662
1/11/2000,4.567,4.6,4.533,4.533,12000.0,4.55,4.4067,4.2433,4.1567,4.1111,4.0608,4.0193,3.9561,3.8867,3.9481,3.9337,3.9418,99.2664,87.9819,82.1686,75.5492
1/12/2000,4.6,4.6,4.6,4.6,4500.0,4.6,4.4733,4.3,4.1783,4.1322,4.0792,4.0347,3.9722,3.892,3.9525,3.9387,3.9435,99.522,89.6452,83.9486,76.8506
1/13/2000,4.6,4.633,4.6,4.6,13500.0,4.6037,4.5267,4.3533,4.2033,4.1522,4.0983,4.05,3.9883,3.8973,3.9553,3.9431,3.945,99.522,89.6452,83.9486,76.8506
1/14/2000,4.567,4.567,4.533,4.567,10500.0,4.5619,4.56,4.4033,4.225,4.1689,4.115,4.0647,4.0039,3.9023,3.9572,3.9474,3.9468,71.4976,82.4264,79.355,74.7225
1/17/2000,4.633,4.633,4.533,4.567,40500.0,4.5691,4.5733,4.45,4.245,4.1878,4.1308,4.08,4.0194,3.9073,3.9592,3.952,3.9491,71.4976,82.4264,79.355,74.7225
1/18/2000,4.533,4.533,4.467,4.467,3000.0,4.5,4.56,4.4833,4.265,4.2022,4.1442,4.0933,4.0339,3.9117,3.9608,3.9561,3.9506,24.6481,63.1257,66.6635,68.6219
1/19/2000,4.467,4.5,4.4,4.5,10500.0,4.4571,4.54,4.5067,4.29,4.2178,4.1583,4.1067,4.0478,3.9167,3.9628,3.9607,3.9521,43.2433,66.1022,68.4735,69.4811
1/20/2000,4.467,4.467,4.467,4.467,6000.0,4.4667,4.5133,4.52,4.3133,4.2333,4.1725,4.1173,4.0617,3.9213,3.9625,3.9655,3.9551,31.5606,60.5992,64.691,67.5672
1/21/2000,4.467,4.6,4.467,4.6,13500.0,4.5,4.52,4.54,4.3433,4.2522,4.1892,4.1307,4.0778,3.9267,3.9653,3.9713,3.9581,73.8878,71.3371,71.4781,70.8857
1/24/2000,4.633,4.667,4.6,4.633,31500.0,4.6413,4.5333,4.5533,4.375,4.2722,4.2067,4.146,4.095,3.9327,3.9683,3.9776,3.961,78.8037,73.3777,72.8815,71.6363
