Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
12/30/2002,2.0,2.0,1.08,1.08,1332000.0,1.1914,16.416,19.008,19.964000000000002,19.4693,21.116999999999997,21.6256,21.4947,19.1208,17.6823,16.516,17.7434,1.0246,5.1903,13.9092,28.4419
12/31/2002,1.08,1.17,1.08,1.11,914000.0,1.1372,12.597999999999999,16.939,18.9995,18.8197,20.3348,21.2798,21.1865,19.0139,17.6216,16.3377,17.625999999999998,1.2522,5.3285,14.0109,28.4876
1/1/2003,1.08,1.17,1.08,1.11,914000.0,1.1372,12.597999999999999,16.939,18.9995,18.8197,20.3348,21.2798,21.1865,19.0139,17.6216,16.3377,17.625999999999998,1.2522,5.3285,14.0109,28.4876
1/2/2003,1.11,1.11,1.07,1.1,152500.0,1.0866,8.777999999999999,14.829,17.9945,18.1763,19.6323,20.9378,20.8582,18.9089,17.5557,16.1572,17.5065,1.2508,5.3256,14.005,28.4813
1/3/2003,1.1,1.11,1.04,1.04,179500.0,1.0757,4.946000000000001,12.693,17.0465,17.6243,18.9533,20.6026,20.5388,18.7913,17.4944,15.9818,17.3907,1.238,5.306,13.9667,28.4424
1/6/2003,1.04,1.04,0.96,1.0,367500.0,0.9803,1.0659999999999998,10.613,16.1265,16.991,18.3383,20.2106,20.1922,18.6733,17.4327,15.8852,17.2777,1.2255,5.2915,13.9394,28.4157
1/7/2003,1.0,1.0,0.91,0.94,426500.0,0.9337,1.038,8.727,15.1535,16.4223,17.6668,19.8534,19.8245,18.5627,17.3672,15.8037,17.1674,1.1982,5.267,13.8955,28.3742
1/8/2003,0.95,1.12,0.95,1.11,1335500.0,1.0684,1.038,6.818,14.169,15.845999999999998,17.0445,19.4796,19.4797,18.4458,17.2898,15.7299,17.0619,9.7452,6.6406,14.7155,28.6791
1/9/2003,1.11,1.19,1.09,1.13,756500.0,1.1456,1.044,4.9110000000000005,13.1955,15.2637,16.4478,19.0902,19.1485,18.3291,17.2042,15.6384,16.9536,11.1022,6.8194,14.8183,28.715999999999998
1/10/2003,1.13,1.14,1.08,1.14,187000.0,1.1048,1.064,3.005,12.2225,14.7483,15.9763,18.433,18.8242,18.2205,17.1271,15.5547,16.8373,12.0936,6.9197,14.8735,28.7351
1/13/2003,1.14,1.21,1.14,1.17,940000.0,1.1813,1.0979999999999999,1.082,11.151,14.194,15.3955,17.7684,18.5003,18.1122,17.0435,15.479000000000001,16.7211,16.2941,7.2566,15.0515,28.7942
1/14/2003,1.18,1.19,1.15,1.17,359000.0,1.1703,1.1440000000000001,1.091,10.0495,13.673,14.8748,17.1118,18.2032,18.0039,16.9616,15.3999,16.588,16.2941,7.2566,15.0515,28.7942
1/15/2003,1.16,1.16,1.14,1.16,70000.0,1.1484,1.1540000000000001,1.0959999999999999,9.0175,13.0317,14.3888,16.487000000000002,17.9158,17.8935,16.8812,15.3231,16.4518,15.7303,7.2455,15.0394,28.7857
1/16/2003,1.15,1.15,1.12,1.13,238500.0,1.1397,1.1540000000000001,1.099,7.9639999999999995,12.3627,13.907,15.9256,17.6313,17.7808,16.799,15.2471,16.3174,13.6112,7.2085,15.0002,28.7593
1/17/2003,1.14,1.2,1.14,1.16,1043500.0,1.1769,1.158,1.111,6.902,11.7347,13.495999999999999,15.3848,17.354,17.6644,16.717,15.1713,16.1812,28.1336,7.7398,15.2378,28.8269
1/20/2003,1.16,1.19,1.16,1.17,107500.0,1.1732,1.158,1.128,5.8705,11.127,13.0253,14.8962,17.0302,17.5121,16.6367,15.0923,16.0031,33.7058,7.9374,15.3228,28.8502
1/21/2003,1.18,1.22,1.16,1.2,523500.0,1.1993,1.1640000000000001,1.1540000000000001,4.9405,10.487,12.6053,14.3642,16.7368,17.3681,16.5567,15.0101,15.8311,50.8535,8.5984,15.5961,28.9223
1/22/2003,1.19,1.21,1.17,1.17,347000.0,1.1892,1.166,1.16,3.989,9.8327,12.1745,13.8676,16.4263,17.2298,16.4748,14.9288,15.6519,36.6382,8.5295,15.542,28.892
1/23/2003,1.14,1.16,1.13,1.16,316000.0,1.1437,1.172,1.163,3.037,9.1847,11.7385,13.3908,16.1023,17.0974,16.3795,14.8474,15.4747,32.1453,8.5039,15.5227,28.8815
1/24/2003,1.15,1.15,1.1,1.13,313500.0,1.1235,1.166,1.162,2.0835,8.5357,11.3518,13.0134,15.5545,16.9607,16.2856,14.7659,15.3064,20.7145,8.4188,15.4607,28.8492
1/27/2003,1.08,1.08,1.02,1.02,482500.0,1.0577,1.136,1.147,1.1145,7.8163,10.9323,12.5458,14.9982,16.8069,16.2008,14.6838,15.1465,7.0081,8.085,15.2205,28.7272
1/28/2003,1.02,1.07,1.0,1.07,624000.0,1.0398,1.11,1.137,1.114,7.0787,10.539000000000001,12.1272,14.4493,16.6556,16.1197,14.6031,14.9758,35.9183,9.9116,15.8604,28.8687
1/29/2003,1.07,1.07,1.04,1.04,194500.0,1.0432,1.084,1.125,1.1105,6.3867,10.055,11.735999999999999,13.9267,16.458,16.03,14.5211,14.815,28.0656,9.7804,15.7834,28.8331
1/30/2003,1.0,1.04,1.0,1.04,63500.0,1.0205,1.06,1.1159999999999999,1.1075,5.6813,9.551,11.3488,13.4573,16.2584,15.942,14.4402,14.6522,28.0656,9.7804,15.7834,28.8331
1/31/2003,1.0,1.04,1.0,1.04,63500.0,1.0205,1.06,1.1159999999999999,1.1075,5.6813,9.551,11.3488,13.4573,16.2584,15.942,14.4402,14.6522,28.0656,9.7804,15.7834,28.8331
2/3/2003,1.0,1.04,1.0,1.04,63500.0,1.0205,1.06,1.1159999999999999,1.1075,5.6813,9.551,11.3488,13.4573,16.2584,15.942,14.4402,14.6522,28.0656,9.7804,15.7834,28.8331
2/4/2003,1.0,1.04,1.0,1.04,63500.0,1.0205,1.06,1.1159999999999999,1.1075,5.6813,9.551,11.3488,13.4573,16.2584,15.942,14.4402,14.6522,28.0656,9.7804,15.7834,28.8331
2/5/2003,1.03,1.04,1.0,1.02,40000.0,1.0290000000000001,1.038,1.102,1.1065,4.9687,9.0765,11.0172,13.0043,16.0846,15.8438,14.3614,14.4943,21.1346,9.6724,15.7244,28.8079
2/6/2003,0.99,1.01,0.98,1.01,107000.0,0.9917,1.036,1.0859999999999999,1.107,4.2757,8.6168,10.6374,12.5945,15.8947,15.7456,14.2815,14.4074,17.8319,9.6126,15.6928,28.7948
2/7/2003,0.99,1.01,0.98,1.01,97500.0,0.9959,1.024,1.067,1.1105,3.6493,8.132,10.2976,12.148,15.7168,15.654000000000002,14.2004,14.3344,17.8319,9.6126,15.6928,28.7948
2/10/2003,1.01,1.01,0.96,0.99,148000.0,0.9852,1.014,1.0490000000000002,1.1045,3.009,7.6368,9.9494,11.7312,15.5447,15.5556,14.1226,14.2674,10.4695,9.4647,15.62,28.7669
2/11/2003,0.98,1.0,0.98,0.99,60000.0,0.9948,1.004,1.032,1.0975,2.3687,7.1465,9.5972,11.331,15.3846,15.4572,14.047,14.1843,10.4695,9.4647,15.62,28.7669
2/12/2003,0.98,1.0,0.98,0.99,60000.0,0.9948,1.004,1.032,1.0975,2.3687,7.1465,9.5972,11.331,15.3846,15.4572,14.047,14.1843,10.4695,9.4647,15.62,28.7669
2/13/2003,0.93,0.99,0.93,0.98,7000.0,0.9714,0.996,1.0170000000000001,1.0895,1.7280000000000002,6.656000000000001,9.2848,11.014000000000001,15.2464,15.3653,13.9813,14.1082,7.1489,9.3735,15.5781,28.752
2/14/2003,0.94,1.0,0.94,1.0,121000.0,0.9827,0.9940000000000001,1.015,1.081,1.0813,6.1160000000000005,8.9488,10.624,15.0764,15.2737,13.9147,14.0392,52.4207,11.2982,16.0631,28.8283
2/17/2003,0.99,1.0,0.99,1.0,58500.0,0.9943,0.992,1.008,1.0725,1.0787,5.561,8.6328,10.274000000000001,14.9224,15.182,13.8458,13.9672,52.4207,11.2982,16.0631,28.8283
2/18/2003,1.0,1.01,0.99,1.0,98000.0,0.9986,0.9940000000000001,1.004,1.0645,1.075,5.041,8.2448,9.9473,14.7704,15.0887,13.7836,13.8972,52.4207,11.2982,16.0631,28.8283
2/19/2003,1.0,1.01,0.98,1.01,115000.0,0.9928,0.998,1.001,1.0585,1.072,4.5113,7.841,9.6242,14.6225,14.9938,13.7281,13.8283,73.8974,12.6193,16.3631,28.8705
2/20/2003,1.0,1.01,0.99,1.0,122000.0,1.0081,1.002,0.9990000000000001,1.0505,1.0707,3.9763,7.461,9.3475,14.4805,14.8954,13.6614,13.7593,44.0631,12.4113,16.3003,28.8528
2/21/2003,1.0,1.01,0.99,1.01,124000.0,1.0034,1.004,0.9990000000000001,1.0425,1.071,3.4565,7.0932,9.031,14.3166,14.7672,13.5981,13.6873,65.1611,14.0057,16.6445,28.8979
