Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
4/22/2013,4.55,4.6,4.55,4.59,1145200.0,4.5923,4.6,4.612,4.6145,4.6003,4.5835,4.564,4.5623,4.5771,4.5909,4.7016,4.765,20.5024,45.3463,48.6833,50.0793
4/23/2013,4.56,4.59,4.55,4.56,846700.0,4.5644,4.59,4.609,4.6160000000000005,4.5953,4.5865,4.5652,4.5633,4.5762,4.59,4.6977,4.765,7.6979,38.8079,44.8826,48.4204
4/24/2013,4.56,4.57,4.54,4.57,874300.0,4.56,4.584,4.602,4.6175,4.5913,4.59,4.5664,4.5643,4.5755,4.5888,4.6943,4.7614,29.6622,41.9469,46.3852,49.0029
4/25/2013,4.56,4.59,4.54,4.55,1284200.0,4.5628,4.574,4.593,4.6160000000000005,4.5873,4.5915,4.5676,4.5637,4.5751,4.5876,4.6909,4.7575,17.307000000000002,37.6064,43.8127,47.8841
4/26/2013,4.53,4.58,4.53,4.56,763800.0,4.5623,4.566,4.584,4.614,4.5847,4.5935,4.569,4.5632,4.5748,4.5866,4.6877,4.7534,36.9909,41.0383,45.4419,48.4924
4/29/2013,4.55,4.57,4.54,4.56,471500.0,4.5576,4.56,4.58,4.611000000000001,4.5867,4.5965,4.571000000000001,4.5627,4.5745,4.5855,4.6844,4.7489,36.9909,41.0383,45.4419,48.4924
4/30/2013,4.54,4.64,4.54,4.62,3257200.0,4.5954,4.572,4.581,4.607,4.5893,4.6,4.574,4.5633,4.5752,4.585,4.6816,4.7445,85.0458,58.4096,54.6022,52.0836
5/1/2013,4.54,4.64,4.54,4.62,3257200.0,4.5954,4.572,4.581,4.607,4.5893,4.6,4.574,4.5633,4.5752,4.585,4.6816,4.7445,85.0458,58.4096,54.6022,52.0836
5/2/2013,4.58,4.6,4.56,4.58,1557300.0,4.5835,4.574,4.579,4.6035,4.5907,4.5993,4.5762,4.5635,4.5751,4.584,4.678999999999999,4.74,48.2484,47.8389,48.7283,49.6941
5/3/2013,4.56,4.56,4.44,4.45,3025400.0,4.4825,4.553999999999999,4.564,4.5915,4.5893,4.5958,4.5754,4.5615,4.5735,4.5822,4.6757,4.735,15.5174,28.7892,35.3998,43.0533
5/6/2013,4.67,4.7,4.57,4.65,2803300.0,4.6527,4.572,4.569,4.5915,4.5967,4.5969999999999995,4.5784,4.5633,4.5739,4.5822,4.6734,4.7314,67.0698,57.8435,55.5457,53.0406
5/7/2013,4.68,4.68,4.64,4.68,1080900.0,4.6653,4.596,4.578,4.595,4.6023,4.5948,4.5824,4.5663,4.5746,4.5824,4.6711,4.7277,71.0452,60.559,57.6777,54.2847
5/8/2013,4.7,4.7,4.63,4.64,1059900.0,4.6635,4.6,4.586,4.5975,4.606,4.593,4.5864,4.5687,4.5749,4.5825,4.6683,4.7234,57.2278,55.2232,53.9616,52.3709
5/9/2013,4.61,4.64,4.52,4.59,1988500.0,4.5797,4.602,4.588,4.595,4.6077,4.5905,4.5896,4.57,4.5748,4.5822,4.6653,4.7197,41.9354,49.1351,49.6549,50.0876
5/10/2013,4.6,4.65,4.56,4.63,964500.0,4.6075,4.638,4.596,4.5945,4.6093,4.5895,4.5924,4.5723,4.5749,4.5824,4.6626,4.7161,56.0338,53.7264,52.8939,51.8258
5/13/2013,4.63,4.63,4.55,4.56,2299200.0,4.5782,4.62,4.596,4.59,4.6080000000000005,4.5875,4.593999999999999,4.5735,4.5745,4.5822,4.6597,4.7123,34.222,45.6195,47.1742,48.7522
5/14/2013,4.56,4.57,4.53,4.55,2828900.0,4.5489,4.593999999999999,4.595,4.5875,4.6057,4.5888,4.5962,4.575,4.574,4.5813,4.6567,4.7081,31.5872,44.5394,46.4022,48.3286
5/15/2013,4.56,4.62,4.56,4.59,1690900.0,4.5944,4.584,4.592,4.5865,4.602,4.59,4.5984,4.577,4.5739,4.5807,4.6542,4.7044,53.2043,49.8794,49.9316,50.1218
5/16/2013,4.58,4.59,4.5,4.52,2292500.0,4.5305,4.57,4.586,4.5825,4.5977,4.5895,4.5966,4.5778,4.573,4.5796,4.6513,4.7004,29.0822,41.9309,44.4191,47.159
5/17/2013,4.5,4.52,4.5,4.51,776800.0,4.5095,4.546,4.592,4.578,4.5917,4.59,4.595,4.5782,4.572,4.5783,4.6485,4.6963,26.5069,40.8838,43.6773,46.7506
5/20/2013,4.51,4.53,4.5,4.5,240700.0,4.5158,4.534,4.577,4.573,4.5867,4.5918,4.593,4.5782,4.5709,4.5771,4.6456,4.6923,23.3989,39.7667,42.9056,46.3354
5/21/2013,4.5,4.63,4.5,4.62,873800.0,4.6012,4.548,4.571000000000001,4.5745,4.587,4.5945,4.59,4.5805,4.5711,4.5767,4.6433,4.6889,75.3737,55.9983,53.5185,51.6634
5/22/2013,4.62,4.65,4.52,4.62,1187800.0,4.6014,4.553999999999999,4.569,4.5775,4.588,4.5968,4.5882,4.5835,4.5706,4.5764,4.641,4.6857,75.3737,55.9983,53.5185,51.6634
5/23/2013,4.62,4.62,4.5,4.55,1304300.0,4.5357,4.56,4.565,4.5765,4.585,4.5969999999999995,4.5854,4.5855,4.57,4.5757,4.6384,4.6825,39.8687,46.7061,47.5401,48.6483
5/24/2013,4.62,4.62,4.5,4.55,1304300.0,4.5357,4.56,4.565,4.5765,4.585,4.5969999999999995,4.5854,4.5855,4.57,4.5757,4.6384,4.6825,39.8687,46.7061,47.5401,48.6483
5/27/2013,4.5,4.56,4.5,4.55,580400.0,4.5485,4.5680000000000005,4.5569999999999995,4.5765,4.582,4.5963,4.583,4.5865,4.5699,4.5753,4.6358,4.6795,39.8687,46.7061,47.5401,48.6483
5/28/2013,4.52,4.56,4.52,4.55,683600.0,4.5446,4.578,4.556,4.5760000000000005,4.5787,4.595,4.5812,4.5877,4.5694,4.575,4.6333,4.6765,39.8687,46.7061,47.5401,48.6483
5/29/2013,4.54,4.57,4.53,4.55,1127000.0,4.5532,4.564,4.556,4.5755,4.577,4.5933,4.5822,4.5895,4.5688,4.5747,4.6308,4.6735,39.8687,46.7061,47.5401,48.6483
5/30/2013,4.55,4.55,4.46,4.46,1780400.0,4.5044,4.532,4.543,4.5675,4.572,4.5873,4.5806,4.5892,4.5672,4.5739,4.6278,4.6702,9.8053,34.81,39.8431,44.7986
5/31/2013,4.5,4.5,4.41,4.41,2310500.0,4.4398,4.504,4.532,4.559,4.5657,4.5813,4.578,4.5858,4.5652,4.5724,4.6245,4.667,6.0215,30.0297,36.3245,42.8499
6/3/2013,4.48,4.52,4.42,4.5,1725800.0,4.4932,4.494,4.531000000000001,4.5615,4.5623,4.5765,4.5782,4.5843,4.5641,4.5715,4.6226,4.6643,53.9753,45.2539,45.6317,47.1322
6/4/2013,4.5,4.56,4.48,4.56,1087400.0,4.5216,4.496,4.537,4.5569999999999995,4.561,4.5743,4.5808,4.5837,4.5636,4.5711,4.6213,4.6618,69.5254,52.9343,50.7953,49.73
6/5/2013,4.56,4.56,4.49,4.54,828700.0,4.5132,4.494,4.529,4.55,4.5593,4.5725,4.5814,4.5798,4.563,4.5705,4.6201,4.659,59.4777,50.2886,49.1206,48.9014
6/6/2013,4.53,4.54,4.5,4.54,857900.0,4.5147,4.51,4.521,4.545,4.5587,4.5713,4.5816,4.577,4.5624,4.5699,4.6193,4.656000000000001,59.4777,50.2886,49.1206,48.9014
6/7/2013,4.52,4.52,4.5,4.5,636300.0,4.5016,4.5280000000000005,4.516,4.5405,4.5563,4.5678,4.5808,4.5738,4.5614,4.5691,4.618,4.6529,36.0398,44.641000000000005,45.6311,47.2176
6/10/2013,4.5,4.55,4.5,4.53,952700.0,4.5285,4.534,4.513999999999999,4.5355,4.5557,4.565,4.5798,4.5715,4.5607,4.5683,4.6166,4.6499,55.6854,49.4326,48.5814,48.591
6/11/2013,4.57,4.58,4.5,4.52,1595000.0,4.5243,4.526,4.511,4.5335,4.5543,4.5618,4.5782,4.5695,4.5601,4.5677,4.6144,4.6471,48.2719,47.8786,47.6531,48.1589
6/12/2013,4.51,4.52,4.48,4.5,1279300.0,4.5006,4.518,4.506,4.531000000000001,4.5523,4.5593,4.5758,4.5695,4.559,4.5668,4.6119,4.6442,34.4949,44.7156,45.7695,47.2888
6/13/2013,4.49,4.5,4.46,4.49,2013000.0,4.4868,4.508,4.5089999999999995,4.526,4.548,4.5563,4.5716,4.5687,4.5579,4.5659,4.6098,4.6414,28.4131,43.1135,44.8156,46.851000000000006
6/14/2013,4.5,4.52,4.5,4.52,676300.0,4.5059,4.512,4.52,4.526,4.546,4.5543,4.569,4.5683,4.5571,4.5652,4.6077,4.6388,60.0833,49.2502,48.2969,48.3354
6/17/2013,4.5,4.55,4.5,4.55,462500.0,4.5309,4.516,4.525,4.5280000000000005,4.5493,4.553,4.5662,4.5693,4.5566,4.5647,4.6059,4.6365,76.0059,54.7427,51.5859,49.7862
6/18/2013,4.52,4.55,4.52,4.55,735500.0,4.5358,4.522,4.524,4.5305,4.546,4.5518,4.5642,4.5713,4.5564,4.5642,4.6039,4.6341,76.0059,54.7427,51.5859,49.7862
6/19/2013,4.53,4.55,4.51,4.53,1037700.0,4.533,4.5280000000000005,4.523,4.526,4.541,4.5503,4.5626,4.5717,4.5575,4.5636,4.602,4.6316,47.5529,50.1621,49.1676,48.8084
6/20/2013,4.51,4.53,4.5,4.51,895500.0,4.507,4.532,4.52,4.5205,4.5367,4.5489999999999995,4.561,4.5713,4.5576,4.5623,4.6002,4.629,30.4528,45.8464,46.8047,47.8365
6/21/2013,4.49,4.68,4.48,4.68,3971100.0,4.6160000000000005,4.564,4.538,4.527,4.5397,4.5518,4.5618,4.5737,4.5593,4.5628,4.5995,4.6273,87.5473,70.2896,63.0569,55.6093
6/24/2013,4.67,4.67,4.53,4.57,504600.0,4.5679,4.5680000000000005,4.542,4.5280000000000005,4.5377,4.5523,4.5604,4.5735,4.5591,4.5629,4.5982,4.625,48.724,52.9062,51.9887,50.5658
6/25/2013,4.51,4.58,4.51,4.57,1145200.0,4.5698,4.572,4.547,4.529,4.538,4.5525,4.5588,4.573,4.5589,4.5627,4.5968,4.6229,48.724,52.9062,51.9887,50.5658
6/26/2013,4.58,4.62,4.55,4.59,1152000.0,4.5834,4.584,4.556,4.531000000000001,4.5393,4.5533,4.5586,4.5725,4.5589,4.5625,4.5953,4.6208,56.5978,55.442,53.7023,51.423
6/27/2013,4.53,4.54,4.47,4.47,1043300.0,4.5113,4.5760000000000005,4.553999999999999,4.5315,4.5353,4.5495,4.5558,4.5687,4.5578,4.5613,4.5931,4.6182,23.7605,40.6629,43.6383,46.426
6/28/2013,4.5,4.53,4.5,4.52,2034400.0,4.5155,4.544,4.553999999999999,4.537,4.5353,4.548,4.5542,4.5665,4.5573,4.5605,4.5916,4.6158,44.0492,47.2537,48.0102,48.5798
7/1/2013,4.5,4.54,4.49,4.54,520700.0,4.5225,4.538,4.553,4.539,4.5363,4.5503,4.553,4.564,4.5569999999999995,4.5599,4.5903,4.6142,51.7529,49.7647,49.6912,49.4211
7/2/2013,4.54,4.54,4.5,4.52,734000.0,4.5246,4.5280000000000005,4.55,4.537,4.537,4.547,4.5514,4.5618,4.5568,4.5592,4.5891,4.6129,42.894,47.235,48.0191,48.5985
7/3/2013,4.52,4.53,4.5,4.5,811200.0,4.5156,4.51,4.547,4.535,4.533,4.5425,4.5496,4.56,4.5568,4.5583,4.5875,4.6116,34.1305,44.6799,46.3399,47.7758
7/4/2013,4.5,4.55,4.5,4.5,644800.0,4.5288,4.516,4.546,4.533,4.529,4.539,4.5484,4.5585,4.5568,4.5575,4.5859,4.6107,34.1305,44.6799,46.3399,47.7758
7/5/2013,4.54,4.55,4.53,4.55,1121700.0,4.5462,4.522,4.533,4.5355,4.529,4.538,4.548,4.5569999999999995,4.5572,4.5571,4.5848,4.6098,69.3519,52.7645,51.2798,50.0385
7/8/2013,4.55,4.55,4.48,4.48,304400.0,4.4926,4.51,4.524,4.533,4.5267,4.5343,4.5466,4.5543,4.5571,4.5561,4.5833,4.6082,32.6685,42.8919,45.0298,47.0841
7/9/2013,4.51,4.54,4.48,4.54,637900.0,4.5076,4.513999999999999,4.521,4.534,4.5263,4.5338,4.5462,4.5525,4.5576,4.5558,4.5822,4.6064,59.9235,51.6207,50.5888,49.7166
