Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,3.285,3.371,3.285,3.337,106430.0,3.3421,3.3055,3.29,3.2459,3.2128,3.2113,3.2233,3.2352,3.411,3.5358,3.7405,3.792,84.6631,66.6737,64.4789,55.3905
1/4/2000,3.354,3.371,3.285,3.302,63626.0,3.3285,3.3055,3.2934,3.2571,3.2145,3.2144,3.2274,3.2344,3.4036,3.5281,3.7354,3.7871,46.0766,56.5943,58.3515,53.3512
1/5/2000,3.302,3.302,3.216,3.216,64783.0,3.2595,3.2917,3.2848,3.2641,3.2145,3.2152,3.2295,3.2321,3.3954,3.5196,3.7307,3.7817,17.0079,39.7103,46.4638,48.7132
1/6/2000,3.233,3.25,3.216,3.233,48587.0,3.2342,3.2779,3.2848,3.2649,3.2168,3.2165,3.2267,3.2298,3.3871,3.5112,3.7261,3.7765,30.2156,43.5027,48.7142,49.6193
1/7/2000,3.233,3.25,3.216,3.233,48587.0,3.2342,3.2779,3.2848,3.2649,3.2168,3.2165,3.2267,3.2298,3.3871,3.5112,3.7261,3.7765,30.2156,43.5027,48.7142,49.6193
1/10/2000,3.233,3.25,3.216,3.233,48587.0,3.2342,3.2779,3.2848,3.2649,3.2168,3.2165,3.2267,3.2298,3.3871,3.5112,3.7261,3.7765,30.2156,43.5027,48.7142,49.6193
1/11/2000,3.268,3.285,3.233,3.25,58999.0,3.2526,3.2675,3.2813,3.2666,3.2185,3.2178,3.2246,3.2289,3.3797,3.5019,3.7216,3.7713,43.6638,47.2365,50.9353,50.5237
1/12/2000,3.25,3.285,3.233,3.25,64783.0,3.2561,3.2502,3.2779,3.2684,3.2203,3.22,3.2222,3.228,3.3718,3.493,3.7187,3.766,43.6638,47.2365,50.9353,50.5237
1/13/2000,3.25,3.268,3.233,3.233,246408.0,3.2499,3.2364,3.271,3.271,3.2243,3.2204,3.2198,3.2272,3.3645,3.4846,3.7157,3.7606,30.4574,43.5904,48.4993,49.5714
1/14/2000,3.268,3.371,3.216,3.371,697576.0,3.2208,3.2675,3.2796,3.2788,3.2335,3.2239,3.2201,3.2277,3.3578,3.4774,3.712,3.756,84.9783,66.7139,63.5272,56.3758
