Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.138,2.3,2.138,2.263,3456000.0,2.2478,2.115,2.065,2.0056,1.9742,1.9447,1.936,1.9185,1.8523,1.8419,1.7864,1.7264,98.8426,92.9194,86.3066,73.0726
1/4/2000,2.275,2.375,2.275,2.313,2852000.0,2.3202,2.1725,2.095,2.025,1.9892,1.9553,1.9443,1.9271,1.8588,1.8453,1.7922,1.7326,99.1684,94.0595,87.9471,74.8277
1/5/2000,2.263,2.3,2.15,2.288,3492000.0,2.2532,2.2175,2.1213,2.0438,2.0033,1.9659,1.952,1.9352,1.8646,1.8484,1.7976,1.7387,81.884,86.2482,82.6176,72.3872
1/6/2000,2.313,2.338,2.3,2.325,2536000.0,2.3188,2.26,2.1513,2.0638,2.0183,1.9778,1.96,1.9438,1.8689,1.8516,1.803,1.7449,86.9871,87.9385,84.1674,73.7174
1/7/2000,2.313,2.338,2.3,2.325,2536000.0,2.3188,2.26,2.1513,2.0638,2.0183,1.9778,1.96,1.9438,1.8689,1.8516,1.803,1.7449,86.9871,87.9385,84.1674,73.7174
1/10/2000,2.313,2.338,2.3,2.325,2536000.0,2.3188,2.26,2.1513,2.0638,2.0183,1.9778,1.96,1.9438,1.8689,1.8516,1.803,1.7449,86.9871,87.9385,84.1674,73.7174
1/11/2000,2.4,2.5,2.4,2.463,6352000.0,2.4662,2.33,2.1975,2.09,2.0363,1.9934,1.971,1.9546,1.8749,1.856,1.8085,1.7517,94.8955,91.9965,88.2902,77.7777
1/12/2000,2.463,2.475,2.438,2.463,2116000.0,2.4596,2.37,2.2425,2.1156,2.0538,2.0081,1.982,1.9654,1.882,1.8609,1.8143,1.7586,94.8955,91.9965,88.2902,77.7777
1/13/2000,2.45,2.45,2.388,2.388,3400000.0,2.4213,2.385,2.2788,2.1375,2.0679,2.0209,1.9903,1.9744,1.8881,1.8653,1.8199,1.7649,54.3546,74.6568,75.8033,71.3441
1/14/2000,2.388,2.475,2.363,2.45,2556000.0,2.4046,2.4175,2.3175,2.1619,2.0858,2.0353,2.001,1.985,1.895,1.8704,1.8257,1.7713,70.2446,78.4625,78.5286,73.2515
1/17/2000,2.475,2.525,2.463,2.475,6876000.0,2.4935,2.4475,2.3538,2.1875,2.1038,2.0525,2.0133,1.9956,1.9018,1.8758,1.8314,1.7778,75.3858,79.8258,79.5221,73.9685
1/18/2000,2.475,2.5,2.45,2.488,2096000.0,2.4802,2.4525,2.3913,2.2138,2.1225,2.0681,2.0258,2.0056,1.9086,1.8817,1.8372,1.7844,78.2095,80.5194,80.0199,74.3244
1/19/2000,2.488,2.5,2.363,2.4,6852000.0,2.4083,2.44,2.405,2.235,2.1388,2.0819,2.0368,2.0142,1.9146,1.8865,1.8423,1.7904,35.4762,63.3638,67.6266,67.6276
1/20/2000,2.425,2.5,2.413,2.45,4556000.0,2.4601,2.4525,2.4188,2.2569,2.1563,2.0966,2.048,2.0233,1.9211,1.8921,1.8476,1.7968,56.0566,67.7773,70.4436,69.2646
1/21/2000,2.488,2.5,2.45,2.475,2288000.0,2.4746,2.4575,2.4375,2.2794,2.175,2.1119,2.0603,2.0329,1.9278,1.898,1.853,1.8033,64.5394,69.8222,71.7665,70.0481
1/24/2000,2.5,2.5,2.425,2.425,5244000.0,2.4464,2.4475,2.4475,2.2994,2.1917,2.1256,2.0718,2.0413,1.9338,1.9034,1.8588,1.8096,40.8705,61.0979,65.4564,66.539
1/25/2000,2.425,2.45,2.4,2.438,2724000.0,2.428,2.4375,2.445,2.3213,2.2083,2.1384,2.0838,2.05,1.9399,1.9093,1.8642,1.8159,48.0192,62.4186,66.2553,66.9669
1/26/2000,2.463,2.6,2.463,2.575,7924000.0,2.529,2.4725,2.4563,2.3494,2.2292,2.1544,2.0978,2.061,1.9478,1.9165,1.8701,1.8224,82.6432,73.5365,73.5115,71.1638
1/27/2000,2.625,2.625,2.525,2.6,1760000.0,2.5878,2.5025,2.4775,2.3781,2.2508,2.1703,2.1123,2.0715,1.956,1.9239,1.8762,1.8291,85.3115,75.0465,74.5817,71.8368
1/28/2000,2.6,2.625,2.525,2.55,5224000.0,2.5865,2.5175,2.4875,2.4025,2.2704,2.1863,2.1258,2.0821,1.9638,1.931,1.8818,1.8354,58.3845,66.508,68.611,68.5278
1/31/2000,2.55,2.575,2.525,2.575,2768000.0,2.5591,2.5475,2.4975,2.4256,2.2908,2.2022,2.1415,2.094,1.9716,1.9385,1.8871,1.8418,66.3502,68.5225,69.9082,69.2602
2/1/2000,2.55,2.575,2.525,2.575,2768000.0,2.5591,2.5475,2.4975,2.4256,2.2908,2.2022,2.1415,2.094,1.9716,1.9385,1.8871,1.8418,66.3502,68.5225,69.9082,69.2602
2/2/2000,2.575,2.75,2.575,2.725,6980000.0,2.6967,2.605,2.5213,2.4563,2.3163,2.2222,2.1588,2.1083,1.981,1.9476,1.893,1.8487,87.6411,77.6122,76.25,73.1399
2/3/2000,2.725,2.8,2.7,2.775,4576000.0,2.7482,2.645,2.5588,2.4819,2.3429,2.2438,2.1773,2.1238,1.9909,1.9572,1.8992,1.8559,90.6113,79.7996,77.9204,74.2602
