Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.74,2.82,2.72,2.82,3431000.0,2.7879,2.736,2.69,2.558,2.576,2.6175,2.6336,2.639,2.65,2.6392,2.6481,2.568,83.0464,71.8488,63.8185,58.5798
1/4/2000,2.82,2.82,2.72,2.74,5259000.0,2.7381,2.744,2.694,2.58,2.58,2.617,2.6356,2.64,2.6552,2.6378,2.651,2.5735,50.5142,59.9311,56.7575,55.2971
1/5/2000,2.7,2.72,2.66,2.72,4031000.0,2.6937,2.744,2.702,2.6,2.5813,2.616,2.6376,2.6403,2.6584,2.6365,2.6537,2.5789,44.0441,57.2598,55.1157,54.5071
1/6/2000,2.74,2.74,2.66,2.68,3615000.0,2.6898,2.732,2.71,2.619,2.582,2.6145,2.6384,2.6403,2.6592,2.6357,2.6558,2.5839,31.8179,52.0408,51.8832,52.9423
1/7/2000,2.74,2.74,2.66,2.68,3615000.0,2.6898,2.732,2.71,2.619,2.582,2.6145,2.6384,2.6403,2.6592,2.6357,2.6558,2.5839,31.8179,52.0408,51.8832,52.9423
1/10/2000,2.74,2.74,2.66,2.68,3615000.0,2.6898,2.732,2.71,2.619,2.582,2.6145,2.6384,2.6403,2.6592,2.6357,2.6558,2.5839,31.8179,52.0408,51.8832,52.9423
1/11/2000,2.72,2.74,2.7,2.74,7212000.0,2.7315,2.74,2.722,2.638,2.5853,2.6135,2.6396,2.6413,2.6596,2.6362,2.6578,2.5891,58.0309,58.434,56.0473,54.9492
1/12/2000,2.74,2.88,2.72,2.86,8007000.0,2.8156,2.748,2.742,2.661,2.5927,2.616,2.6412,2.6443,2.6618,2.6362,2.6609,2.5948,80.51,68.0247,62.9528,58.602
1/13/2000,2.86,3.06,2.86,2.94,17992000.0,2.9968,2.788,2.766,2.683,2.6,2.6205,2.6456,2.6503,2.6642,2.6375,2.6643,2.601,87.308,72.7417,66.7081,60.7943
1/14/2000,2.98,3.38,2.96,3.3,20503000.0,3.1365,2.904,2.824,2.724,2.622,2.6325,2.6572,2.662,2.6704,2.6418,2.6696,2.6088,96.2163,84.3956,77.6749,68.548
