Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
11/9/2004,9.068,9.238999999999999,9.068,9.238999999999999,438.0,9.1822,9.2393,9.359,9.3933,9.4218,9.4189,9.4446,9.6242,9.3368,9.235,10.5368,11.0615,47.8849,45.0714,46.1934,47.9887
11/10/2004,8.897,9.924,8.897,9.924,6897.0,9.4488,9.3419,9.3761,9.3933,9.4503,9.4446,9.4412,9.6185,9.3505,9.2421,10.5054,11.0597,88.8395,66.1543,59.4985,53.268
11/11/2004,8.897,9.924,8.897,9.924,6897.0,9.4488,9.3419,9.3761,9.3933,9.4503,9.4446,9.4412,9.6185,9.3505,9.2421,10.5054,11.0597,88.8395,66.1543,59.4985,53.268
11/12/2004,8.897,9.924,8.897,9.924,6897.0,9.4488,9.3419,9.3761,9.3933,9.4503,9.4446,9.4412,9.6185,9.3505,9.2421,10.5054,11.0597,88.8395,66.1543,59.4985,53.268
11/15/2004,8.897,9.924,8.897,9.924,6897.0,9.4488,9.3419,9.3761,9.3933,9.4503,9.4446,9.4412,9.6185,9.3505,9.2421,10.5054,11.0597,88.8395,66.1543,59.4985,53.268
11/16/2004,8.897,9.924,8.897,9.924,6897.0,9.4488,9.3419,9.3761,9.3933,9.4503,9.4446,9.4412,9.6185,9.3505,9.2421,10.5054,11.0597,88.8395,66.1543,59.4985,53.268
11/17/2004,9.068,9.581,9.068,9.581,351.0,9.1537,9.4104,9.3933,9.3761,9.4788,9.4617,9.4343,9.6185,9.3607,9.2464,10.4721,11.0272,55.8955,54.4077,52.5072,50.6109
11/18/2004,9.581,9.581,9.068,9.238999999999999,2893.0,9.1719,9.4446,9.3761,9.3505,9.4902,9.4489,9.4275,9.5729,9.3676,9.2478,10.436,10.9887,35.917,45.3488,46.6092,48.1274
11/19/2004,9.41,9.924,9.068,9.238999999999999,7805.0,9.4865,9.4446,9.359,9.3419,9.5016,9.436,9.4206,9.5444,9.3744,9.2521,10.4018,10.9468,35.917,45.3488,46.6092,48.1274
11/22/2004,9.068,9.41,8.897,9.41,4676.0,9.1687,9.4788,9.359,9.3419,9.5187,9.4275,9.424,9.5244,9.383,9.2578,10.3714,10.9083,54.2951,50.5581,49.8742,49.4545
11/23/2004,9.068,9.41,9.068,9.41,5351.0,9.2682,9.3761,9.359,9.3505,9.513,9.4232,9.4104,9.5045,9.3933,9.2649,10.3409,10.875,54.2951,50.5581,49.8742,49.4545
11/24/2004,9.238999999999999,9.238999999999999,9.238999999999999,9.238999999999999,3419.0,9.2393,9.3077,9.359,9.3505,9.4845,9.4146,9.4035,9.4845,9.4018,9.2692,10.3105,10.8373,33.0008,45.1154,46.5712,48.1365
11/25/2004,9.068,9.238999999999999,9.068,9.238999999999999,7563.0,9.0865,9.3077,9.3761,9.359,9.4503,9.4061,9.4001,9.4617,9.4104,9.2735,10.2811,10.8022,33.0008,45.1154,46.5712,48.1365
11/26/2004,9.068,9.238999999999999,8.897,9.238999999999999,6341.0,9.0414,9.3077,9.3761,9.359,9.4161,9.4104,9.4035,9.4446,9.4138,9.2778,10.2544,10.7672,33.0008,45.1154,46.5712,48.1365
11/29/2004,9.068,9.068,8.897,9.068,818.0,9.0559,9.2393,9.359,9.359,9.3818,9.4061,9.4069,9.4303,9.4172,9.2806,10.225,10.7329,14.202,39.1193,43.0133,46.7571
11/30/2004,9.238999999999999,9.238999999999999,8.726,9.068,10520.0,9.0458,9.1708,9.2735,9.3248,9.3533,9.4061,9.4104,9.4132,9.424,9.2835,10.1955,10.6979,14.202,39.1193,43.0133,46.7571
12/1/2004,9.238999999999999,9.924,8.897,9.581,12318.0,9.3381,9.2393,9.2735,9.3334,9.3419,9.4275,9.424,9.4075,9.436,9.292,10.1689,10.6662,82.2918,59.5378,54.9799,51.2429
12/2/2004,9.581,9.581,9.238999999999999,9.41,2513.0,9.4044,9.2735,9.2906,9.3334,9.3305,9.4403,9.4172,9.4047,9.4497,9.2991,10.1394,10.632,58.9144,52.8863,51.126000000000005,49.7962
12/3/2004,9.238999999999999,9.41,9.238999999999999,9.41,2686.0,9.3007,9.3077,9.3077,9.3334,9.3305,9.4531,9.4104,9.4018,9.4668,9.3063,10.11,10.6003,58.9144,52.8863,51.126000000000005,49.7962
12/6/2004,9.41,9.41,9.068,9.41,3083.0,9.1695,9.3761,9.3077,9.3334,9.3305,9.466000000000001,9.4035,9.4047,9.4822,9.3134,10.0805,10.5713,58.9144,52.8863,51.126000000000005,49.7962
12/7/2004,9.238999999999999,9.238999999999999,8.897,9.238999999999999,4863.0,9.0972,9.4104,9.2906,9.3248,9.3305,9.4574,9.3967,9.3904,9.4891,9.3163,10.051,10.5405,30.0773,45.6283,47.0103,48.287
12/8/2004,9.238999999999999,9.238999999999999,8.726,9.068,5596.0,8.8341,9.3077,9.2735,9.3163,9.3248,9.4317,9.3864,9.3818,9.4925,9.3205,10.0197,10.5131,17.3435,39.5258,43.2599,46.8191
12/9/2004,8.897,8.897,8.897,8.897,1052.0,8.8971,9.205,9.2393,9.3077,9.3191,9.3975,9.3727,9.3733,9.4959,9.322000000000001,9.9911,10.4806,10.6073,34.3565,39.8373,45.3916
12/10/2004,8.897,8.897,8.726,8.897,1616.0,8.7736,9.1024,9.205,9.2906,9.3077,9.3633,9.3693,9.3704,9.4993,9.3234,9.9636,10.4446,10.6073,34.3565,39.8373,45.3916
12/13/2004,8.726,8.726,8.555,8.726,9600.0,8.5966,8.9655,9.1708,9.2649,9.2963,9.3291,9.359,9.3676,9.5028,9.3248,9.9351,10.4096,5.6605,29.4773,36.4892,43.9574
12/14/2004,8.555,8.897,8.555,8.897,1432.0,8.5968,8.8971,9.1537,9.2136,9.2678,9.3034,9.3556,9.3676,9.5079,9.3277,9.9084,10.3762,44.4908,39.1924,41.7605,45.7313
12/15/2004,8.726,8.897,8.726,8.897,468.0,8.7367,8.8628,9.0853,9.1794,9.2507,9.2778,9.359,9.3676,9.513,9.3305,9.8809,10.3428,44.4908,39.1924,41.7605,45.7313
12/16/2004,8.726,8.726,8.555,8.555,675.0,8.6882,8.7944,8.9997,9.1452,9.2222,9.2478,9.3522,9.3476,9.5164,9.3305,9.8533,10.3069,15.5987,29.0594,35.0188,42.8297
12/17/2004,8.726,8.897,8.555,8.897,994.0,8.726,8.7944,8.9484,9.128,9.205,9.235,9.3522,9.3334,9.525,9.3334,9.8286,10.2744,57.2455,45.0441,44.6429,46.351000000000006
12/20/2004,8.555,8.726,8.384,8.726,2104.0,8.5126,8.7944,8.88,9.0938,9.1822,9.2179,9.3488,9.3163,9.5301,9.3348,9.8029,10.2436,41.7827,39.9772,41.3456,44.9199
12/21/2004,8.555,8.555,8.555,8.555,877.0,8.5549,8.726,8.8115,9.0511,9.1537,9.2008,9.3282,9.2991,9.5353,9.3362,9.7763,10.212,29.7349,35.4864,38.2993,43.5296
12/22/2004,8.384,8.555,8.213,8.555,1198.0,8.3462,8.6575,8.7602,9.0168,9.1309,9.1837,9.2974,9.282,9.5404,9.3376,9.7507,10.1812,29.7349,35.4864,38.2993,43.5296
12/23/2004,8.213,8.555,8.213,8.555,614.0,8.506,8.6575,8.726,8.9826,9.1138,9.1708,9.2632,9.2649,9.5404,9.3391,9.7269,10.1512,29.7349,35.4864,38.2993,43.5296
12/24/2004,8.897,8.897,8.897,8.897,29.0,8.8971,8.6575,8.726,8.9655,9.1024,9.1623,9.2358,9.2621,9.5438,9.3391,9.7041,10.1255,76.1516,51.1219,47.8901,47.1512
12/27/2004,8.555,8.726,8.555,8.726,263.0,8.5739,8.6575,8.726,8.9484,9.0853,9.1537,9.2085,9.2535,9.5455,9.3391,9.6794,10.0973,50.9223,44.9887,44.1913,45.6374
12/28/2004,8.555,8.555,8.555,8.555,263.0,8.5549,8.6575,8.6918,8.9227,9.0396,9.1238,9.1811,9.245,9.5455,9.3405,9.6499,10.0682,34.0173,39.6387,40.7979,44.1703
12/29/2004,8.384,8.726,8.384,8.726,146.0,8.4522,8.6918,8.6746,8.88,9.0111,9.1067,9.1571,9.245,9.5438,9.3433,9.6233,10.04,55.9518,46.7612,45.3197,45.9671
12/30/2004,8.213,8.555,8.213,8.555,1812.0,8.2182,8.6918,8.6746,8.8372,8.9883,9.0853,9.1332,9.2393,9.5318,9.3476,9.5967,10.0092,37.335,41.2812,41.8753,44.486000000000004
