Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
4/4/2013,2.93,2.93,2.9,2.91,680200.0,2.9102,2.8960000000000004,2.858,2.8505,2.815,2.7748,2.7446,2.7239999999999998,2.6799,2.6683,2.6599,2.6425,58.9691,63.1291,63.2732,61.8825
4/5/2013,2.92,2.95,2.9,2.94,301800.0,2.9181,2.908,2.872,2.855,2.8227,2.7825,2.7504,2.73,2.6832,2.6711,2.6621,2.6451,71.1036,67.4911,66.3285,63.5667
4/8/2013,2.93,2.98,2.93,2.98,467100.0,2.9608,2.9360000000000004,2.888,2.8625,2.8307,2.7913,2.7584,2.7365,2.6871,2.6743,2.6641,2.6477,81.8431,72.3906,69.9214,65.6596
4/9/2013,2.98,2.98,2.92,2.93,977500.0,2.9364,2.94,2.9010000000000002,2.867,2.8377,2.798,2.7668,2.7423,2.6902,2.6768,2.6656,2.6502,48.2323,59.7312,61.1392,61.1196
4/10/2013,2.94,2.95,2.9,2.9,881900.0,2.937,2.932,2.908,2.8689999999999998,2.8437,2.8038,2.7724,2.7475,2.6928,2.6793,2.667,2.6525,35.2162,53.4249,56.5498,58.6044
4/11/2013,2.9,2.94,2.89,2.9,3610600.0,2.911,2.93,2.9130000000000003,2.8715,2.8497,2.8095,2.7774,2.7523,2.6947,2.6816,2.6682,2.6549,35.2162,53.4249,56.5498,58.6044
4/12/2013,2.9,2.95,2.9,2.95,1444400.0,2.9212,2.932,2.92,2.8760000000000003,2.8577,2.8160000000000003,2.7834,2.7577,2.6971,2.6843,2.67,2.6576,67.8011,61.9081,62.0554,61.435
4/15/2013,2.95,2.95,2.91,2.91,801600.0,2.9382,2.918,2.927,2.8789999999999996,2.864,2.824,2.7886,2.7622,2.6987,2.6869,2.6715,2.66,42.2812,53.18899999999999,55.9478,58.1446
4/16/2013,2.91,2.96,2.9,2.95,251000.0,2.9319,2.9219999999999997,2.931,2.8845,2.8710000000000004,2.8323,2.7946,2.7668,2.7008,2.6897,2.6732,2.6627,63.1093,59.5915,60.1696,60.3419
4/17/2013,2.94,3.02,2.94,3.02,1120200.0,2.9897,2.946,2.9389999999999996,2.8935,2.8773,2.8405,2.8024,2.7727,2.7039999999999997,2.6929,2.6752,2.6659,81.0549,68.1641,66.2629,63.7838
