Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
9/8/2008,2.08,2.08,2.01,2.01,1412400.0,2.0283,2.14,2.2680000000000002,2.347,2.491,2.5823,2.6572,2.7267,2.8306,2.8171,2.9227,2.9356,1.8856,14.3874,18.3588,25.5649
9/9/2008,2.01,2.01,1.93,1.95,806600.0,1.9871,2.066,2.221,2.3145,2.4613,2.5580000000000003,2.6342,2.7078,2.821,2.8112,2.9169,2.9321,1.2707,12.6121,16.7897,24.3767
9/10/2008,1.93,1.93,1.79,1.84,2172900.0,1.8467,2.004,2.164,2.279,2.4267,2.531,2.6102,2.6872,2.8101,2.8046,2.9106,2.926,0.6699,10.0534,14.3655,22.401999999999997
9/11/2008,1.84,1.84,1.75,1.75,1846000.0,1.7662,1.9280000000000002,2.1,2.2430000000000003,2.3903,2.5023,2.5844,2.6653,2.7976,2.7973,2.9043,2.9197,0.4239,8.4715,12.7442,20.9646
9/12/2008,1.76,1.81,1.75,1.8,1676000.0,1.7714,1.87,2.04,2.208,2.3563,2.4753,2.5604,2.6443,2.785,2.7901,2.8983,2.9139999999999997,23.7547,16.6669,18.2634,23.7755
9/15/2008,1.8,1.8,1.73,1.78,359800.0,1.7632,1.824,1.982,2.1735,2.3217,2.4483,2.5374,2.623,2.7722,2.7823,2.8918,2.9076,20.8268,16.0213,17.7789,23.4307
9/16/2008,1.7,1.75,1.68,1.74,618000.0,1.7059,1.7819999999999998,1.9240000000000002,2.1455,2.2857,2.4213,2.5136,2.6010000000000004,2.7586,2.7731,2.8848,2.9009,15.2047,14.737,16.8181,22.7481
9/17/2008,1.72,1.72,1.7,1.72,240800.0,1.7058,1.758,1.881,2.1185,2.2527,2.3930000000000002,2.4904,2.5783,2.7448,2.7638,2.8777,2.8939999999999997,12.6447,14.1012,16.3426,22.4104
9/18/2008,1.69,1.72,1.66,1.72,1895200.0,1.6902,1.7519999999999998,1.84,2.089,2.22,2.3645,2.4678,2.556,2.7312,2.7544,2.8702,2.8861,12.6447,14.1012,16.3426,22.4104
9/19/2008,1.73,1.79,1.72,1.77,1766600.0,1.7601,1.746,1.808,2.06,2.1893,2.3393,2.4456,2.5338,2.7185,2.7456,2.8624,2.8787,55.1354,24.4191,22.6816,25.3742
