Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,4.26,4.3,4.24,4.26,92000.0,4.2698,4.204,4.132,4.057,4.0127,4.0075,4.0008,4.002,4.0284,4.0495,4.0502,4.042,99.5524,86.7827,79.1507,66.0331
1/4/2000,4.28,4.28,4.18,4.2,81000.0,4.2289,4.212,4.148,4.069,4.0187,4.0135,4.0048,4.006,4.0328,4.0472,4.0514,4.0462,50.3392,67.4756,66.9695,60.8516
1/5/2000,4.16,4.16,4.08,4.12,57000.0,4.1133,4.196,4.156,4.077,4.026,4.0175,4.0084,4.0073,4.0346,4.045,4.0524,4.0487,25.3128,50.5923,54.8488,54.9087
1/6/2000,4.18,4.18,4.08,4.1,153000.0,4.0975,4.176,4.16,4.084,4.0333,4.021,4.0108,4.0087,4.0348,4.0433,4.0533,4.0511,21.3352,47.2661,52.3004,53.556
1/7/2000,4.18,4.18,4.08,4.1,153000.0,4.0975,4.176,4.16,4.084,4.0333,4.021,4.0108,4.0087,4.0348,4.0433,4.0533,4.0511,21.3352,47.2661,52.3004,53.556
1/10/2000,4.18,4.18,4.08,4.1,153000.0,4.0975,4.176,4.16,4.084,4.0333,4.021,4.0108,4.0087,4.0348,4.0433,4.0533,4.0511,21.3352,47.2661,52.3004,53.556
1/11/2000,4.28,4.28,4.12,4.14,222000.0,4.1425,4.164,4.168,4.093,4.042,4.025,4.0148,4.0107,4.0352,4.0417,4.0543,4.0538,46.5379,54.0617,56.6397,55.8084
1/12/2000,4.14,4.16,4.1,4.1,280000.0,4.1337,4.132,4.168,4.099,4.048,4.0275,4.0176,4.0123,4.0352,4.0398,4.055,4.0562,31.4324,47.2165,51.5859,53.1423
1/13/2000,4.16,4.18,4.12,4.14,162000.0,4.1541,4.12,4.166,4.107,4.056,4.031,4.0212,4.0143,4.0354,4.0387,4.0563,4.0586,53.8848,53.7978,55.8302,55.349
1/14/2000,4.14,4.24,4.08,4.2,439000.0,4.1192,4.136,4.166,4.116,4.066,4.0355,4.0244,4.0173,4.0366,4.0378,4.0579,4.0601,73.4476,61.8291,61.3094,58.3896
1/17/2000,4.38,4.48,4.2,4.2,725000.0,4.2909,4.156,4.166,4.126,4.0727,4.0405,4.0284,4.0207,4.038,4.037,4.0591,4.0612,73.4476,61.8291,61.3094,58.3896
1/18/2000,4.2,4.3,4.18,4.2,347000.0,4.2209,4.168,4.166,4.137,4.0813,4.045,4.0332,4.024,4.0386,4.0365,4.0603,4.0627,73.4476,61.8291,61.3094,58.3896
1/19/2000,4.24,4.26,4.18,4.18,151000.0,4.2155,4.184,4.158,4.145,4.0907,4.049,4.0376,4.027,4.039,4.0357,4.0616,4.0633,49.7194,57.1169,58.2986,56.9583
1/20/2000,4.28,4.28,4.2,4.22,81000.0,4.2437,4.2,4.16,4.154,4.0993,4.054,4.0428,4.0307,4.0392,4.0353,4.063,4.0641,74.4664,63.3941,62.2875,59.0359
1/21/2000,4.26,4.3,4.22,4.24,137000.0,4.262,4.208,4.172,4.164,4.1087,4.0625,4.0484,4.0357,4.0396,4.0355,4.0637,4.0645,81.3505,66.1789,64.1348,60.0338
1/24/2000,4.26,4.3,4.24,4.26,127000.0,4.2649,4.22,4.188,4.174,4.1187,4.072,4.0544,4.0403,4.0402,4.036,4.0653,4.0645,86.7208,68.8452,65.9319,61.0161
1/25/2000,4.24,4.26,4.2,4.2,165000.0,4.2264,4.22,4.194,4.181,4.1267,4.08,4.0588,4.0447,4.0398,4.0377,4.0667,4.064,37.7733,54.3769,56.7455,56.6916
1/26/2000,4.24,4.26,4.2,4.22,148000.0,4.2297,4.228,4.206,4.187,4.1347,4.0875,4.0632,4.049,4.0396,4.039,4.0677,4.0634,51.4693,57.7098,58.8059,57.7248
1/27/2000,4.22,4.24,4.2,4.24,71000.0,4.2259,4.232,4.216,4.191,4.1433,4.096,4.068,4.0537,4.0408,4.042,4.069,4.0635,63.5148,60.9214,60.816,58.743
1/28/2000,4.24,4.24,4.1,4.12,387000.0,4.1647,4.208,4.208,4.187,4.1467,4.1015,4.07,4.055,4.0404,4.0443,4.0697,4.0625,19.6407,40.2757,46.2377,51.1034
1/31/2000,4.12,4.12,4.06,4.08,162000.0,4.0964,4.172,4.196,4.181,4.1493,4.1035,4.0716,4.0563,4.0392,4.0458,4.07,4.0609,14.5986,35.7344,42.5742,48.91
2/1/2000,4.12,4.12,4.06,4.08,162000.0,4.0964,4.172,4.196,4.181,4.1493,4.1035,4.0716,4.0563,4.0392,4.0458,4.07,4.0609,14.5986,35.7344,42.5742,48.91
2/2/2000,4.16,4.2,4.1,4.1,127000.0,4.1441,4.152,4.186,4.176,4.1533,4.1075,4.0732,4.0587,4.0384,4.049,4.0703,4.0615,28.3869,39.5674,44.9239,50.0196
2/3/2000,4.14,4.18,4.12,4.12,169000.0,4.1413,4.132,4.18,4.169,4.1567,4.113,4.0752,4.0613,4.0378,4.0518,4.0707,4.0621,42.3488,43.3672,47.2484,51.1178
2/4/2000,4.14,4.18,4.12,4.12,169000.0,4.1413,4.132,4.18,4.169,4.1567,4.113,4.0752,4.0613,4.0378,4.0518,4.0707,4.0621,42.3488,43.3672,47.2484,51.1178
2/7/2000,4.14,4.18,4.12,4.12,169000.0,4.1413,4.132,4.18,4.169,4.1567,4.113,4.0752,4.0613,4.0378,4.0518,4.0707,4.0621,42.3488,43.3672,47.2484,51.1178
2/8/2000,4.18,4.22,4.16,4.16,145000.0,4.2006,4.116,4.174,4.167,4.1607,4.118,4.078,4.0647,4.0378,4.0552,4.0707,4.063,63.6245,50.3864,51.6442,53.2435
2/9/2000,4.2,4.3,4.2,4.24,86000.0,4.2251,4.14,4.174,4.173,4.1673,4.125,4.0848,4.0693,4.0388,4.0577,4.0717,4.0645,82.7369,61.205,59.0024,57.1029
2/10/2000,4.2,4.28,4.2,4.24,108000.0,4.2515,4.172,4.172,4.18,4.1733,4.132,4.092,4.074,4.0384,4.059,4.0726,4.066,82.7369,61.205,59.0024,57.1029
2/11/2000,4.24,4.28,4.22,4.22,186000.0,4.2365,4.196,4.174,4.184,4.1787,4.1385,4.0988,4.078,4.038,4.06,4.0734,4.0673,63.8624,57.2547,56.5092,55.8691
2/14/2000,4.22,4.22,4.1,4.16,279000.0,4.1667,4.204,4.168,4.187,4.1807,4.143,4.1036,4.0807,4.0366,4.0605,4.0739,4.0682,31.5126,47.0138,49.7214,52.3583
2/15/2000,4.2,4.22,4.14,4.14,112000.0,4.1739,4.2,4.158,4.187,4.18,4.147,4.1084,4.083,4.0362,4.0607,4.0747,4.0694,25.1442,44.0585,47.666,51.2478
2/16/2000,4.16,4.18,4.12,4.16,118000.0,4.1563,4.184,4.162,4.185,4.1787,4.1505,4.1136,4.0853,4.0362,4.0613,4.0757,4.0706,42.5572,47.7532,49.8965,52.2945
2/17/2000,4.16,4.2,4.16,4.16,180000.0,4.1882,4.168,4.17,4.183,4.1773,4.1545,4.1168,4.088,4.037,4.0622,4.0772,4.0715,42.5572,47.7532,49.8965,52.2945
2/18/2000,4.18,4.2,4.12,4.14,339000.0,4.1609,4.152,4.174,4.18,4.1753,4.1585,4.1208,4.09,4.0376,4.0622,4.0786,4.0723,27.9357,44.0695,47.5463,51.12
2/21/2000,4.16,4.2,4.16,4.16,121000.0,4.1769,4.152,4.178,4.179,4.172,4.162,4.126,4.0923,4.0378,4.0623,4.0799,4.0733,52.4441,48.5357,50.0785,52.2299
2/22/2000,4.16,4.18,4.12,4.12,289000.0,4.1534,4.148,4.174,4.174,4.1693,4.164,4.1292,4.094,4.039,4.0617,4.0808,4.0741,25.9589,41.1435,45.3619,49.8862
2/23/2000,4.14,4.14,4.1,4.12,331000.0,4.1225,4.14,4.162,4.168,4.1693,4.166,4.1324,4.0977,4.0404,4.061,4.0816,4.0741,25.9589,41.1435,45.3619,49.8862
2/24/2000,4.12,4.18,4.12,4.18,261000.0,4.1473,4.144,4.156,4.164,4.172,4.169,4.1368,4.1027,4.0456,4.0608,4.0826,4.0752,72.6223,54.3444,53.0539,53.2534
2/25/2000,4.18,4.2,4.16,4.16,276000.0,4.1864,4.148,4.15,4.162,4.1727,4.1715,4.1408,4.1073,4.0494,4.0602,4.0837,4.0762,55.2211,50.1282,50.5017,52.0475
2/28/2000,4.16,4.22,4.14,4.16,190000.0,4.1754,4.148,4.15,4.159,4.1747,4.173,4.1444,4.1113,4.0524,4.0595,4.085,4.0768,55.2211,50.1282,50.5017,52.0475
2/29/2000,4.16,4.16,4.08,4.1,300000.0,4.1123,4.144,4.146,4.152,4.1733,4.1715,4.1468,4.1147,4.0558,4.0593,4.0858,4.0773,21.0979,38.7218,43.261,48.5201
3/1/2000,4.16,4.22,4.12,4.2,154000.0,4.1845,4.16,4.15,4.156,4.1733,4.1715,4.1504,4.1197,4.0598,4.0597,4.0869,4.0783,68.9953,57.0474,54.8738,53.9061
3/2/2000,4.22,4.22,4.1,4.12,116000.0,4.1305,4.148,4.146,4.158,4.1707,4.1695,4.1528,4.1217,4.0628,4.059,4.0876,4.0788,39.9173,44.9493,46.6483,49.6106
3/3/2000,4.12,4.16,4.08,4.12,60000.0,4.119,4.14,4.144,4.159,4.168,4.1675,4.1556,4.1247,4.0648,4.0585,4.0882,4.0792,39.9173,44.9493,46.6483,49.6106
3/6/2000,4.12,4.2,4.12,4.12,320000.0,4.1716,4.132,4.14,4.159,4.166,4.164,4.1576,4.1283,4.0668,4.058,4.0889,4.0795,39.9173,44.9493,46.6483,49.6106
3/7/2000,4.14,4.14,4.1,4.14,90000.0,4.1202,4.14,4.142,4.158,4.1633,4.1625,4.1596,4.1313,4.0686,4.0578,4.0897,4.0794,55.6781,48.8133,49.0337,50.6979
3/8/2000,4.1,4.12,4.02,4.12,120000.0,4.0965,4.124,4.142,4.152,4.1593,4.1625,4.1612,4.134,4.0694,4.0577,4.0903,4.0797,39.9562,45.2409,46.7811,49.5909
3/9/2000,4.1,4.12,4.08,4.08,78000.0,4.0992,4.116,4.132,4.144,4.1533,4.162,4.1616,4.136,4.07,4.056,4.0906,4.0797,21.6317,38.8445,42.569,47.4475
3/10/2000,4.1,4.14,4.08,4.14,124000.0,4.1024,4.12,4.13,4.14,4.1513,4.162,4.1632,4.139,4.0712,4.055,4.0911,4.0801,61.4307,50.6248,49.8615,50.7506
3/13/2000,4.16,4.16,4.08,4.1,76000.0,4.1003,4.116,4.124,4.137,4.1473,4.162,4.1632,4.141,4.0722,4.0533,4.0916,4.0802,40.7407,44.2342,45.6957,48.6421
3/14/2000,4.08,4.1,4.08,4.08,134000.0,4.0854,4.104,4.122,4.134,4.142,4.1605,4.1616,4.1427,4.0728,4.0525,4.0918,4.0806,32.5249,41.3015,43.7285,47.6188
3/15/2000,4.08,4.08,4.06,4.06,61000.0,4.0646,4.092,4.108,4.129,4.14,4.157,4.1588,4.1433,4.0732,4.0517,4.0919,4.081,24.9713,38.4348,41.791,46.6045
3/16/2000,4.08,4.08,4.06,4.06,61000.0,4.0646,4.092,4.108,4.129,4.14,4.157,4.1588,4.1433,4.0732,4.0517,4.0919,4.081,24.9713,38.4348,41.791,46.6045
