Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
8/22/2000,1.85,1.98,1.85,1.98,4000.0,1.9475,1.922,1.952,2.008,2.051,2.0623,2.0822,2.1152,2.3267,2.3838,2.2602,2.2016,62.9361,48.9007,45.663999999999994,42.8883
8/23/2000,1.85,1.98,1.85,1.98,4000.0,1.9475,1.922,1.952,2.008,2.051,2.0623,2.0822,2.1152,2.3267,2.3838,2.2602,2.2016,62.9361,48.9007,45.663999999999994,42.8883
8/24/2000,1.85,1.98,1.85,1.98,4000.0,1.9475,1.922,1.952,2.008,2.051,2.0623,2.0822,2.1152,2.3267,2.3838,2.2602,2.2016,62.9361,48.9007,45.663999999999994,42.8883
8/25/2000,1.85,1.98,1.85,1.98,4000.0,1.9475,1.922,1.952,2.008,2.051,2.0623,2.0822,2.1152,2.3267,2.3838,2.2602,2.2016,62.9361,48.9007,45.663999999999994,42.8883
8/28/2000,1.86,1.86,1.86,1.86,1000.0,1.86,1.9280000000000002,1.933,1.995,2.0423,2.0565,2.077,2.1062,2.3173,2.3774,2.2598,2.2014,28.4342,36.4199,36.7467,38.3576
8/29/2000,1.9,1.9,1.9,1.9,4000.0,1.9,1.946,1.921,1.986,2.0337,2.0518,2.072,2.0995,2.3064,2.3687,2.2603,2.2014,43.8304,41.9736,40.8903,40.5241
8/30/2000,1.9,1.91,1.9,1.9,4000.0,1.9025,1.9240000000000002,1.909,1.9780000000000002,2.025,2.046,2.0666,2.0913,2.2962,2.3619,2.2611,2.2015,43.8304,41.9736,40.8903,40.5241
8/31/2000,1.9,1.91,1.9,1.9,4000.0,1.9025,1.9240000000000002,1.909,1.9780000000000002,2.025,2.046,2.0666,2.0913,2.2962,2.3619,2.2611,2.2015,43.8304,41.9736,40.8903,40.5241
9/1/2000,1.9,1.91,1.9,1.9,4000.0,1.9025,1.9240000000000002,1.909,1.9780000000000002,2.025,2.046,2.0666,2.0913,2.2962,2.3619,2.2611,2.2015,43.8304,41.9736,40.8903,40.5241
9/4/2000,1.86,1.86,1.86,1.86,3000.0,1.86,1.9,1.8940000000000001,1.9675,2.0140000000000002,2.0393,2.0596,2.0837,2.2844,2.3552,2.2616,2.2014,29.5343,37.7952,38.0031,39.0551
