Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.496,2.573,2.486,2.563,163343.0,2.5126,2.395,2.3824,2.2194,2.1055,2.0069,1.9723,1.9599,1.9261,1.9917,2.0323,1.9616,90.5214,81.237,78.8645,71.843
1/4/2000,2.515,2.757,2.515,2.708,220203.0,2.625,2.4666,2.4115,2.2581,2.1371,2.0306,1.9899,1.9721,1.9348,1.9922,2.0386,1.969,94.773,85.5924,82.5298,74.6014
1/5/2000,2.573,2.689,2.515,2.612,191256.0,2.5952,2.515,2.4298,2.291,2.1651,2.0523,2.0062,1.9831,1.9426,1.9914,2.0447,1.976,65.4264,72.9008,73.3922,69.8802
1/6/2000,2.612,2.708,2.612,2.67,180918.0,2.6703,2.5827,2.4627,2.3273,2.1919,2.0768,2.0238,1.9933,1.9492,1.9912,2.0505,1.9836,72.9616,75.3663,75.1687,71.0186
1/7/2000,2.612,2.708,2.612,2.67,180918.0,2.6703,2.5827,2.4627,2.3273,2.1919,2.0768,2.0238,1.9933,1.9492,1.9912,2.0505,1.9836,72.9616,75.3663,75.1687,71.0186
1/10/2000,2.612,2.708,2.612,2.67,180918.0,2.6703,2.5827,2.4627,2.3273,2.1919,2.0768,2.0238,1.9933,1.9492,1.9912,2.0505,1.9836,72.9616,75.3663,75.1687,71.0186
1/11/2000,2.747,2.96,2.747,2.921,589275.0,2.8954,2.6949,2.5208,2.3718,2.2264,2.1072,2.0468,2.0084,1.9575,1.9937,2.0572,1.9924,88.8117,82.9352,81.0674,75.2175
1/12/2000,2.921,3.057,2.863,2.979,413526.0,2.9751,2.7781,2.5865,2.4206,2.2635,2.1394,2.0702,2.0242,1.9672,1.9969,2.0636,2.0015,90.699,84.1959,82.1229,76.046
1/13/2000,3.076,3.095,2.979,2.999,428000.0,3.0234,2.8361,2.6513,2.4661,2.3005,2.1708,2.0921,2.0419,1.9776,2.0001,2.0702,2.0107,91.4225,84.6219,82.4736,76.319
1/14/2000,2.999,3.076,2.979,3.057,354599.0,3.0341,2.9251,2.72,2.5106,2.3379,2.2037,2.1157,2.0623,1.9885,2.0036,2.0771,2.02,93.6464,85.9044,83.5183,77.128
1/17/2000,3.076,3.424,3.076,3.347,1116521.0,3.2689,3.0605,2.8216,2.5725,2.385,2.2451,2.1449,2.0898,2.0023,2.0099,2.0855,2.0305,97.8422,90.4051,87.5229,80.5625
1/18/2000,3.366,3.444,3.289,3.444,497266.0,3.3745,3.165,2.9299,2.6393,2.4353,2.2898,2.177,2.1179,2.0166,2.0183,2.0938,2.0407,98.3779,91.4311,88.5238,81.5194
