Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,5.945,6.946,5.945,6.813,1470890.0,6.5577,6.1049,5.9813,5.3401,4.9115,4.5498,4.2249,3.9834,3.4499,3.3483,3.1239,3.0011,94.8931,88.9848,88.1219,86.8295
1/4/2000,6.813,7.748,6.679,7.548,1796574.0,7.2713,6.4322,6.155,5.5188,5.0251,4.6613,4.3195,4.0622,3.5046,3.3848,3.155,3.03,97.5577,92.5302,91.0456,89.0534
1/5/2000,7.013,7.414,6.679,7.08,1164676.0,7.1889,6.6726,6.2752,5.6724,5.1175,4.7615,4.4053,4.1342,3.5539,3.4175,3.1828,3.0565,65.1235,75.2019,77.9042,80.1447
1/6/2000,7.481,7.481,6.679,7.013,1384159.0,7.0377,6.8797,6.3821,5.821,5.2099,4.8597,4.4892,4.2047,3.6014,3.4498,3.21,3.0824,60.7925,73.0046,76.2118,78.9771
1/7/2000,7.481,7.481,6.679,7.013,1384159.0,7.0377,6.8797,6.3821,5.821,5.2099,4.8597,4.4892,4.2047,3.6014,3.4498,3.21,3.0824,60.7925,73.0046,76.2118,78.9771
1/10/2000,7.481,7.481,6.679,7.013,1384159.0,7.0377,6.8797,6.3821,5.821,5.2099,4.8597,4.4892,4.2047,3.6014,3.4498,3.21,3.0824,60.7925,73.0046,76.2118,78.9771
1/11/2000,7.28,7.548,7.28,7.28,1800999.0,7.342,7.1469,6.5223,5.9797,5.319,4.9646,4.5784,4.28,3.6515,3.4843,3.2381,3.1096,71.9751,76.1415,78.2474,80.1724
1/12/2000,7.214,7.347,7.147,7.28,384095.0,7.2558,7.2404,6.6726,6.1299,5.4281,5.0671,4.6676,4.3555,3.702,3.5188,3.2663,3.1368,71.9751,76.1415,78.2474,80.1724
1/13/2000,7.28,7.28,6.746,6.813,896517.0,6.914,7.0934,6.7628,6.2235,5.5193,5.1514,4.7446,4.422,3.7468,3.5492,3.2915,3.1617,33.902,60.5562,66.6688,72.4573
1/14/2000,6.88,7.08,6.746,6.88,1411594.0,6.9504,7.0534,6.863,6.3236,5.6162,5.2274,4.8215,4.4908,3.7906,3.5803,3.3166,3.1867,40.6315,61.8124,67.4107,72.8435
