Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,4.38,4.46,4.36,4.4,61000.0,4.4177,4.34,4.234,4.187,4.158,4.1275,4.1696,4.2193,4.3784,4.4688,4.6643,4.6128,82.4674,71.8371,64.2547,53.7636
1/4/2000,4.4,4.42,4.34,4.38,47000.0,4.3774,4.36,4.262,4.201,4.164,4.134,4.1672,4.2177,4.3766,4.4619,4.6638,4.6155,69.9616,68.6226,62.492,53.0683
1/5/2000,4.3,4.36,4.28,4.3,19000.0,4.3074,4.344,4.282,4.209,4.162,4.137,4.1644,4.2147,4.3746,4.4544,4.663,4.6179,36.6317,57.1208,55.8874,50.3729
1/6/2000,4.28,4.3,4.2,4.28,143000.0,4.2677,4.336,4.298,4.217,4.162,4.141,4.1612,4.2107,4.371,4.4468,4.6622,4.6203,31.0793,54.5493,54.3412,49.7198
1/7/2000,4.28,4.3,4.2,4.28,143000.0,4.2677,4.336,4.298,4.217,4.162,4.141,4.1612,4.2107,4.371,4.4468,4.6622,4.6203,31.0793,54.5493,54.3412,49.7198
1/10/2000,4.28,4.3,4.2,4.28,143000.0,4.2677,4.336,4.298,4.217,4.162,4.141,4.1612,4.2107,4.371,4.4468,4.6622,4.6203,31.0793,54.5493,54.3412,49.7198
1/11/2000,4.28,4.4,4.28,4.36,126000.0,4.3394,4.344,4.322,4.229,4.17,4.1465,4.1604,4.208,4.366,4.4402,4.6616,4.6232,63.9052,62.2057,59.2033,52.28
1/12/2000,4.36,4.44,4.3,4.44,144000.0,4.3533,4.352,4.346,4.245,4.1833,4.157,4.1624,4.2073,4.3614,4.4343,4.6596,4.6265,78.9464,68.2271,63.4006,54.6678
1/13/2000,4.4,4.44,4.32,4.44,508000.0,4.4006,4.364,4.362,4.26,4.1987,4.1675,4.1644,4.2073,4.3572,4.4283,4.6571,4.629,78.9464,68.2271,63.4006,54.6678
1/14/2000,4.36,4.46,4.36,4.44,44000.0,4.43,4.392,4.368,4.273,4.2173,4.179,4.1672,4.2063,4.3548,4.4224,4.6543,4.6311,78.9464,68.2271,63.4006,54.6678
1/17/2000,4.5,4.7,4.5,4.54,71000.0,4.6225,4.444,4.39,4.294,4.2353,4.1935,4.1736,4.2087,4.3532,4.4178,4.6518,4.633,92.3664,75.2462,68.4656,57.6035
1/18/2000,4.5,4.68,4.5,4.6,30000.0,4.6413,4.492,4.418,4.314,4.254,4.2105,4.1812,4.2117,4.3512,4.414,4.6493,4.635,95.1492,78.4584,71.0541,59.2418
1/19/2000,4.54,4.64,4.54,4.6,46000.0,4.613,4.524,4.438,4.336,4.2707,4.228,4.1896,4.2143,4.3492,4.4118,4.6465,4.6371,95.1492,78.4584,71.0541,59.2418
1/20/2000,4.6,4.68,4.6,4.64,57000.0,4.6151,4.564,4.464,4.363,4.2887,4.239,4.2,4.2167,4.3478,4.4095,4.6434,4.6389,96.864,80.5842,72.7815,60.3353
1/21/2000,4.64,4.68,4.6,4.66,104000.0,4.6683,4.608,4.5,4.391,4.306,4.2465,4.2096,4.2203,4.3466,4.4075,4.6398,4.6409,97.5212,81.6053,73.6289,60.8782
1/24/2000,4.66,4.7,4.66,4.68,47000.0,4.6774,4.636,4.54,4.419,4.3247,4.2565,4.2208,4.2243,4.3472,4.4058,4.6364,4.6432,98.1141,82.6328,74.4844,61.4244
1/25/2000,4.66,4.68,4.64,4.68,78000.0,4.6654,4.652,4.572,4.447,4.3433,4.2705,4.2316,4.229,4.3452,4.4045,4.6329,4.6451,98.1141,82.6328,74.4844,61.4244
1/26/2000,4.68,4.68,4.6,4.6,50000.0,4.6572,4.652,4.588,4.467,4.3593,4.2845,4.2432,4.2333,4.3424,4.4038,4.6274,4.6462,31.1223,64.4164,64.7412,57.9604
1/27/2000,4.6,4.62,4.56,4.62,31000.0,4.589,4.648,4.606,4.484,4.3753,4.3005,4.2552,4.238,4.3412,4.4023,4.6217,4.6473,45.1632,66.4939,65.9407,58.5647
1/28/2000,4.66,4.68,4.56,4.6,72000.0,4.6172,4.636,4.622,4.495,4.3893,4.3185,4.2676,4.243,4.3412,4.4023,4.6164,4.6483,34.5872,62.3957,63.6103,57.7066
1/31/2000,4.52,4.54,4.52,4.52,21000.0,4.521,4.604,4.62,4.505,4.4027,4.3315,4.2788,4.248,4.3406,4.4022,4.6112,4.649,14.3811,48.8481,55.2058,54.4078
2/1/2000,4.52,4.54,4.52,4.52,21000.0,4.521,4.604,4.62,4.505,4.4027,4.3315,4.2788,4.248,4.3406,4.4022,4.6112,4.649,14.3811,48.8481,55.2058,54.4078
2/2/2000,4.5,4.6,4.5,4.54,43000.0,4.547,4.576,4.614,4.516,4.414,4.344,4.2912,4.2533,4.3398,4.4023,4.6062,4.6495,29.7675,51.792,56.7445,55.072
2/3/2000,4.78,4.8,4.62,4.68,19000.0,4.6895,4.592,4.622,4.53,4.4313,4.3585,4.3068,4.2617,4.3398,4.4037,4.6022,4.6509,75.6722,66.8268,65.6415,59.3595
2/4/2000,4.78,4.8,4.62,4.68,19000.0,4.6895,4.592,4.622,4.53,4.4313,4.3585,4.3068,4.2617,4.3398,4.4037,4.6022,4.6509,75.6722,66.8268,65.6415,59.3595
2/7/2000,4.78,4.8,4.62,4.68,19000.0,4.6895,4.592,4.622,4.53,4.4313,4.3585,4.3068,4.2617,4.3398,4.4037,4.6022,4.6509,75.6722,66.8268,65.6415,59.3595
2/8/2000,4.78,4.8,4.7,4.72,33000.0,4.7685,4.612,4.63,4.547,4.452,4.374,4.3172,4.2717,4.3406,4.405,4.5995,4.6521,80.9957,69.8492,67.6866,60.4744
2/9/2000,4.8,4.8,4.72,4.74,116000.0,4.7397,4.64,4.638,4.569,4.4733,4.389,4.3248,4.281,4.3406,4.407,4.5969,4.6536,83.6749,71.3191,68.6901,61.0274
2/10/2000,4.78,4.8,4.62,4.74,101000.0,4.717,4.684,4.644,4.592,4.494,4.4045,4.334,4.2913,4.3404,4.4078,4.5947,4.6552,83.6749,71.3191,68.6901,61.0274
2/11/2000,4.76,4.8,4.74,4.76,97000.0,4.7588,4.728,4.652,4.612,4.5153,4.4205,4.3468,4.3017,4.3406,4.407,4.5939,4.6566,87.6063,72.9859,69.7785,61.6023
2/14/2000,4.76,4.82,4.74,4.78,172000.0,4.782,4.748,4.67,4.629,4.5347,4.437,4.3616,4.3143,4.3414,4.406,4.5924,4.6565,90.8952,74.6437,70.8691,62.1794
2/15/2000,4.78,4.8,4.6,4.64,207000.0,4.729,4.732,4.672,4.639,4.5467,4.4495,4.3748,4.3247,4.3422,4.4042,4.5901,4.6553,24.006,50.3237,55.713,56.076
2/16/2000,4.7,4.8,4.68,4.76,55000.0,4.7709,4.736,4.688,4.655,4.5593,4.464,4.3924,4.3377,4.3442,4.4048,4.5888,4.6544,60.9516,62.1997,63.0143,59.5929
2/17/2000,4.72,4.8,4.7,4.76,113000.0,4.7497,4.74,4.712,4.666,4.574,4.48,4.4076,4.351,4.3446,4.4053,4.5874,4.6532,60.9516,62.1997,63.0143,59.5929
2/18/2000,4.72,4.76,4.7,4.72,71000.0,4.7194,4.732,4.73,4.672,4.5873,4.493,4.4212,4.3643,4.345,4.4047,4.5861,4.6516,44.6655,56.5012,59.2388,57.9381
2/21/2000,4.7,4.7,4.62,4.66,88000.0,4.6641,4.708,4.728,4.675,4.596,4.5055,4.4324,4.377,4.3448,4.4035,4.5848,4.6494,27.8951,48.9356,54.0112,55.5447
2/22/2000,4.66,4.8,4.64,4.64,42000.0,4.6714,4.708,4.72,4.675,4.6047,4.519,4.4432,4.3843,4.3448,4.4023,4.5832,4.6466,23.486,46.5959,52.3527,54.7646
2/23/2000,4.68,4.74,4.64,4.68,62000.0,4.6897,4.692,4.714,4.676,4.6173,4.5335,4.454,4.3897,4.3476,4.4015,4.582,4.6435,48.0973,51.783,55.3084,56.0419
2/24/2000,4.68,4.7,4.62,4.64,160000.0,4.6559,4.668,4.704,4.674,4.6293,4.5465,4.4644,4.3957,4.351,4.4017,4.581,4.6402,32.4437,46.682,51.845,54.4514
2/25/2000,4.66,4.7,4.64,4.64,156000.0,4.6632,4.652,4.692,4.672,4.6387,4.5595,4.4748,4.4043,4.3552,4.3997,4.5798,4.6369,32.4437,46.682,51.845,54.4514
2/28/2000,4.62,4.62,4.5,4.54,70000.0,4.5611,4.628,4.668,4.669,4.642,4.568,4.4832,4.4127,4.3588,4.3968,4.5792,4.6316,11.4614,35.5895,43.8783,50.6085
