Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,0.392,0.404,0.392,0.399,7831378.0,0.4005,0.3891,0.3855,0.3822,0.3722,0.362,0.356,0.3514,0.3484,0.3491,0.3731,0.37,73.2876,65.2331,65.0747,64.3693
1/4/2000,0.402,0.402,0.386,0.387,3088500.0,0.3903,0.3894,0.3848,0.3837,0.3733,0.3635,0.357,0.3524,0.3492,0.3491,0.3731,0.3703,46.0647,54.1228,57.0615,60.096
1/5/2000,0.387,0.397,0.374,0.381,6372784.0,0.3839,0.3884,0.3845,0.3847,0.3743,0.365,0.3578,0.3533,0.3498,0.3489,0.373,0.3707,34.9402,48.7818,53.0421,57.8267
1/6/2000,0.382,0.384,0.374,0.379,7532807.0,0.38,0.3858,0.385,0.3854,0.3753,0.3662,0.3588,0.3539,0.3502,0.3488,0.3728,0.3711,32.0387,47.4644,52.0549,57.2674
1/7/2000,0.382,0.384,0.374,0.379,7532807.0,0.38,0.3858,0.385,0.3854,0.3753,0.3662,0.3588,0.3539,0.3502,0.3488,0.3728,0.3711,32.0387,47.4644,52.0549,57.2674
1/10/2000,0.382,0.384,0.374,0.379,7532807.0,0.38,0.3858,0.385,0.3854,0.3753,0.3662,0.3588,0.3539,0.3502,0.3488,0.3728,0.3711,32.0387,47.4644,52.0549,57.2674
1/11/2000,0.389,0.401,0.381,0.382,11350604.0,0.3955,0.3858,0.386,0.3864,0.3765,0.3674,0.3599,0.3547,0.3506,0.3487,0.3726,0.3714,45.5928,50.4737,53.9027,58.1057
1/12/2000,0.381,0.396,0.381,0.396,14375473.0,0.3871,0.3851,0.3871,0.3876,0.378,0.369,0.3612,0.3558,0.3509,0.3488,0.3725,0.3719,75.2316,60.6236,60.4663,61.2512
1/13/2000,0.382,0.404,0.382,0.396,11629596.0,0.3977,0.3868,0.3881,0.3877,0.3796,0.3705,0.3625,0.357,0.3514,0.3489,0.3725,0.3723,75.2316,60.6236,60.4663,61.2512
1/14/2000,0.397,0.406,0.396,0.402,16318634.0,0.4006,0.3911,0.3898,0.388,0.3814,0.3723,0.3639,0.3584,0.3516,0.3491,0.3725,0.3727,84.6431,65.1441,63.4816,62.7477
1/17/2000,0.407,0.417,0.407,0.409,16396948.0,0.4129,0.3971,0.3914,0.3889,0.3832,0.3743,0.3655,0.3599,0.3518,0.3494,0.3725,0.3731,90.2184,69.1308,66.2534,64.1789
1/18/2000,0.412,0.417,0.406,0.407,7953743.0,0.413,0.4021,0.3939,0.3896,0.3846,0.3761,0.3671,0.3612,0.3519,0.3499,0.3726,0.3735,79.4076,66.9763,64.9266,63.5475
1/19/2000,0.407,0.419,0.407,0.409,11825381.0,0.4124,0.4047,0.3949,0.3902,0.3865,0.3778,0.3686,0.3625,0.3523,0.3504,0.3726,0.3739,82.545,68.0949,65.667,63.9148
1/20/2000,0.416,0.419,0.412,0.416,16700414.0,0.4155,0.4087,0.3978,0.3913,0.3884,0.3794,0.3704,0.3638,0.3526,0.3509,0.3726,0.3743,90.8811,72.3151,68.529,65.359
1/21/2000,0.416,0.429,0.416,0.426,17605917.0,0.4223,0.4134,0.4022,0.3934,0.3906,0.3813,0.3724,0.3652,0.3531,0.3515,0.3727,0.3747,95.6044,77.367,72.2639,67.3844
1/24/2000,0.426,0.436,0.426,0.431,11316341.0,0.431,0.4177,0.4074,0.3962,0.3927,0.3833,0.3744,0.3669,0.3536,0.3523,0.3729,0.3751,96.8342,79.4739,73.9299,68.3419
1/25/2000,0.429,0.432,0.416,0.431,4909295.0,0.4245,0.4224,0.4122,0.3991,0.395,0.3854,0.3764,0.3686,0.354,0.3532,0.3729,0.3754,96.8342,79.4739,73.9299,68.3419
1/26/2000,0.429,0.429,0.409,0.411,8506834.0,0.414,0.4227,0.4137,0.4004,0.3963,0.387,0.3779,0.37,0.3544,0.3538,0.3727,0.3756,27.5248,54.0174,57.819,60.7127
1/27/2000,0.414,0.421,0.411,0.414,5540700.0,0.4135,0.4224,0.4156,0.4018,0.397,0.3886,0.3795,0.3713,0.355,0.3546,0.3725,0.3759,38.5251,56.6226,59.4068,61.4546
1/28/2000,0.414,0.414,0.397,0.407,10234632.0,0.4023,0.4187,0.4161,0.4029,0.3974,0.3901,0.381,0.3726,0.3555,0.3554,0.3723,0.3761,26.4716,50.2207,54.9516,59.1439
1/31/2000,0.399,0.402,0.396,0.401,6250419.0,0.4,0.4127,0.4152,0.4033,0.3976,0.3912,0.3825,0.3738,0.3558,0.3561,0.3719,0.3761,18.0163,44.5537,50.8452,56.9295
