Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,3.68,4.4,3.68,4.4,365000.0,3.9644,3.752,3.724,3.286,2.9327,2.7355,2.6352,2.5487,2.4886,2.416,2.2812,2.2509,96.0283,85.8781,81.6343,76.352
1/4/2000,4.4,4.52,4.2,4.24,165000.0,4.3612,3.88,3.768,3.384,3.0047,2.789,2.676,2.585,2.5104,2.4347,2.2928,2.263,75.2728,76.704,75.2222,72.5658
1/5/2000,3.8,4.04,3.8,4.0,115000.0,3.9504,3.968,3.796,3.468,3.0693,2.8365,2.712,2.6173,2.5298,2.4508,2.3032,2.2735,50.6439,64.9886,66.7525,67.3811
1/6/2000,4.2,4.2,3.98,4.0,80000.0,4.0475,4.048,3.826,3.55,3.1333,2.884,2.7468,2.6507,2.5492,2.4675,2.3137,2.2839,50.6439,64.9886,66.7525,67.3811
1/7/2000,4.2,4.2,3.98,4.0,80000.0,4.0475,4.048,3.826,3.55,3.1333,2.884,2.7468,2.6507,2.5492,2.4675,2.3137,2.2839,50.6439,64.9886,66.7525,67.3811
1/10/2000,4.2,4.2,3.98,4.0,80000.0,4.0475,4.048,3.826,3.55,3.1333,2.884,2.7468,2.6507,2.5492,2.4675,2.3137,2.2839,50.6439,64.9886,66.7525,67.3811
1/11/2000,4.04,4.16,4.0,4.0,75000.0,4.096,4.128,3.864,3.62,3.1973,2.929,2.7808,2.6837,2.5684,2.4842,2.3241,2.2943,50.6439,64.9886,66.7525,67.3811
1/12/2000,3.84,3.96,3.84,3.84,32500.0,3.8585,4.016,3.884,3.687,3.254,2.97,2.8136,2.7113,2.5854,2.4995,2.3337,2.3038,29.1696,56.7596,61.0306,64.0059
1/13/2000,3.84,4.0,3.68,3.68,55000.0,3.8391,3.904,3.892,3.721,3.2967,3.005,2.8412,2.736,2.6002,2.5135,2.3425,2.3126,17.8294,49.6824,55.873,60.8527
1/14/2000,3.84,3.9,3.76,3.8,70000.0,3.82,3.864,3.916,3.762,3.3427,3.044,2.8724,2.7627,2.616,2.5285,2.3517,2.3218,42.8324,54.4721,58.6925,62.2939
1/17/2000,3.9,4.0,3.84,3.94,62500.0,3.9088,3.852,3.95,3.805,3.3947,3.091,2.9064,2.793,2.6334,2.544,2.3618,2.332,62.6963,59.5286,61.7622,63.898
1/18/2000,3.84,3.92,3.84,3.92,22500.0,3.8622,3.836,3.982,3.829,3.4467,3.1365,2.94,2.823,2.65,2.5597,2.3718,2.3424,58.3516,58.4847,61.0641,63.4988
1/19/2000,3.92,3.92,3.7,3.7,25000.0,3.818,3.808,3.912,3.818,3.4947,3.1775,2.9708,2.848,2.6644,2.5732,2.3809,2.3512,27.2237,48.056,53.8529,59.284
1/20/2000,3.78,4.2,3.78,4.0,157500.0,4.0,3.872,3.888,3.828,3.552,3.2255,3.0088,2.878,2.6816,2.5892,2.3918,2.3614,65.1981,59.2132,60.6731,62.77
1/21/2000,4.08,4.08,4.04,4.08,67500.0,4.0756,3.928,3.896,3.846,3.6107,3.276,3.0484,2.9093,2.6994,2.6055,2.4031,2.372,71.2076,61.6824,62.2743,63.629
