Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,3.5,3.533,3.467,3.5,121500.0,3.5119,3.5067,3.47,3.445,3.4133,3.3813,3.3573,3.3298,3.2959,3.2919,3.3946,3.3818,55.0451,64.3245,67.12,65.2983
1/4/2000,3.533,3.567,3.467,3.533,159000.0,3.5195,3.52,3.48,3.455,3.4189,3.3877,3.3629,3.3369,3.3003,3.2927,3.396,3.3834,74.4214,70.4398,71.0668,67.3371
1/5/2000,3.467,3.533,3.433,3.5,243000.0,3.4776,3.5067,3.4867,3.4583,3.4233,3.3938,3.3679,3.3434,3.3027,3.293,3.3972,3.385,45.1991,59.0521,62.9316,63.479
1/6/2000,3.533,3.533,3.367,3.467,591000.0,3.4373,3.5,3.49,3.4617,3.4278,3.3992,3.3721,3.3486,3.3041,3.293,3.3977,3.3861,28.4452,49.9649,56.0249,59.9271
1/7/2000,3.533,3.533,3.367,3.467,591000.0,3.4373,3.5,3.49,3.4617,3.4278,3.3992,3.3721,3.3486,3.3041,3.293,3.3977,3.3861,28.4452,49.9649,56.0249,59.9271
1/10/2000,3.533,3.533,3.367,3.467,591000.0,3.4373,3.5,3.49,3.4617,3.4278,3.3992,3.3721,3.3486,3.3041,3.293,3.3977,3.3861,28.4452,49.9649,56.0249,59.9271
1/11/2000,3.467,3.467,3.433,3.433,51000.0,3.4627,3.4867,3.49,3.4617,3.4311,3.4037,3.3755,3.3524,3.3055,3.2933,3.3968,3.3875,18.2809,42.5914,50.1032,56.6481
1/12/2000,3.467,3.467,3.333,3.333,456000.0,3.3977,3.4533,3.48,3.4567,3.4289,3.4057,3.3765,3.3547,3.3055,3.293,3.3957,3.3889,7.0096,28.4311,37.349,48.425
1/13/2000,3.433,3.467,3.4,3.467,268500.0,3.4339,3.44,3.48,3.4583,3.4322,3.4103,3.3797,3.3587,3.3068,3.2938,3.3961,3.3903,58.3586,52.2461,54.1193,57.0288
1/14/2000,3.467,3.6,3.433,3.567,786000.0,3.5314,3.4533,3.48,3.465,3.44,3.4168,3.3857,3.3646,3.3088,3.2955,3.3966,3.392,74.3148,62.7145,62.2754,61.9531
1/17/2000,3.667,3.767,3.567,3.567,945000.0,3.676,3.4733,3.4867,3.4717,3.4478,3.423,3.3917,3.3704,3.3108,3.2977,3.3968,3.393,74.3148,62.7145,62.2754,61.9531
1/18/2000,3.6,3.6,3.533,3.567,960000.0,3.5708,3.5,3.4933,3.4783,3.4556,3.4292,3.3991,3.3759,3.3128,3.3002,3.3972,3.3949,74.3148,62.7145,62.2754,61.9531
1/19/2000,3.533,3.633,3.533,3.533,1429500.0,3.5625,3.54,3.4967,3.4833,3.4622,3.4342,3.4044,3.3806,3.3145,3.3024,3.3968,3.396,51.9292,56.8045,57.9841,59.4395
1/20/2000,3.533,3.567,3.533,3.533,972000.0,3.5412,3.5533,3.4967,3.4883,3.4689,3.4383,3.4095,3.3852,3.3161,3.3052,3.3959,3.3971,51.9292,56.8045,57.9841,59.4395
1/21/2000,3.567,3.633,3.567,3.6,493500.0,3.5896,3.56,3.5067,3.4967,3.4744,3.4442,3.4164,3.391,3.3181,3.3081,3.3951,3.3987,79.5923,65.1238,63.7743,62.6803
1/24/2000,3.6,3.6,3.533,3.6,264000.0,3.571,3.5667,3.52,3.505,3.4811,3.4508,3.4233,3.3968,3.3201,3.3106,3.3953,3.4001,79.5923,65.1238,63.7743,62.6803
1/25/2000,3.6,3.6,3.5,3.567,300000.0,3.5512,3.5667,3.5333,3.5117,3.4856,3.4567,3.4296,3.4018,3.3221,3.3132,3.395,3.4014,48.3139,58.0489,59.055,60.1104
1/26/2000,3.567,3.567,3.5,3.5,231000.0,3.5355,3.56,3.55,3.515,3.4878,3.4592,3.4345,3.4054,3.3238,3.3152,3.3937,3.4023,22.1731,46.6469,50.9365,55.4101
1/27/2000,3.533,3.533,3.367,3.367,1086000.0,3.4088,3.5267,3.54,3.51,3.4856,3.4592,3.4363,3.4064,3.3253,3.3167,3.3914,3.4031,8.4527,32.3499,39.2999,47.6941
1/28/2000,3.367,3.4,3.32,3.367,1354500.0,3.3542,3.48,3.52,3.5,3.4833,3.46,3.4375,3.4081,3.3266,3.3188,3.3879,3.4037,8.4527,32.3499,39.2999,47.6941
1/31/2000,3.333,3.367,3.333,3.367,694500.0,3.3482,3.4333,3.5,3.4933,3.4811,3.4608,3.4384,3.4098,3.3272,3.3214,3.3848,3.4037,8.4527,32.3499,39.2999,47.6941
2/1/2000,3.333,3.367,3.333,3.367,694500.0,3.3482,3.4333,3.5,3.4933,3.4811,3.4608,3.4384,3.4098,3.3272,3.3214,3.3848,3.4037,8.4527,32.3499,39.2999,47.6941
2/2/2000,3.433,3.433,3.367,3.4,109500.0,3.3982,3.4,3.4833,3.4883,3.48,3.4625,3.44,3.4131,3.3275,3.3243,3.3822,3.4035,39.8546,39.0044,43.3416,49.6352
2/3/2000,3.4,3.5,3.367,3.5,384000.0,3.3977,3.4,3.48,3.4883,3.4822,3.4667,3.4433,3.417,3.3289,3.3279,3.38,3.404,76.3538,54.2071,53.372,54.8366
2/4/2000,3.4,3.5,3.367,3.5,384000.0,3.3977,3.4,3.48,3.4883,3.4822,3.4667,3.4433,3.417,3.3289,3.3279,3.38,3.404,76.3538,54.2071,53.372,54.8366
2/7/2000,3.4,3.5,3.367,3.5,384000.0,3.3977,3.4,3.48,3.4883,3.4822,3.4667,3.4433,3.417,3.3289,3.3279,3.38,3.404,76.3538,54.2071,53.372,54.8366
2/8/2000,3.567,3.567,3.433,3.5,184500.0,3.4954,3.4267,3.4767,3.4867,3.4844,3.4708,3.446,3.4207,3.3305,3.3313,3.3777,3.4051,76.3538,54.2071,53.372,54.8366
2/9/2000,3.533,3.533,3.433,3.5,184500.0,3.4802,3.4533,3.4667,3.4867,3.4867,3.4725,3.4487,3.4248,3.3322,3.3334,3.3757,3.4061,76.3538,54.2071,53.372,54.8366
2/10/2000,3.5,3.533,3.467,3.5,636000.0,3.485,3.48,3.4567,3.4883,3.4889,3.475,3.452,3.4289,3.3335,3.3348,3.3737,3.4068,76.3538,54.2071,53.372,54.8366
2/11/2000,3.533,3.567,3.467,3.533,403500.0,3.5146,3.5067,3.4533,3.4933,3.4922,3.4775,3.456,3.4336,3.3352,3.3368,3.3726,3.4065,88.3174,59.5855,56.8008,56.5496
