Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D
9/3/2002,2.708,2.708,2.708,2.708,6203.0,2.7082,2.6566,2.6292,2.6151,2.6091,2.6302,2.6252,2.6435,2.3922,2.3216,2.3036,2.3091,91.4444,70.5501,56.0763,61.7222
9/4/2002,2.676,2.821,2.6439999999999997,2.821,55830.0,2.7252,2.6953,2.6502,2.6272,2.6171,2.6327,2.6258,2.6462,2.4023,2.3279,2.3032,2.3163,97.3627,81.4888,59.8202,70.6891
9/5/2002,2.676,2.821,2.6439999999999997,2.821,55830.0,2.7252,2.6953,2.6502,2.6272,2.6171,2.6327,2.6258,2.6462,2.4023,2.3279,2.3032,2.3163,97.3627,81.4888,59.8202,70.6891
9/6/2002,2.8369999999999997,2.9019999999999997,2.8369999999999997,2.9019999999999997,31017.0,2.8888,2.7534,2.6824,2.6417,2.6268,2.6375,2.6275,2.6498,2.4133,2.3346,2.3059,2.3242,98.4853,85.7439,62.2009,75.1645
9/9/2002,2.9339999999999997,2.9339999999999997,2.918,2.918,12407.0,2.9258,2.8082,2.7147,2.657,2.6359,2.6395,2.6336,2.6535,2.4244,2.3415,2.3105,2.3281,98.6568,86.445,62.6586,75.9552
9/10/2002,2.99,2.99,2.99,2.99,6203.0,2.9903,2.8678,2.7526,2.6744,2.6497,2.6449,2.6392,2.6588,2.4366,2.3489,2.3177,2.335,99.2387,89.1469,64.6514,79.1693
9/11/2002,3.015,3.015,3.015,3.015,6203.0,3.0145,2.9291,2.7929,2.6961,2.6642,2.6494,2.6531,2.6628,2.4503,2.3569,2.3255,2.342,99.3743,89.9017,65.2902,80.1231
9/12/2002,3.015,3.015,3.015,3.015,6203.0,3.0145,2.9291,2.7929,2.6961,2.6642,2.6494,2.6531,2.6628,2.4503,2.3569,2.3255,2.342,99.3743,89.9017,65.2902,80.1231
9/13/2002,3.015,3.015,3.015,3.015,6203.0,3.0145,2.9291,2.7929,2.6961,2.6642,2.6494,2.6531,2.6628,2.4503,2.3569,2.3255,2.342,99.3743,89.9017,65.2902,80.1231
9/16/2002,3.063,3.063,3.063,3.063,12407.0,3.0629,2.9774,2.8364,2.7195,2.6797,2.6566,2.6679,2.6671,2.4654,2.3654,2.3336,2.3485,99.5921,91.2682,66.5411,81.9074
