Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,1.4,1.4,1.373,1.4,67500.0,1.3901,1.3627,1.3473,1.3267,1.2733,1.2388,1.2077,1.1909,1.1637,1.1958,1.1997,1.1772,87.5327,76.4027,74.3204,73.7037
1/4/2000,1.4,1.433,1.4,1.433,81000.0,1.4158,1.384,1.356,1.3357,1.2827,1.2467,1.2151,1.1958,1.1667,1.1952,1.2019,1.1796,93.0141,80.9291,77.7391,75.568
1/5/2000,1.333,1.373,1.333,1.353,31500.0,1.3559,1.3827,1.3587,1.341,1.2887,1.2522,1.2208,1.1994,1.1696,1.1938,1.2034,1.1813,36.0129,53.3163,57.8378,64.2576
1/6/2000,1.36,1.36,1.347,1.353,51000.0,1.3533,1.38,1.3607,1.346,1.2947,1.258,1.2267,1.203,1.1721,1.1927,1.205,1.1833,36.0129,53.3163,57.8378,64.2576
1/7/2000,1.36,1.36,1.347,1.353,51000.0,1.3533,1.38,1.3607,1.346,1.2947,1.258,1.2267,1.203,1.1721,1.1927,1.205,1.1833,36.0129,53.3163,57.8378,64.2576
1/10/2000,1.36,1.36,1.347,1.353,51000.0,1.3533,1.38,1.3607,1.346,1.2947,1.258,1.2267,1.203,1.1721,1.1927,1.205,1.1833,36.0129,53.3163,57.8378,64.2576
1/11/2000,1.433,1.753,1.433,1.547,381000.0,1.5624,1.4173,1.3833,1.3583,1.3073,1.2682,1.2363,1.2099,1.1766,1.1931,1.2079,1.1862,85.23,77.156,75.4515,74.232
1/12/2000,1.5,1.533,1.5,1.52,103500.0,1.5262,1.4413,1.402,1.3683,1.3191,1.2775,1.2453,1.2164,1.1805,1.1933,1.2105,1.1889,73.5287,71.491,71.043,71.3893
1/13/2000,1.52,1.547,1.5,1.5,147000.0,1.5182,1.4547,1.4193,1.375,1.3298,1.2867,1.254,1.2229,1.1838,1.1931,1.2127,1.1916,63.6914,67.3204,67.8414,69.3295
1/14/2000,1.507,1.507,1.467,1.5,148500.0,1.4848,1.484,1.4333,1.3833,1.3407,1.2955,1.2624,1.2296,1.1876,1.1934,1.2148,1.1944,63.6914,67.3204,67.8414,69.3295
1/17/2000,1.52,1.573,1.5,1.507,303000.0,1.525,1.5147,1.4473,1.3923,1.352,1.3047,1.2699,1.2372,1.1917,1.1943,1.2171,1.1973,67.0024,68.1054,68.392,69.642
1/18/2000,1.507,1.553,1.507,1.547,169500.0,1.5315,1.5147,1.466,1.4033,1.3649,1.3148,1.2787,1.2452,1.1959,1.1951,1.2197,1.2002,81.8766,72.5551,71.5409,71.4475
1/19/2000,1.533,1.547,1.467,1.5,118500.0,1.5189,1.5107,1.476,1.4117,1.3764,1.324,1.2863,1.2524,1.1997,1.1956,1.2219,1.2029,45.7708,61.3257,63.5825,66.6625
1/20/2000,1.513,1.533,1.513,1.527,136500.0,1.5274,1.516,1.4853,1.4207,1.3856,1.3333,1.2944,1.2601,1.2033,1.1969,1.2243,1.2056,60.6459,64.8254,65.9158,67.9321
