Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,1.493,1.515,1.479,1.508,243953.0,1.5046,1.4645,1.422,1.3718,1.3402,1.3071,1.294,1.2862,1.2854,1.3012,1.3349,1.3097,88.0227,87.4582,83.7264,75.4565
1/4/2000,1.508,1.508,1.472,1.508,243953.0,1.4799,1.4876,1.4357,1.3841,1.3496,1.3138,1.2993,1.2906,1.2878,1.3007,1.3366,1.3123,88.0227,87.4582,83.7264,75.4565
1/5/2000,1.465,1.472,1.428,1.457,243953.0,1.4574,1.4833,1.4443,1.3924,1.3561,1.3197,1.3037,1.2938,1.289,1.3001,1.3377,1.3149,36.7289,63.6925,67.2725,66.8919
1/6/2000,1.457,1.479,1.457,1.465,141382.0,1.4681,1.4804,1.4537,1.4007,1.3621,1.3262,1.308,1.2969,1.29,1.3001,1.3389,1.3173,43.7526,65.2118,68.2329,67.4381
1/7/2000,1.457,1.479,1.457,1.465,141382.0,1.4681,1.4804,1.4537,1.4007,1.3621,1.3262,1.308,1.2969,1.29,1.3001,1.3389,1.3173,43.7526,65.2118,68.2329,67.4381
1/10/2000,1.457,1.479,1.457,1.465,141382.0,1.4681,1.4804,1.4537,1.4007,1.3621,1.3262,1.308,1.2969,1.29,1.3001,1.3389,1.3173,43.7526,65.2118,68.2329,67.4381
1/11/2000,1.493,1.508,1.479,1.479,304941.0,1.4944,1.4833,1.4624,1.4097,1.3681,1.3331,1.3129,1.3003,1.2915,1.3001,1.3399,1.3199,57.8048,68.2053,70.1215,68.5128
1/12/2000,1.479,1.551,1.479,1.551,1391640.0,1.5114,1.492,1.4783,1.4223,1.3768,1.3421,1.3194,1.3051,1.294,1.3006,1.3412,1.3228,85.3169,78.5754,77.3668,73.1044
1/13/2000,1.573,1.623,1.558,1.558,1194814.0,1.5926,1.5021,1.4948,1.4328,1.3857,1.3511,1.3256,1.31,1.2965,1.301,1.3425,1.3257,86.625,79.3337,77.9428,73.5041
1/14/2000,1.558,1.566,1.508,1.544,773441.0,1.5443,1.5194,1.5013,1.4418,1.3946,1.3596,1.3314,1.3156,1.2987,1.3016,1.3438,1.3282,68.3556,73.4818,73.8924,71.3115
1/17/2000,1.587,1.652,1.566,1.587,690275.0,1.6137,1.5439,1.5122,1.4537,1.4047,1.3691,1.3383,1.3218,1.3012,1.3028,1.3453,1.3307,83.7643,78.7676,77.6455,73.7423
1/18/2000,1.587,1.623,1.566,1.566,194053.0,1.6058,1.5612,1.5223,1.4645,1.4145,1.3787,1.3448,1.3275,1.3032,1.3046,1.3467,1.3333,61.3568,70.8265,72.067,70.6461
1/19/2000,1.558,1.58,1.544,1.551,349296.0,1.5644,1.5612,1.5266,1.4743,1.4234,1.3868,1.351,1.3328,1.305,1.3061,1.348,1.3357,48.4076,65.8475,68.532,68.6581
