Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
9/11/2000,8.0,8.0,7.8,7.85,23000.0,7.8804,8.36,8.835,9.4675,9.665,9.9413,9.988,10.0283,10.3925,11.0383,11.3983,10.8127,2.6934,14.4044,21.0595,33.3397
9/12/2000,7.8,7.85,7.1,7.15,102000.0,7.4147,8.04,8.605,9.3275,9.5667,9.835,9.936,9.9808,10.353,10.9763,11.3875,10.8341,1.1502,10.2889,16.724,30.0343
9/13/2000,7.4,8.15,7.4,8.15,80000.0,7.7956,7.98,8.45,9.23,9.4983,9.7688,9.899,9.945,10.3245,10.9192,11.3825,10.8604,55.6281,38.5194,36.7552,38.9754
9/14/2000,8.15,8.3,7.6,7.7,80000.0,7.9569,7.84,8.27,9.1,9.415,9.6863,9.851,9.9017,10.2955,10.8533,11.3767,10.8804,40.5451,33.2262,32.918,36.787
9/15/2000,7.65,7.65,7.35,7.5,62000.0,7.4976,7.67,8.1,8.95,9.3283,9.6013,9.802,9.8533,10.270999999999999,10.7858,11.3706,10.8945,34.3382,31.0901,31.3514,35.8612
9/18/2000,7.35,7.4,7.2,7.35,37000.0,7.2784,7.57,7.965,8.8025,9.2333,9.505,9.751,9.8042,10.2425,10.7163,11.3614,10.9042,29.2932,29.4904,30.1909,35.1744
9/19/2000,7.15,7.15,7.0,7.05,168000.0,7.075,7.55,7.795,8.64,9.1317,9.4088,9.692,9.75,10.211,10.6458,11.3531,10.9155,20.3317,26.4304,27.9616,33.8337
9/20/2000,7.1,7.35,7.05,7.05,108000.0,7.1727,7.33,7.655,8.4925,9.0333,9.32,9.634,9.6942,10.1795,10.5679,11.3447,10.9259,20.3317,26.4304,27.9616,33.8337
9/21/2000,7.05,7.05,6.95,7.05,45000.0,7.0022,7.2,7.52,8.34,8.9417,9.2388,9.571,9.6417,10.144,10.4958,11.3381,10.9359,20.3317,26.4304,27.9616,33.8337
9/22/2000,6.95,6.95,6.55,6.7,156000.0,6.7064,7.04,7.355,8.1825,8.8317,9.1488,9.497,9.585,10.107000000000001,10.4192,11.3306,10.9449,9.2225,22.5447,25.2453,32.2464
9/25/2000,6.8,6.95,6.7,6.85,46000.0,6.7576,6.94,7.255,8.045,8.73,9.0625,9.404,9.5325,10.0665,10.3438,11.3239,10.9565,32.8199,27.6716,28.4531,33.626999999999995
