Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,3.233,3.282,3.233,3.282,74599.0,3.2601,3.2236,3.226,3.1814,3.1633,3.1537,3.1368,3.1271,3.1288,3.1629,3.1809,3.1651,69.9942,60.9626,59.5739,57.315
1/4/2000,3.282,3.282,3.257,3.257,91177.0,3.2777,3.2381,3.2285,3.1886,3.1673,3.1573,3.1421,3.1303,3.13,3.1621,3.1818,3.1662,55.1269,57.0597,56.8105,55.8002
1/5/2000,3.257,3.257,3.209,3.233,20722.0,3.2502,3.2574,3.2333,3.1947,3.1706,3.1603,3.1469,3.1332,3.1312,3.1613,3.1823,3.1667,41.8068,53.2261,54.1075,54.3153
1/6/2000,3.233,3.233,3.233,3.233,352273.0,3.2333,3.2526,3.2357,3.2019,3.1738,3.1639,3.1517,3.136,3.1334,3.1601,3.1832,3.1672,41.8068,53.2261,54.1075,54.3153
1/7/2000,3.233,3.233,3.233,3.233,352273.0,3.2333,3.2526,3.2357,3.2019,3.1738,3.1639,3.1517,3.136,3.1334,3.1601,3.1832,3.1672,41.8068,53.2261,54.1075,54.3153
1/10/2000,3.233,3.233,3.233,3.233,352273.0,3.2333,3.2526,3.2357,3.2019,3.1738,3.1639,3.1517,3.136,3.1334,3.1601,3.1832,3.1672,41.8068,53.2261,54.1075,54.3153
1/11/2000,3.257,3.354,3.257,3.257,366779.0,3.2865,3.2526,3.2405,3.2055,3.1778,3.1669,3.157,3.1392,3.137,3.1593,3.1841,3.1675,62.3018,56.8916,56.5074,55.5803
1/12/2000,3.257,3.257,3.113,3.137,250736.0,3.1966,3.2236,3.2236,3.208,3.1786,3.1669,3.159,3.1412,3.1385,3.1575,3.1844,3.1671,17.1092,39.4856,44.0919,48.6169
1/13/2000,3.161,3.233,3.137,3.209,1031953.0,3.179,3.214,3.226,3.2116,3.181,3.1687,3.1604,3.144,3.1416,3.1565,3.1848,3.1674,49.8496,49.8437,51.0424,52.3243
1/14/2000,3.257,3.378,3.185,3.306,603009.0,3.2805,3.2285,3.2429,3.22,3.1874,3.173,3.1638,3.1476,3.1457,3.1563,3.1858,3.169,71.9824,60.0905,58.4581,56.6396
1/17/2000,3.354,3.426,3.33,3.354,263169.0,3.4026,3.2526,3.2526,3.2309,3.1955,3.1784,3.1681,3.1512,3.1503,3.1565,3.1877,3.1707,78.95,64.2041,61.5908,58.5788
1/18/2000,3.282,3.402,3.282,3.378,217581.0,3.3746,3.2767,3.2647,3.2417,3.2043,3.185,3.173,3.1553,3.1537,3.1565,3.19,3.1726,82.2589,66.1658,63.0896,59.5153
1/19/2000,3.378,3.45,3.33,3.354,397861.0,3.4061,3.3202,3.2719,3.249,3.2116,3.1905,3.1773,3.1593,3.1558,3.1561,3.1915,3.1747,66.5638,62.3234,60.5453,58.1551
1/20/2000,3.378,3.378,3.306,3.306,406150.0,3.3206,3.3395,3.2767,3.2526,3.218,3.1947,3.1812,3.1645,3.157,3.1555,3.1927,3.1767,42.3324,55.1213,55.7065,55.5294
1/21/2000,3.306,3.33,3.306,3.33,217581.0,3.3277,3.3443,3.2864,3.2598,3.2252,3.1995,3.1855,3.1701,3.1585,3.1551,3.194,3.1789,54.7003,57.8605,57.534,56.5442
1/24/2000,3.33,3.378,3.33,3.354,45588.0,3.3386,3.3443,3.2984,3.2671,3.2341,3.2049,3.1908,3.1762,3.1595,3.1551,3.1955,3.1812,65.7263,60.5681,59.3406,57.5465
1/25/2000,3.257,3.354,3.257,3.354,26939.0,3.3279,3.3395,3.3081,3.2743,3.2397,3.2104,3.1952,3.1822,3.1599,3.1549,3.1978,3.1835,65.7263,60.5681,59.3406,57.5465
1/26/2000,3.354,3.354,3.306,3.306,12433.0,3.3137,3.3298,3.325,3.2743,3.247,3.2152,3.1985,3.1866,3.1599,3.1543,3.1998,3.1855,31.3684,52.0953,54.011,54.8394
1/27/2000,3.306,3.306,3.282,3.306,261097.0,3.2988,3.3298,3.3346,3.2803,3.2526,3.2194,3.2019,3.1895,3.1592,3.1535,3.2019,3.1873,31.3684,52.0953,54.011,54.8394
1/28/2000,3.282,3.306,3.282,3.306,687969.0,3.302,3.325,3.3346,3.2888,3.2582,3.2242,3.2053,3.1923,3.1599,3.1539,3.2031,3.1889,31.3684,52.0953,54.011,54.8394
1/31/2000,3.282,3.306,3.257,3.306,209292.0,3.2949,3.3153,3.3298,3.2912,3.2638,3.2291,3.2087,3.1951,3.1607,3.1533,3.2043,3.1902,31.3684,52.0953,54.011,54.8394
2/1/2000,3.282,3.306,3.257,3.306,209292.0,3.2949,3.3153,3.3298,3.2912,3.2638,3.2291,3.2087,3.1951,3.1607,3.1533,3.2043,3.1902,31.3684,52.0953,54.011,54.8394
2/2/2000,3.233,3.282,3.209,3.282,62166.0,3.2317,3.3008,3.3202,3.2924,3.2679,3.2333,3.2121,3.1975,3.1616,3.1545,3.2054,3.1912,13.5023,46.8467,50.9344,53.401
2/3/2000,3.282,3.306,3.257,3.306,242447.0,3.2822,3.3008,3.3153,3.2936,3.2711,3.2375,3.2154,3.2003,3.1628,3.1563,3.2058,3.1921,53.3538,52.258,53.7703,54.632
2/4/2000,3.282,3.306,3.257,3.306,242447.0,3.2822,3.3008,3.3153,3.2936,3.2711,3.2375,3.2154,3.2003,3.1628,3.1563,3.2058,3.1921,53.3538,52.258,53.7703,54.632
2/7/2000,3.282,3.306,3.257,3.306,242447.0,3.2822,3.3008,3.3153,3.2936,3.2711,3.2375,3.2154,3.2003,3.1628,3.1563,3.2058,3.1921,53.3538,52.258,53.7703,54.632
2/8/2000,3.282,3.282,3.209,3.282,22794.0,3.2421,3.296,3.3129,3.2948,3.2727,3.2417,3.2183,3.2031,3.1621,3.1575,3.2069,3.1931,31.55,46.8879,50.6196,53.1788
2/9/2000,3.233,3.282,3.209,3.233,82888.0,3.2339,3.2815,3.3033,3.2948,3.2743,3.2447,3.2203,3.2051,3.1626,3.1585,3.2074,3.1936,14.1735,38.0827,44.9469,50.4046
2/10/2000,3.233,3.233,3.137,3.137,87032.0,3.1793,3.2478,3.2815,3.29,3.2719,3.246,3.2203,3.2059,3.1626,3.1595,3.2073,3.1938,5.3439,26.7711,36.2076,45.4945
2/11/2000,3.137,3.185,3.137,3.137,118115.0,3.1461,3.2188,3.2598,3.284,3.2695,3.2447,3.2203,3.2059,3.1623,3.1615,3.2065,3.1941,5.3439,26.7711,36.2076,45.4945
2/14/2000,3.137,3.161,3.113,3.113,505616.0,3.1339,3.1802,3.2405,3.2828,3.263,3.2454,3.2203,3.2055,3.1621,3.1625,3.2057,3.1942,3.9572,24.4712,34.2753,44.3389
2/15/2000,3.137,3.378,3.137,3.378,145054.0,3.2254,3.1995,3.2478,3.2912,3.2695,3.2514,3.2251,3.2096,3.1645,3.1665,3.2061,3.1954,81.8155,63.3908,59.7322,56.8197
2/16/2000,3.378,3.378,3.233,3.33,304613.0,3.274,3.2188,3.2502,3.2924,3.2759,3.2562,3.2294,3.2128,3.1655,3.1701,3.2058,3.1965,67.002,57.3464,55.5215,54.5203
2/17/2000,3.233,3.282,3.233,3.282,457955.0,3.2716,3.2478,3.2478,3.2888,3.2767,3.2598,3.2328,3.2152,3.166,3.1734,3.2051,3.1978,52.6916,51.7908,51.6039,52.3296
2/18/2000,3.282,3.306,3.233,3.306,93249.0,3.2714,3.2815,3.2502,3.2852,3.2783,3.2634,3.2367,3.2184,3.1667,3.1756,3.2049,3.1995,59.2234,54.2822,53.3753,53.3002
2/21/2000,3.282,3.306,3.282,3.306,364706.0,3.3054,3.3202,3.2502,3.2828,3.2791,3.2659,3.24,3.2212,3.1679,3.177,3.2045,3.2006,59.2234,54.2822,53.3753,53.3002
2/22/2000,3.282,3.306,3.257,3.306,731485.0,3.289,3.3057,3.2526,3.2828,3.2807,3.2677,3.2439,3.224,3.1693,3.178,3.2041,3.2017,59.2234,54.2822,53.3753,53.3002
