Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,7.987,8.263,7.895,8.263,89306.0,8.0895,7.767,7.643,7.542,7.6048,7.5776,7.6834,7.8534,8.0438,8.3308,8.0503,7.7059,96.8374,76.3595,65.0427,54.3475
1/4/2000,8.355,8.446,8.033,8.079,103965.0,8.2442,7.8771,7.6935,7.5811,7.614,7.5925,7.6807,7.8511,8.0511,8.2895,8.0681,7.7252,68.1791,66.3503,59.5364,52.5559
1/5/2000,7.895,8.079,7.574,7.758,42937.0,7.7996,7.923,7.7119,7.6017,7.6094,7.6029,7.6669,7.8412,8.0442,8.244,8.0817,7.7447,38.3707,52.74,51.3446,49.5962
1/6/2000,7.895,7.987,7.62,7.712,25679.0,7.7851,7.9139,7.7348,7.6201,7.591,7.6155,7.6568,7.8075,8.0286,8.2057,8.0942,7.7631,35.0838,51.0568,50.2803,49.1868
1/7/2000,7.895,7.987,7.62,7.712,25679.0,7.7851,7.9139,7.7348,7.6201,7.591,7.6155,7.6568,7.8075,8.0286,8.2057,8.0942,7.7631,35.0838,51.0568,50.2803,49.1868
1/10/2000,7.895,7.987,7.62,7.712,25679.0,7.7851,7.9139,7.7348,7.6201,7.591,7.6155,7.6568,7.8075,8.0286,8.2057,8.0942,7.7631,35.0838,51.0568,50.2803,49.1868
1/11/2000,7.987,8.263,7.804,7.895,76102.0,8.0042,7.9414,7.7716,7.6453,7.5864,7.6132,7.6513,7.7861,8.0194,8.1721,8.1056,7.7823,57.1219,57.2032,54.3561,50.865
1/12/2000,7.895,8.263,7.712,8.125,67889.0,8.0523,7.9139,7.8404,7.6866,7.5987,7.6235,7.655,7.7746,8.0213,8.1441,8.1199,7.8032,73.7995,63.6266,58.8924,52.8774
1/13/2000,8.263,8.814,8.217,8.492,348490.0,8.5284,7.9965,7.9368,7.7165,7.6155,7.6453,7.6559,7.7631,8.0208,8.1155,8.137,7.8257,86.4491,71.3633,64.9027,55.8691
1/14/2000,8.492,8.584,8.309,8.538,100118.0,8.4637,8.1526,8.0378,7.7716,7.6522,7.6717,7.666,7.7647,8.0259,8.0948,8.1538,7.8452,87.5739,72.195,65.5802,56.2284
1/17/2000,8.584,9.364,8.584,9.043,678786.0,9.0936,8.4188,8.1663,7.8519,7.7073,7.7153,7.6871,7.7807,8.0314,8.0822,8.1719,7.8657,94.7562,79.5461,71.9858,59.9403
1/18/2000,9.181,9.732,8.905,9.364,662775.0,9.4454,8.7126,8.327,7.9506,7.7761,7.7647,7.7165,7.7922,8.0369,8.0868,8.1934,7.8891,96.6207,82.8014,75.1545,62.0584
1/19/2000,9.364,9.548,8.814,9.089,260120.0,9.2376,8.9054,8.4096,8.0263,7.8312,7.806,7.744,7.8045,8.0332,8.0761,8.2133,7.9104,66.3082,71.7848,68.0494,59.2792
1/20/2000,9.089,10.007,9.089,10.007,638759.0,9.4872,9.2084,8.6024,8.148,7.9215,7.8611,7.7945,7.8343,8.0406,8.0806,8.2372,7.937,86.8834,81.1764,76.1452,64.7264
1/21/2000,10.099,11.109,10.099,10.466,2119321.0,10.7229,9.5939,8.8733,8.2926,8.0256,7.9253,7.8569,7.868,8.0539,8.0883,8.2643,7.9666,91.0038,84.145,79.0091,67.009
1/24/2000,10.558,10.833,10.007,10.099,386437.0,10.3267,9.8051,9.112,8.4234,8.1174,7.9712,7.9148,7.8993,8.0621,8.0979,8.2903,7.993,66.0902,73.6864,71.6029,63.6027
1/25/2000,10.099,10.466,9.364,10.191,415963.0,9.851,9.9704,9.3415,8.5565,8.2107,8.0252,7.9588,7.933,8.0713,8.1197,8.3168,8.0208,69.2473,74.5752,72.302,64.075
1/26/2000,10.374,10.558,9.273,9.456,425320.0,9.9899,10.0438,9.4746,8.6575,8.2826,8.0676,7.9937,7.9582,8.0759,8.1281,8.3364,8.0449,32.7064,57.19,59.6513,57.8615
1/27/2000,9.456,10.007,9.364,9.64,237040.0,9.6191,9.9704,9.5894,8.7631,8.3408,8.109,8.0341,7.9781,8.0883,8.1441,8.3568,8.0699,43.8229,59.8242,61.4665,58.8924
1/28/2000,9.64,9.915,8.905,8.905,345371.0,9.2145,9.6582,9.6261,8.8319,8.3897,8.1457,8.0626,7.9927,8.0892,8.1552,8.3721,8.0906,22.0087,46.8514,51.4884,53.4784
1/31/2000,8.722,8.859,8.263,8.446,553404.0,8.4921,9.3277,9.5664,8.8664,8.4234,8.1721,8.0855,8.0003,8.0883,8.164,8.3854,8.1064,15.0059,40.653,46.4168,50.4781
2/1/2000,8.722,8.859,8.263,8.446,553404.0,8.4921,9.3277,9.5664,8.8664,8.4234,8.1721,8.0855,8.0003,8.0883,8.164,8.3854,8.1064,15.0059,40.653,46.4168,50.4781
