Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,266.0,286.0,262.0,284.0,1020.0,273.2746,259.2,258.2,252.8,252.0,250.65,252.76,256.4667,263.2,276.9333,296.7,290.25,89.1087,67.3597,62.883,55.1752
1/4/2000,282.0,314.0,270.0,296.0,1790.0,297.3184,269.2,260.6,255.8,253.7333,251.75,253.48,257.0667,263.5,276.1167,296.7667,290.83,92.6774,71.5787,66.2934,57.4743
1/5/2000,280.0,296.0,276.0,280.0,790.0,283.7594,274.8,262.6,258.0,254.7333,252.6,253.6,257.5667,263.76,274.9333,296.8778,291.37,55.9869,59.9544,58.5665,53.6769
1/6/2000,288.0,302.0,280.0,296.0,1000.0,291.27,283.2,267.8,260.8,256.2,253.7,254.12,258.0,263.82,273.95,296.9556,292.02,72.3855,66.1405,63.1873,56.6405
1/7/2000,288.0,302.0,280.0,296.0,1000.0,291.27,283.2,267.8,260.8,256.2,253.7,254.12,258.0,263.82,273.95,296.9556,292.02,72.3855,66.1405,63.1873,56.6405
1/10/2000,288.0,302.0,280.0,296.0,1000.0,291.27,283.2,267.8,260.8,256.2,253.7,254.12,258.0,263.82,273.95,296.9556,292.02,72.3855,66.1405,63.1873,56.6405
1/11/2000,312.0,312.0,292.0,300.0,995.0,301.186,291.2,272.6,263.5,257.7333,255.05,254.8,257.6667,263.82,272.95,297.1,292.66,75.7708,67.5503,64.2604,57.3462
1/12/2000,300.0,300.0,282.0,288.0,375.0,288.4266,292.0,275.6,265.5,258.8,255.9,255.4,257.4667,263.82,271.8667,296.9222,293.24,48.8321,59.2273,58.7294,54.5888
1/13/2000,288.0,294.0,276.0,276.0,800.0,287.725,288.0,278.6,265.9,259.6,256.7,255.76,257.3667,263.88,270.7333,296.8111,293.75,31.8479,52.017,53.7474,52.002
1/14/2000,280.0,286.0,270.0,280.0,695.0,276.1726,288.0,281.4,267.2,260.4,257.7,256.08,257.3333,263.96,269.6667,296.7111,294.13,41.944,54.1119,55.1142,52.7737
1/17/2000,288.0,294.0,284.0,288.0,795.0,288.6918,286.4,284.8,270.0,261.6,258.8,256.64,257.6333,264.12,268.8167,296.5667,294.31,59.8069,58.2164,57.8002,54.294
1/18/2000,292.0,308.0,280.0,298.0,925.0,295.1784,286.0,288.6,272.3,263.2,260.15,257.6,258.3667,264.3,268.3,296.4444,294.33,74.5114,62.8849,60.9462,56.1206
1/19/2000,298.0,316.0,288.0,290.0,920.0,303.337,286.4,289.2,273.7,264.9333,261.3,258.36,258.8333,264.3,267.9167,296.3889,294.53,51.7794,57.1392,57.268,54.3239
1/20/2000,302.0,308.0,288.0,308.0,675.0,295.837,292.8,290.4,275.5,267.3333,262.9,259.48,259.6333,264.3,267.5,296.4111,294.71,76.2419,65.19,62.7198,57.4916
1/21/2000,312.0,338.0,300.0,320.0,2280.0,322.215,300.8,294.4,278.5,270.1333,264.65,260.96,260.4,264.54,267.3,296.4778,295.05,84.238,69.4883,65.8479,59.4319
1/24/2000,338.0,340.0,318.0,318.0,1435.0,329.0592,306.8,296.6,282.2,272.7333,266.3,262.28,261.2,264.78,267.2833,296.2889,295.44,77.7002,67.9159,64.8709,58.9678
