Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
8/18/2011,6.64,6.64,6.56,6.58,1976700.0,6.5937,6.572,6.711,7.232,7.57,7.7793,7.9172,7.914,7.5136,7.3589,6.8542,6.6169,36.2417,19.7086,20.6,31.5126
8/19/2011,6.48,6.5,6.4,6.48,5908600.0,6.4561,6.568,6.608,7.1465,7.5053,7.735,7.8756,7.9003,7.5103,7.3601,6.8649,6.6303,20.3071,17.3826,19.021,30.313000000000002
8/22/2011,6.35,6.41,6.35,6.4,2400100.0,6.401,6.544,6.553999999999999,7.067,7.437,7.6888,7.8334,7.8825,7.506,7.3601,6.8741,6.6398,13.2934,15.7135,17.8427,29.3873
8/23/2011,6.42,6.58,6.4,6.55,856000.0,6.5144,6.526,6.519,7.0095,7.382000000000001,7.6458,7.7956,7.8625,7.5028,7.3613,6.8831,6.65,56.0175,29.9097,26.9768,33.3362
8/24/2011,6.61,6.67,6.5,6.57,2997300.0,6.565,6.516,6.531000000000001,6.9535,7.327000000000001,7.6013,7.7554,7.8398,7.4996,7.3629,6.892,6.6605,59.9631,31.6369,28.1242,33.8465
8/25/2011,6.57,6.6,6.57,6.57,1254900.0,6.5719,6.513999999999999,6.542999999999999,6.898,7.2707,7.5573,7.7168,7.8185,7.4961,7.364,6.9012,6.6709,59.9631,31.6369,28.1242,33.8465
8/26/2011,6.55,6.55,6.48,6.5,1732800.0,6.5046,6.518,6.542999999999999,6.8405,7.2133,7.5098,7.6736,7.7943,7.49,7.3627,6.9101,6.6808,35.1391,28.5234,26.4379,32.9032
8/29/2011,6.5,6.55,6.49,6.54,464600.0,6.5236,6.546,6.545,6.7845,7.1579999999999995,7.461,7.6352,7.7712,7.4858,7.3613,6.9193,6.6906,52.1268,32.7763,29.0556,33.9907
8/30/2011,6.5,6.55,6.49,6.54,464600.0,6.5236,6.546,6.545,6.7845,7.1579999999999995,7.461,7.6352,7.7712,7.4858,7.3613,6.9193,6.6906,52.1268,32.7763,29.0556,33.9907
8/31/2011,6.5,6.55,6.49,6.54,464600.0,6.5236,6.546,6.545,6.7845,7.1579999999999995,7.461,7.6352,7.7712,7.4858,7.3613,6.9193,6.6906,52.1268,32.7763,29.0556,33.9907
9/1/2011,6.5,6.55,6.49,6.54,464600.0,6.5236,6.546,6.545,6.7845,7.1579999999999995,7.461,7.6352,7.7712,7.4858,7.3613,6.9193,6.6906,52.1268,32.7763,29.0556,33.9907
