Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
4/20/2012,5.12,5.13,5.1,5.12,229900.0,5.1172,5.127999999999999,5.124,5.0965,5.0957,5.0733,5.053,5.0263,4.942,4.9327,4.9908,5.0134,25.1094,56.5569,58.6333,58.0655
4/23/2012,5.1,5.12,5.08,5.12,385400.0,5.115,5.126,5.126,5.1005,5.0987,5.0763,5.0562,5.0303,4.9472,4.9337,4.9893,5.0215,25.1094,56.5569,58.6333,58.0655
4/24/2012,5.14,5.14,5.08,5.12,286100.0,5.1234,5.124,5.127999999999999,5.104,5.1017,5.0803,5.0602,5.0343,4.9522,4.9351,4.9879,5.0227,25.1094,56.5569,58.6333,58.0655
4/25/2012,5.12,5.12,5.11,5.12,306500.0,5.1199,5.122000000000001,5.13,5.1075,5.103,5.083,5.0642,5.039,4.9567,4.9363,4.9865,5.0248,25.1094,56.5569,58.6333,58.0655
4/26/2012,5.08,5.13,5.08,5.13,142000.0,5.1173,5.122000000000001,5.127999999999999,5.1115,5.1037,5.0858,5.0674,5.0433,4.9611,4.9371,4.9854,5.0268,79.81,63.2713,61.6446,58.9223
4/27/2012,5.12,5.13,5.12,5.13,348700.0,5.13,5.124,5.126,5.115,5.1043,5.0883,5.0704,5.0477,4.965,4.9383,4.9842,5.0275,79.81,63.2713,61.6446,58.9223
4/30/2012,5.13,5.13,5.12,5.13,489800.0,5.1249,5.126,5.126,5.1185,5.104,5.0913,5.073,5.052,4.9663,4.9392,4.9829,5.0277,79.81,63.2713,61.6446,58.9223
5/1/2012,5.13,5.13,5.12,5.13,489800.0,5.1249,5.126,5.126,5.1185,5.104,5.0913,5.073,5.052,4.9663,4.9392,4.9829,5.0277,79.81,63.2713,61.6446,58.9223
5/2/2012,5.12,5.13,5.12,5.13,163400.0,5.1284,5.127999999999999,5.126,5.121,5.1037,5.0943,5.0756,5.0557,4.9695,4.9404,4.9816,5.0276,79.81,63.2713,61.6446,58.9223
5/3/2012,5.04,5.14,5.04,5.13,293400.0,5.1215,5.13,5.126,5.1225,5.1033,5.0969999999999995,5.0782,5.0588,4.9726,4.9417,4.9801,5.0252,79.81,63.2713,61.6446,58.9223
5/4/2012,5.14,5.17,5.14,5.17,1216500.0,5.1674,5.138,5.13,5.126,5.107,5.1013,5.081,5.0628,4.9765,4.9435,4.9787,5.0233,99.1292,82.6264,73.023,62.5487
5/7/2012,5.17,5.18,5.17,5.18,244900.0,5.1751,5.148,5.136,5.13,5.1097,5.1058,5.0858,5.0668,4.981,4.9453,4.9778,5.0213,99.3592,84.869,75.0182,63.3847
