Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
6/5/2006,16.397000000000002,16.397000000000002,16.342,16.342,109.0,16.3698,16.2539,16.2759,16.2704,16.1066,16.0344,16.0761,16.2566,16.7436,15.8237,13.5467,12.6361,81.6484,55.4649,53.2716,51.96
6/6/2006,16.397000000000002,16.397000000000002,16.342,16.342,109.0,16.3698,16.2539,16.2759,16.2704,16.1066,16.0344,16.0761,16.2566,16.7436,15.8237,13.5467,12.6361,81.6484,55.4649,53.2716,51.96
6/7/2006,16.397000000000002,16.397000000000002,16.342,16.342,109.0,16.3698,16.2539,16.2759,16.2704,16.1066,16.0344,16.0761,16.2566,16.7436,15.8237,13.5467,12.6361,81.6484,55.4649,53.2716,51.96
6/8/2006,16.177,16.177,16.066,16.066,18837.0,16.0704,16.2207,16.2483,16.2732,16.1269,16.0261,16.0673,16.2244,16.7601,15.8775,13.6099,12.6999,22.6837,43.4362,46.8903,49.5733
6/9/2006,16.011,16.011,16.011,16.011,1992.0,16.0109,16.1766,16.2097,16.2759,16.149,16.0165,16.0595,16.1895,16.775,15.9295,13.6725,12.7592,18.6443,41.4153,45.711000000000006,49.1066
6/12/2006,16.011,16.011,16.011,16.011,1992.0,16.0109,16.1766,16.2097,16.2759,16.149,16.0165,16.0595,16.1895,16.775,15.9295,13.6725,12.7592,18.6443,41.4153,45.711000000000006,49.1066
6/13/2006,15.183,16.232,15.183,16.232,906.0,15.4478,16.1766,16.2097,16.2594,16.1674,16.0289,16.0684,16.1582,16.78,15.982000000000001,13.7344,12.8197,60.6681,51.5575,51.0179,51.0148
6/14/2006,16.121,16.121,16.121,16.121,8151.0,16.1214,16.1545,16.1987,16.2373,16.1674,16.0344,16.0662,16.1324,16.7784,16.0326,13.7956,12.8782,43.7277,46.9823,48.4668,50.0443
6/15/2006,16.121,16.121,16.121,16.121,8151.0,16.1214,16.1545,16.1987,16.2373,16.1674,16.0344,16.0662,16.1324,16.7784,16.0326,13.7956,12.8782,43.7277,46.9823,48.4668,50.0443
6/16/2006,15.956,15.956,15.347999999999999,15.79,5162.0,15.5774,16.0441,16.149,16.2373,16.16,16.0303,16.0573,16.1195,16.7706,16.0823,13.8542,12.9352,19.3782,36.1544,41.7259,47.2543
6/19/2006,15.79,16.011,15.79,15.956,9419.0,15.797,16.022000000000002,16.1214,16.2069,16.16,16.033,16.0529,16.102,16.7635,16.1347,13.9126,12.9926,43.1293,43.4814,45.786,48.7326
6/20/2006,15.956,16.011,15.845,15.845,12099.0,15.9517,15.9889,16.0827,16.1766,16.1582,16.0427,16.0463,16.0882,16.7508,16.1858,13.9679,13.0499,33.3148,40.0355,43.6048,47.8085
6/21/2006,15.956,15.956,15.956,15.956,18.0,15.9557,15.9336,16.0551,16.1572,16.1637,16.0551,16.0452,16.079,16.7347,16.2373,14.0212,13.1074,50.2846,44.9441,46.3569,48.8127
6/22/2006,15.901,15.901,15.79,15.79,1087.0,15.8361,15.8674,16.0109,16.1462,16.1582,16.0634,16.0319,16.0671,16.7215,16.2884,14.0737,13.1644,31.976,39.4892,42.9696,47.3976
6/23/2006,15.459000000000001,15.956,15.459000000000001,15.956,634.0,15.8138,15.9005,15.9723,16.1241,16.171,16.0731,16.022000000000002,16.0588,16.7154,16.3413,14.1274,13.2201,56.0043,46.7588,47.13,48.9292
6/26/2006,15.901,15.956,15.901,15.956,1992.0,15.9156,15.9005,15.9613,16.1048,16.1692,16.0855,16.0131,16.0496,16.7071,16.3942,14.1804,13.2753,56.0043,46.7588,47.13,48.9292
6/27/2006,15.901,15.956,15.901,15.956,1992.0,15.9156,15.9005,15.9613,16.1048,16.1692,16.0855,16.0131,16.0496,16.7071,16.3942,14.1804,13.2753,56.0043,46.7588,47.13,48.9292
