Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
7/12/2004,3.52,3.52,3.52,3.52,7000.0,3.52,3.492,3.418,3.3760000000000003,3.384,3.3535,3.4304,3.4757,3.7154,3.7497,3.5024,3.3979,82.8206,70.8582,62.6252,51.9073
7/13/2004,3.46,3.5,3.44,3.5,50000.0,3.4739999999999998,3.4960000000000004,3.438,3.383,3.388,3.352,3.4252,3.471,3.7086,3.7489999999999997,3.5054,3.4089,61.926,65.6485,59.8314,50.9826
7/14/2004,3.5,3.5,3.5,3.5,504300.0,3.5,3.4960000000000004,3.4560000000000004,3.389,3.3893,3.355,3.4196,3.4667,3.701,3.7465,3.5079,3.4172,61.926,65.6485,59.8314,50.9826
7/15/2004,3.5,3.52,3.5,3.5,128700.0,3.5033,3.5,3.4760000000000004,3.397,3.3907,3.366,3.4139999999999997,3.4627,3.6932,3.7452,3.5103,3.4246,61.926,65.6485,59.8314,50.9826
7/16/2004,3.5,3.52,3.5,3.5,26000.0,3.5008,3.5039999999999996,3.4960000000000004,3.405,3.3933,3.3735,3.4084,3.4593,3.6856,3.7443,3.513,3.432,61.926,65.6485,59.8314,50.9826
7/19/2004,3.5,3.52,3.5,3.5,26000.0,3.5008,3.5039999999999996,3.4960000000000004,3.405,3.3933,3.3735,3.4084,3.4593,3.6856,3.7443,3.513,3.432,61.926,65.6485,59.8314,50.9826
7/20/2004,3.52,3.54,3.5,3.5,377000.0,3.5147,3.5,3.4960000000000004,3.4130000000000003,3.3973,3.3810000000000002,3.4024,3.4563,3.6784,3.7435,3.5158,3.4384,61.926,65.6485,59.8314,50.9826
7/21/2004,3.5,3.5,3.5,3.5,389700.0,3.5,3.5,3.498,3.4219999999999997,3.4013,3.39,3.3964,3.4533,3.6702,3.7428,3.5183,3.4444,61.926,65.6485,59.8314,50.9826
7/22/2004,3.5,3.52,3.5,3.5,233500.0,3.5022,3.5,3.498,3.432,3.4053,3.4005,3.3916,3.451,3.6628,3.741,3.5212,3.4491,61.926,65.6485,59.8314,50.9826
7/23/2004,3.5,3.5,3.5,3.5,317000.0,3.5,3.5,3.5,3.4419999999999997,3.4093,3.408,3.3888,3.449,3.656,3.7378,3.5242,3.4547,61.926,65.6485,59.8314,50.9826
