Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
9/19/2011,6.18,6.22,6.03,6.05,12735700.0,6.0634,6.19,6.268,6.2935,6.354,6.5113,6.6288,6.7042,6.8567,6.9301,6.6883,6.5661,7.5381,30.4539,34.2832,37.8009
9/20/2011,6.01,6.01,5.74,5.78,35413300.0,5.8422,6.098,6.212999999999999,6.252999999999999,6.3203,6.4783,6.6006,6.6827,6.8420000000000005,6.9203,6.6896,6.569,2.6697,21.0142,27.0936,33.5887
9/21/2011,5.82,5.85,5.77,5.81,12772200.0,5.8112,6.01,6.164,6.2145,6.2837,6.4463,6.5729999999999995,6.6615,6.8278,6.9089,6.6911,6.5715,12.1282,23.9604,28.8783,34.4285
9/22/2011,5.75,5.76,5.52,5.54,28048400.0,5.5972,5.867999999999999,6.086,6.1715,6.2487,6.4088,6.5416,6.636,6.811,6.8951,6.6912,6.5722,5.2459,17.392,23.3404,30.8019
9/23/2011,5.43,5.54,5.34,5.46,20053400.0,5.449,5.728,5.994,6.1325,6.2163,6.37,6.5088,6.6097,6.7935,6.8803,6.6908,6.5728,4.1894,15.9358,21.9946,29.8385
9/26/2011,5.42,5.45,5.23,5.31,18524500.0,5.3191,5.58,5.885,6.0865,6.1827,6.3275,6.4736,6.5808,6.7743,6.8631,6.6897,6.5724,2.6744,13.5438,19.7008,28.1318
9/27/2011,5.4,5.57,5.38,5.55,19369400.0,5.4736,5.534,5.816,6.0489999999999995,6.1613,6.2933,6.4434,6.5557,6.7576,6.8469,6.6896,6.5732,47.8953,31.9342,31.9324,34.3473
9/28/2011,5.59,5.59,5.42,5.48,17660500.0,5.4883,5.468,5.739,6.007999999999999,6.138999999999999,6.2595,6.4116,6.5288,6.7406,6.8303,6.689,6.5739,39.804,29.8507,30.4744,33.4738
9/29/2011,5.42,5.58,5.39,5.55,11946500.0,5.5337,5.47,5.669,5.984,6.1129999999999995,6.227,6.3814,6.502000000000001,6.7253,6.8143,6.6876,6.5747,51.974,34.6475,33.733000000000004,35.1791
9/30/2011,5.58,5.72,5.5,5.56,13092200.0,5.5883,5.49,5.609,5.9510000000000005,6.0807,6.1915,6.3514,6.4762,6.7117,6.7979,6.6856,6.5754,53.9683,35.3579,34.2074,35.4237
10/3/2011,5.47,5.5,5.38,5.48,9785800.0,5.4383,5.524,5.5520000000000005,5.91,6.0463,6.1535,6.3194,6.4493,6.6978,6.7808,6.6829,6.5751,36.02,32.207,32.2201,34.3508
10/4/2011,5.4,5.5,5.38,5.4,5521400.0,5.4514,5.494,5.513999999999999,5.8635,6.0067,6.1188,6.2854,6.4195,6.683,6.7651,6.6804,6.5742,24.0316,29.2724,30.323,33.3073
10/5/2011,5.41,5.55,5.41,5.53,8373000.0,5.5043,5.504,5.486000000000001,5.825,5.9717,6.0843,6.2542,6.3918,6.667999999999999,6.7524,6.6779,6.5741,58.0577,39.3715,36.8318,36.5477
10/6/2011,5.54,5.69,5.54,5.66,20677500.0,5.6361,5.526,5.497999999999999,5.792000000000001,5.947,6.061,6.2266,6.3677,6.6543,6.7383,6.6759,6.5747,74.9126,47.7628,42.6056,39.5843
10/7/2011,5.72,5.74,5.57,5.63,11140800.0,5.6473,5.54,5.515,5.7545,5.9267,6.041,6.199,6.3432,6.6406,6.7248,6.6737,6.575,65.7645,46.1061,41.6593,39.1372
10/10/2011,5.63,5.64,5.57,5.6,5269000.0,5.5943,5.564,5.544,5.7145,5.9057,6.023,6.1708,6.3187,6.6266,6.7114,6.6706,6.5752,55.5829,44.3745,40.6861,38.6851
10/11/2011,5.67,5.75,5.62,5.69,10010100.0,5.6836,5.622000000000001,5.558,5.687,5.8853,6.0105,6.1462,6.2958,6.6135,6.6982,6.6669,6.5758,73.8212,50.632,44.8486,40.8069
10/12/2011,5.7,5.8,5.63,5.8,5449000.0,5.7451,5.676,5.59,5.6645,5.8687,6.0018,6.1256,6.2747,6.6016,6.6864,6.6643,6.5771,85.0645,57.2452,49.5122,43.2883
10/13/2011,5.92,5.98,5.89,5.93,11888900.0,5.9337,5.73,5.627999999999999,5.6485,5.8653,5.9918,6.1072,6.2558,6.591,6.6748,6.6619,6.579,91.5204,63.7087,54.4178,46.053000000000004
10/14/2011,5.91,5.96,5.87,5.92,5988800.0,5.9123,5.787999999999999,5.664,5.6365,5.8553,5.9765,6.086,6.2368,6.5803,6.6634,6.6604,6.5807,87.1727,62.886,53.9833,45.875
10/17/2011,5.97,6.14,5.97,6.14,10373500.0,6.0703,5.896,5.73,5.641,5.85,5.9673,6.0688,6.2212,6.5709,6.6541,6.6609,6.5836,95.0044,71.8751,61.3038,50.2504
10/18/2011,6.05,6.06,5.96,5.96,11389400.0,6.0004,5.95,5.7860000000000005,5.65,5.8377,5.9515,6.0522,6.2022,6.5592,6.6433,6.6604,6.5856,54.3097,58.7726,53.7672,47.0324
10/19/2011,6.03,6.12,6.02,6.12,7239500.0,6.0869,6.013999999999999,5.845,5.6655,5.8317,5.94,6.0364,6.186,6.5488,6.6341,6.6613,6.5886,70.9188,65.1293,58.6352,49.9781
10/20/2011,6.07,6.1,6.01,6.04,5411100.0,6.047999999999999,6.0360000000000005,5.882999999999999,5.6905,5.8223,5.931,6.0254,6.1693,6.537999999999999,6.6243,6.6609,6.5911,55.7259,59.9314,55.4891,48.5806
10/21/2011,6.07,6.07,5.98,6.01,6182200.0,6.0085,6.053999999999999,5.921,5.718,5.81,5.9253,6.017,6.1527,6.527,6.6143,6.6603,6.5936,49.7329,57.9793,54.3123,48.0593
10/24/2011,6.1,6.17,6.1,6.16,7364600.0,6.1525,6.058,5.977,5.7605,5.8020000000000005,5.9235,6.0138,6.1385,6.5162,6.6053,6.6606,6.5968,72.1756,64.4862,58.9951,50.7906
10/25/2011,6.18,6.2,6.12,6.19,2701000.0,6.1655,6.104,6.027,5.7925,5.8003,5.9208,6.0138,6.1263,6.5057,6.5968,6.6608,6.5999,75.4622,65.6819,59.8808,51.3202
10/26/2011,6.18,6.2,6.12,6.19,2701000.0,6.1655,6.104,6.027,5.7925,5.8003,5.9208,6.0138,6.1263,6.5057,6.5968,6.6608,6.5999,75.4622,65.6819,59.8808,51.3202
10/27/2011,6.19,6.38,6.15,6.31,14693700.0,6.3039,6.142,6.077999999999999,5.834,5.8023,5.921,6.017,6.1177,6.497000000000001,6.5895,6.6609,6.6035,85.6396,70.1972,63.2958,53.3956
10/28/2011,6.39,6.45,6.37,6.41,10439500.0,6.3989,6.216,6.126,5.877000000000001,5.8077,5.9305,6.0186,6.1103,6.4893,6.5839,6.6611,6.6066,90.5428,73.4697,65.9007,55.0478
10/31/2011,6.43,6.45,6.36,6.45,5813600.0,6.3999,6.303999999999999,6.178999999999999,5.9215,5.8173,5.9363,6.017,6.1015,6.4824,6.58,6.6622,6.6092,92.1508,74.7189,66.9123,55.6977
11/1/2011,6.4,6.4,6.28,6.37,8400400.0,6.3416,6.346,6.202000000000001,5.966,5.827999999999999,5.938,6.0142,6.091,6.4752,6.5758,6.6645,6.6113,61.0234,67.5613,62.8938,54.0801
11/2/2011,6.21,6.29,6.17,6.24,16062900.0,6.2335,6.356,6.23,6.007999999999999,5.8433,5.9358,6.0072,6.0818,6.468,6.5705,6.6658,6.6132,33.4676,57.4929,56.9123,51.5627
11/3/2011,6.23,6.25,6.19,6.24,6237200.0,6.2304,6.3420000000000005,6.242000000000001,6.0435,5.8577,5.9343,6.0004,6.0707,6.4607,6.5639,6.6668,6.6145,33.4676,57.4929,56.9123,51.5627
11/4/2011,6.29,6.37,6.28,6.31,7087400.0,6.3289,6.322,6.269,6.0760000000000005,5.8833,5.934,5.9986,6.066,6.4533,6.5579,6.6679,6.6159,56.995,61.4119,59.3279,52.828
11/7/2011,6.29,6.37,6.28,6.31,7087400.0,6.3289,6.322,6.269,6.0760000000000005,5.8833,5.934,5.9986,6.066,6.4533,6.5579,6.6679,6.6159,56.995,61.4119,59.3279,52.828
11/8/2011,6.33,6.41,6.31,6.41,6267100.0,6.3648,6.314,6.309,6.115,5.915,5.9348,6.002000000000001,6.0657,6.4468,6.553,6.6694,6.6178,75.5342,66.3917,62.5573,54.5814
11/9/2011,6.43,6.5,6.42,6.48,6518600.0,6.4681,6.336,6.341,6.159,5.954,5.9368,6.007000000000001,6.0683,6.441,6.5487,6.6708,6.6195,83.1578,69.4922,64.6719,55.7719
11/10/2011,6.35,6.42,6.29,6.39,8680900.0,6.3711,6.3660000000000005,6.361000000000001,6.194,5.982,5.9405,6.0088,6.0717,6.4331,6.5436,6.6715,6.6197,51.9429,61.3111,59.9815,53.893
