Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,1.45,1.506,1.45,1.488,953600.0,1.4941,1.4575,1.4069,1.3513,1.315,1.2888,1.2769,1.2675,1.2337,1.2478,1.3044,1.2992,73.8782,77.0714,76.5263,71.8567
1/4/2000,1.494,1.494,1.456,1.456,1142400.0,1.4718,1.4663,1.4188,1.3631,1.3229,1.295,1.2814,1.2717,1.2376,1.2482,1.3054,1.3005,52.1904,66.644,68.6885,67.4192
1/5/2000,1.4,1.444,1.35,1.4,1574400.0,1.4021,1.4525,1.4238,1.3719,1.3288,1.3,1.2849,1.2749,1.2404,1.2481,1.3057,1.3016,29.1141,52.312,57.3103,60.466
1/6/2000,1.406,1.431,1.375,1.381,2588799.0,1.39,1.4325,1.4263,1.3775,1.3333,1.3044,1.2878,1.2775,1.2424,1.2479,1.3058,1.3026,23.8429,48.4081,54.0937,58.3895
1/7/2000,1.406,1.431,1.375,1.381,2588799.0,1.39,1.4325,1.4263,1.3775,1.3333,1.3044,1.2878,1.2775,1.2424,1.2479,1.3058,1.3026,23.8429,48.4081,54.0937,58.3895
1/10/2000,1.406,1.431,1.375,1.381,2588799.0,1.39,1.4325,1.4263,1.3775,1.3333,1.3044,1.2878,1.2775,1.2424,1.2479,1.3058,1.3026,23.8429,48.4081,54.0937,58.3895
1/11/2000,1.456,1.463,1.438,1.45,812800.0,1.4498,1.435,1.4356,1.3853,1.3398,1.3105,1.2921,1.281,1.2455,1.2483,1.3059,1.3039,61.841,60.5517,62.422,63.1851
1/12/2000,1.456,1.469,1.45,1.463,870400.0,1.462,1.43,1.4438,1.3934,1.3469,1.3166,1.2968,1.2851,1.2491,1.2487,1.3062,1.3053,66.4116,62.3637,63.7111,63.9662
1/13/2000,1.469,1.488,1.463,1.463,1884800.0,1.4719,1.4313,1.4488,1.3994,1.3533,1.3228,1.301,1.2891,1.2526,1.2492,1.3065,1.3067,66.4116,62.3637,63.7111,63.9662
1/14/2000,1.463,1.469,1.419,1.463,2255999.0,1.4468,1.4438,1.4481,1.4053,1.36,1.3289,1.3058,1.2933,1.2563,1.2496,1.3068,1.3081,66.4116,62.3637,63.7111,63.9662
