Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.15,2.19,2.14,2.17,154000.0,2.1687,2.142,2.131,2.0645,2.0293,1.9933,1.9736,1.9625,1.9279,1.9324,1.9613,1.9449,89.3797,80.5434,78.937,72.8664
1/4/2000,2.17,2.18,2.13,2.14,188000.0,2.1547,2.148,2.132,2.074,2.0357,2.0,1.9786,1.9665,1.9308,1.9327,1.9632,1.9467,44.8448,65.4923,69.1248,68.04
1/5/2000,2.1,2.17,2.1,2.13,684000.0,2.1129,2.148,2.134,2.082,2.0413,2.0068,1.9832,1.97,1.9333,1.9328,1.9651,1.9486,35.9007,61.2034,66.172,66.5207
1/6/2000,2.13,2.22,2.13,2.22,1618000.0,2.1634,2.162,2.143,2.0945,2.05,2.016,1.9898,1.975,1.9365,1.934,1.9672,1.9509,82.6407,76.6715,76.0767,72.283
1/7/2000,2.13,2.22,2.13,2.22,1618000.0,2.1634,2.162,2.143,2.0945,2.05,2.016,1.9898,1.975,1.9365,1.934,1.9672,1.9509,82.6407,76.6715,76.0767,72.283
1/10/2000,2.13,2.22,2.13,2.22,1618000.0,2.1634,2.162,2.143,2.0945,2.05,2.016,1.9898,1.975,1.9365,1.934,1.9672,1.9509,82.6407,76.6715,76.0767,72.283
1/11/2000,2.25,2.26,2.22,2.24,628000.0,2.2435,2.18,2.154,2.108,2.0593,2.025,1.9968,1.9802,1.9399,1.9357,1.969,1.9532,86.035,78.786,77.6432,73.338
1/12/2000,2.24,2.26,2.22,2.24,462000.0,2.2436,2.194,2.168,2.12,2.0687,2.0338,2.004,1.9853,1.9434,1.9375,1.9708,1.9556,86.035,78.786,77.6432,73.338
1/13/2000,2.24,2.31,2.22,2.31,836000.0,2.2608,2.228,2.188,2.1355,2.08,2.0453,2.0118,1.9918,1.9476,1.9399,1.9729,1.9583,94.5016,84.8634,82.3379,76.6646
1/14/2000,2.33,2.33,2.25,2.31,452000.0,2.2958,2.264,2.206,2.151,2.0917,2.0558,2.0198,1.9987,1.9515,1.9423,1.9749,1.9607,94.5016,84.8634,82.3379,76.6646
1/17/2000,2.35,2.35,2.31,2.32,546000.0,2.3264,2.284,2.223,2.1675,2.1037,2.0665,2.0284,2.0062,1.9554,1.9452,1.9773,1.963,95.3984,85.6088,82.9317,77.1014
1/18/2000,2.32,2.32,2.29,2.32,838000.0,2.3117,2.3,2.24,2.182,2.1157,2.0763,2.037,2.0133,1.9591,1.9486,1.9797,1.9653,95.3984,85.6088,82.9317,77.1014
1/19/2000,2.3,2.32,2.3,2.32,398000.0,2.3144,2.316,2.255,2.193,2.128,2.0858,2.0456,2.0205,1.9626,1.9508,1.9818,1.9678,95.3984,85.6088,82.9317,77.1014
1/20/2000,2.32,2.34,2.31,2.33,636000.0,2.322,2.32,2.274,2.203,2.1407,2.0953,2.0548,2.0278,1.9662,1.9539,1.9842,1.9704,97.032,86.5518,83.6196,77.5663
1/21/2000,2.33,2.34,2.33,2.33,470000.0,2.3305,2.324,2.294,2.214,2.1527,2.1045,2.0642,2.035,1.9701,1.9571,1.9864,1.973,97.032,86.5518,83.6196,77.5663
1/24/2000,2.33,2.35,2.29,2.3,142000.0,2.3134,2.32,2.302,2.2225,2.1637,2.113,2.0732,2.0418,1.9736,1.9602,1.9887,1.9755,28.5693,69.3088,73.3367,72.8201
