Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D
1/3/2000,3.673,3.882,3.673,3.852,22436.0,3.8112,3.7328,3.7507,3.7567,3.6959,3.6618,3.6868,3.7168,3.8869,4.1693,3.7437,3.5692,79.5193,61.9946,50.8119,57.4438
1/4/2000,3.882,4.031,3.882,3.882,14065.0,3.939,3.7805,3.7567,3.7701,3.7158,3.6648,3.688,3.7168,3.8788,4.1573,3.7541,3.5777,82.8228,63.8688,51.4099,58.5644
1/5/2000,3.792,3.792,3.733,3.733,4353.0,3.7626,3.7805,3.7477,3.7701,3.7328,3.6656,3.6862,3.7134,3.8719,4.1386,3.764,3.5847,37.4805,49.9991,48.3684,51.2914
1/6/2000,3.763,3.763,3.703,3.703,3014.0,3.7361,3.7746,3.7358,3.7671,3.7338,3.6633,3.6832,3.7094,3.863,4.1207,3.7736,3.5917,32.1932,47.6699,47.7835,49.9552
1/7/2000,3.763,3.763,3.703,3.703,3014.0,3.7361,3.7746,3.7358,3.7671,3.7338,3.6633,3.6832,3.7094,3.863,4.1207,3.7736,3.5917,32.1932,47.6699,47.7835,49.9552
1/10/2000,3.763,3.763,3.703,3.703,3014.0,3.7361,3.7746,3.7358,3.7671,3.7338,3.6633,3.6832,3.7094,3.863,4.1207,3.7736,3.5917,32.1932,47.6699,47.7835,49.9552
1/11/2000,3.733,3.882,3.733,3.882,11721.0,3.7823,3.8104,3.7567,3.7701,3.7407,3.6678,3.6856,3.7109,3.86,4.1083,3.7841,3.6001,70.1242,60.1885,51.4291,57.1656
1/12/2000,3.882,3.882,3.733,3.822,15069.0,3.7852,3.8044,3.7686,3.7641,3.7487,3.6775,3.6862,3.7109,3.8564,4.0953,3.7944,3.6086,54.7974,55.2336,50.22,54.3544
1/13/2000,3.792,3.942,3.792,3.942,13730.0,3.901,3.8164,3.7985,3.7671,3.7606,3.6939,3.6898,3.7129,3.854,4.0819,3.8044,3.6177,72.6988,62.2297,52.5289,58.7261
1/14/2000,4.031,4.121,4.031,4.091,17748.0,4.0725,3.8881,3.8343,3.7776,3.7756,3.7022,3.6963,3.7173,3.8567,4.0695,3.8141,3.6277,84.3326,69.0349,55.215,63.4398
1/17/2000,4.181,4.3,4.151,4.24,19088.0,4.2153,3.9956,3.8851,3.8059,3.7935,3.7178,3.7053,3.7233,3.8603,4.06,3.8257,3.6386,90.442,74.2535,57.6915,67.4439
1/18/2000,4.181,4.33,4.181,4.27,21432.0,4.2899,4.0732,3.9418,3.8403,3.8124,3.7432,3.7166,3.7298,3.8627,4.0468,3.8378,3.6498,91.443,75.1942,58.17,68.1941
1/19/2000,4.3,4.33,4.151,4.181,16744.0,4.2595,4.1449,3.9747,3.8627,3.8293,3.7656,3.7244,3.7348,3.86,4.0309,3.8489,3.661,62.1516,66.9402,56.1973,63.4686
1/20/2000,4.181,4.42,4.151,4.42,35496.0,4.3244,4.2404,4.0284,3.8925,3.8562,3.794,3.7375,3.7447,3.8585,4.0175,3.8605,3.6739,83.4093,75.13,59.9447,69.5318
1/21/2000,4.539,4.539,4.42,4.42,14065.0,4.4793,4.3061,4.0971,3.9224,3.8791,3.8238,3.7519,3.7547,3.8579,4.0043,3.871,3.6873,83.4093,75.13,59.9447,69.5318
