Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,3.6,3.8,3.56,3.68,18902000.0,3.6912,3.132,2.916,2.6745,2.6357,2.5603,2.6026,2.6563,2.6018,2.7131,2.7661,2.65,98.9435,88.322,81.6341,66.9458
1/4/2000,3.78,3.86,3.54,3.56,14517000.0,3.6689,3.304,2.993,2.7255,2.6727,2.5868,2.615,2.6717,2.6147,2.7019,2.7761,2.6604,78.3992,79.7648,75.7052,64.1584
1/5/2000,3.4,3.64,3.28,3.62,14108000.0,3.5006,3.438,3.087,2.779,2.7093,2.6183,2.6286,2.6855,2.6264,2.6976,2.7856,2.6715,81.3098,80.8106,76.6195,64.914
1/6/2000,3.68,3.76,3.56,3.62,13225000.0,3.6757,3.568,3.181,2.842,2.7393,2.6538,2.6424,2.6932,2.6367,2.6953,2.7952,2.6823,81.3098,80.8106,76.6195,64.914
1/7/2000,3.68,3.76,3.56,3.62,13225000.0,3.6757,3.568,3.181,2.842,2.7393,2.6538,2.6424,2.6932,2.6367,2.6953,2.7952,2.6823,81.3098,80.8106,76.6195,64.914
1/10/2000,3.68,3.76,3.56,3.62,13225000.0,3.6757,3.568,3.181,2.842,2.7393,2.6538,2.6424,2.6932,2.6367,2.6953,2.7952,2.6823,81.3098,80.8106,76.6195,64.914
1/11/2000,3.7,3.76,3.62,3.64,10339000.0,3.6913,3.624,3.279,2.9045,2.7703,2.6848,2.658,2.7022,2.6471,2.6948,2.8043,2.6932,83.0252,81.2201,76.9548,65.1759
1/12/2000,3.58,3.74,3.52,3.7,12035000.0,3.6699,3.628,3.38,2.971,2.8057,2.718,2.6762,2.7132,2.6588,2.6944,2.8141,2.7047,87.9869,82.4817,77.9753,65.9643
1/13/2000,3.74,4.04,3.68,3.88,30152000.0,3.8878,3.692,3.498,3.038,2.8463,2.7575,2.6972,2.7258,2.6718,2.6946,2.8236,2.7169,94.8115,85.7195,80.7318,68.1988
1/14/2000,3.92,3.98,3.8,3.94,13997000.0,3.918,3.756,3.597,3.117,2.8943,2.7975,2.7214,2.7442,2.6857,2.6966,2.832,2.7291,95.9593,86.6451,81.5602,68.9028
1/17/2000,4.0,4.1,3.92,3.98,17166000.0,4.0369,3.828,3.698,3.198,2.944,2.8403,2.7492,2.764,2.7,2.7008,2.8413,2.7412,96.6912,87.2642,82.1124,69.3704
1/18/2000,3.98,4.08,3.9,4.02,8637000.0,4.0179,3.904,3.764,3.2795,2.9953,2.8838,2.7784,2.7833,2.7151,2.7078,2.8515,2.7537,97.3982,87.8955,82.6712,69.8395
1/19/2000,4.02,4.02,3.84,3.92,4811000.0,3.946,3.948,3.788,3.352,3.0457,2.9238,2.8058,2.8002,2.7259,2.7123,2.86,2.7654,54.0734,77.1412,76.2573,67.1783
1/20/2000,3.92,3.98,3.88,3.9,6668000.0,3.9365,3.952,3.822,3.4075,3.091,2.96,2.8338,2.8162,2.7379,2.7179,2.8683,2.7769,47.707,75.0744,75.004,66.6529
1/21/2000,3.92,3.98,3.82,3.84,10885000.0,3.9045,3.932,3.844,3.4655,3.134,2.993,2.8634,2.8312,2.75,2.7249,2.8768,2.7882,31.185,68.8489,71.2221,65.0732
1/24/2000,3.86,3.94,3.8,3.8,6093000.0,3.8738,3.896,3.862,3.5215,3.182,3.02,2.8954,2.8457,2.761,2.7304,2.8843,2.7992,23.1631,64.8177,68.7339,64.0267
1/25/2000,3.8,3.88,3.7,3.78,6275000.0,3.7876,3.848,3.876,3.5775,3.2283,3.0468,2.923,2.861,2.7716,2.7386,2.8916,2.81,19.417,62.751,67.4648,63.4985
1/26/2000,3.8,3.92,3.58,3.66,7135000.0,3.8138,3.796,3.872,3.626,3.2713,3.0723,2.9488,2.8755,2.7817,2.7449,2.8983,2.8196,7.9075,51.6373,60.2737,60.4055
1/27/2000,3.76,3.8,3.66,3.68,3777000.0,3.7271,3.752,3.852,3.675,3.3093,3.0978,2.9764,2.8897,2.7932,2.7524,2.9048,2.8295,19.7932,53.1917,61.0195,60.7352
1/28/2000,3.7,3.74,3.6,3.6,3909000.0,3.6493,3.704,3.818,3.7075,3.3507,3.1253,3.0016,2.9042,2.8032,2.7613,2.9115,2.8386,11.155,46.4706,56.4543,58.7119
1/31/2000,3.56,3.6,3.38,3.42,4069000.0,3.4619,3.628,3.762,3.73,3.386,3.1485,3.0246,2.918,2.812,2.7681,2.9173,2.8459,4.5109,35.2093,47.7906,54.4869
2/1/2000,3.56,3.6,3.38,3.42,4069000.0,3.4619,3.628,3.762,3.73,3.386,3.1485,3.0246,2.918,2.812,2.7681,2.9173,2.8459,4.5109,35.2093,47.7906,54.4869
2/2/2000,3.54,3.6,3.44,3.46,3027000.0,3.5089,3.564,3.706,3.735,3.4217,3.173,3.0482,2.933,2.8211,2.779,2.924,2.8537,20.3288,38.9103,49.6401,55.2275
2/3/2000,3.5,3.56,3.42,3.5,3399000.0,3.476,3.532,3.664,3.726,3.456,3.2003,3.0718,2.9488,2.8306,2.7892,2.9307,2.8621,36.1853,42.599,51.4908,55.9688
2/4/2000,3.5,3.56,3.42,3.5,3399000.0,3.476,3.532,3.664,3.726,3.456,3.2003,3.0718,2.9488,2.8306,2.7892,2.9307,2.8621,36.1853,42.599,51.4908,55.9688
2/7/2000,3.5,3.56,3.42,3.5,3399000.0,3.476,3.532,3.664,3.726,3.456,3.2003,3.0718,2.9488,2.8306,2.7892,2.9307,2.8621,36.1853,42.599,51.4908,55.9688
2/8/2000,3.58,3.6,3.48,3.48,3261000.0,3.5375,3.492,3.622,3.722,3.479,3.2238,3.0924,2.9652,2.8402,2.7993,2.9369,2.8707,31.4855,41.1997,50.4917,55.4936
2/9/2000,3.52,3.8,3.52,3.62,3947000.0,3.6632,3.496,3.6,3.722,3.5103,3.2505,3.1144,2.9862,2.8512,2.809,2.9439,2.8793,71.0145,53.2844,56.8093,58.0716
2/10/2000,3.6,3.7,3.54,3.62,2553000.0,3.648,3.536,3.582,3.722,3.5417,3.282,3.1324,3.0098,2.8628,2.8176,2.9504,2.8879,71.0145,53.2844,56.8093,58.0716
2/11/2000,3.68,3.68,3.6,3.66,2371000.0,3.6245,3.576,3.57,3.723,3.575,3.3138,3.1514,3.0308,2.875,2.8264,2.9572,2.8962,78.8565,56.5161,58.5615,58.8012
2/14/2000,3.66,3.84,3.62,3.8,4990000.0,3.7541,3.636,3.584,3.728,3.612,3.3495,3.1746,3.0547,2.8886,2.837,2.9636,2.9055,91.2644,65.8249,64.0576,61.2432
2/15/2000,3.88,3.98,3.66,3.68,5598000.0,3.8511,3.676,3.584,3.718,3.6447,3.378,3.195,3.0777,2.9007,2.8462,2.9683,2.913,52.017,54.5618,57.0705,58.1851
2/16/2000,3.72,3.76,3.6,3.74,2590000.0,3.6896,3.7,3.598,3.708,3.671,3.4125,3.2198,3.101,2.9132,2.8561,2.974,2.9196,63.7188,58.5511,59.452,59.2379
2/17/2000,3.74,3.76,3.66,3.72,2187000.0,3.7016,3.72,3.628,3.695,3.696,3.4465,3.2444,3.1252,2.926,2.8658,2.9802,2.9267,56.7936,56.6848,58.2912,58.728
2/18/2000,3.76,3.82,3.7,3.76,2816000.0,3.7404,3.74,3.658,3.682,3.7093,3.4808,3.27,3.1498,2.9373,2.8763,2.9873,2.9346,67.4173,59.5834,59.9744,59.4502
2/21/2000,3.72,3.76,3.66,3.76,2494000.0,3.7278,3.732,3.684,3.674,3.712,3.513,3.297,3.1738,2.9487,2.8839,2.9938,2.9414,67.4173,59.5834,59.9744,59.4502
2/22/2000,3.76,3.76,3.6,3.7,2246000.0,3.6605,3.736,3.706,3.664,3.7167,3.5358,3.3202,3.1947,2.9602,2.8923,3.0006,2.9479,36.843,52.8671,56.04,57.8261
2/23/2000,3.7,3.88,3.62,3.78,4652000.0,3.7817,3.744,3.722,3.661,3.722,3.5633,3.3448,3.2157,2.9729,2.9018,3.008,2.9553,66.8818,59.6838,59.8244,59.3575
2/24/2000,3.78,3.84,3.72,3.78,2872000.0,3.7781,3.756,3.738,3.66,3.7273,3.5908,3.3732,3.2333,2.9866,2.9108,3.0154,2.9619,66.8818,59.6838,59.8244,59.3575
2/25/2000,3.78,3.82,3.64,3.66,1687000.0,3.74,3.736,3.738,3.654,3.728,3.6158,3.3986,3.2492,2.9993,2.9187,3.0223,2.9679,25.6722,46.8268,52.032,56.0881
2/28/2000,3.62,3.64,3.5,3.54,1789000.0,3.5622,3.692,3.712,3.648,3.7227,3.637,3.422,3.2642,3.0107,2.9261,3.0277,2.9733,13.3415,37.6922,45.6311,53.0646
2/29/2000,3.6,3.64,3.46,3.6,1476000.0,3.5421,3.672,3.704,3.644,3.7133,3.6595,3.4432,3.2798,3.0245,2.935,3.0336,2.9788,36.2915,43.8531,49.0088,54.3378
3/1/2000,3.66,3.66,3.52,3.56,1155000.0,3.5829,3.628,3.686,3.642,3.7007,3.6748,3.4672,3.2975,3.0366,2.943,3.0387,2.9846,28.6927,40.8255,46.9162,53.3399
3/2/2000,3.5,3.5,3.26,3.36,2004000.0,3.4032,3.544,3.65,3.639,3.68,3.6845,3.4872,3.312,3.047,2.9498,3.0427,2.9895,11.1629,29.4059,38.1459,48.7127
3/3/2000,3.38,3.5,3.26,3.5,1363000.0,3.3809,3.512,3.624,3.641,3.6627,3.688,3.5094,3.329,3.057,2.9578,3.0466,2.9957,45.8805,42.1491,45.7858,51.7441
3/6/2000,3.54,3.64,3.48,3.52,1277000.0,3.5215,3.508,3.6,3.642,3.6493,3.684,3.5304,3.3475,3.0674,2.9658,3.0506,3.0018,50.0624,43.7802,46.7968,52.1619
3/7/2000,3.48,3.48,3.36,3.38,799000.0,3.3849,3.464,3.568,3.637,3.632,3.6795,3.5422,3.3615,3.0748,2.973,3.0531,3.007,27.6381,35.826,41.0291,49.0842
3/8/2000,3.3,3.4,3.2,3.3,1008000.0,3.3094,3.412,3.52,3.621,3.614,3.6715,3.5546,3.374,3.0799,2.9795,3.0553,3.0117,19.9706,32.0792,38.1366,47.4299
3/9/2000,3.36,3.46,3.3,3.44,862000.0,3.4032,3.428,3.486,3.612,3.602,3.667,3.5698,3.392,3.0827,2.9877,3.0586,3.0166,53.6931,43.6761,45.392,50.453
3/10/2000,3.46,3.5,3.44,3.48,1210000.0,3.4664,3.424,3.468,3.603,3.592,3.663,3.5862,3.4102,3.0865,2.9963,3.0624,3.0218,60.7764,46.6064,47.294,51.281
