Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.954,3.162,2.954,3.147,6032367.0,3.1036,2.9122,2.8143,2.6814,2.6223,2.5456,2.5406,2.5308,2.4169,2.5462,2.7911,2.7136,98.0683,85.0145,76.7587,65.9207
1/4/2000,3.147,3.176,3.058,3.087,3974868.0,3.1124,2.9805,2.8484,2.7111,2.6461,2.5634,2.5522,2.5412,2.4247,2.5401,2.7949,2.7207,76.3683,77.0323,71.8742,63.9318
1/5/2000,2.969,3.058,2.894,2.983,8019801.0,2.9757,3.0132,2.8737,2.7341,2.6649,2.579,2.5608,2.5488,2.4298,2.5334,2.7975,2.7274,48.3085,65.0143,64.1776,60.6207
1/6/2000,3.043,3.102,2.969,3.043,4092093.0,3.0329,3.0369,2.9063,2.766,2.6787,2.5994,2.5703,2.5565,2.4327,2.5278,2.8001,2.7335,60.689,68.2033,66.3923,61.7905
1/7/2000,3.043,3.102,2.969,3.043,4092093.0,3.0329,3.0369,2.9063,2.766,2.6787,2.5994,2.5703,2.5565,2.4327,2.5278,2.8001,2.7335,60.689,68.2033,66.3923,61.7905
1/10/2000,3.043,3.102,2.969,3.043,4092093.0,3.0329,3.0369,2.9063,2.766,2.6787,2.5994,2.5703,2.5565,2.4327,2.5278,2.8001,2.7335,60.689,68.2033,66.3923,61.7905
1/11/2000,3.147,3.295,3.147,3.266,7615577.0,3.2542,3.1052,2.9657,2.8054,2.7039,2.6202,2.5851,2.5694,2.4402,2.5248,2.8033,2.741,83.2522,77.0346,73.1068,65.7387
1/12/2000,3.266,3.637,3.206,3.592,9508692.0,3.4929,3.1943,3.0533,2.8588,2.7396,2.6536,2.6071,2.5877,2.4529,2.5251,2.807,2.7504,92.5984,84.2516,79.5578,70.3822
1/13/2000,3.607,3.748,3.488,3.518,12150968.0,3.6522,3.2804,3.1304,2.9011,2.7698,2.6851,2.6258,2.6045,2.4635,2.5229,2.8103,2.7592,77.7977,77.9855,75.1459,68.2087
1/14/2000,3.562,3.681,3.533,3.666,13647944.0,3.6235,3.4169,3.2151,2.9538,2.8069,2.7189,2.6483,2.6243,2.4764,2.5227,2.8143,2.7683,84.9935,81.1413,77.7978,70.1179
1/17/2000,3.696,4.267,3.696,3.933,31788162.0,3.9444,3.595,3.316,3.0213,2.8549,2.7597,2.6768,2.6505,2.4917,2.5264,2.8201,2.7785,91.9969,85.3841,81.6028,73.1234
1/18/2000,3.933,3.971,3.785,3.896,7983421.0,3.8654,3.7212,3.4132,3.0863,2.9011,2.7996,2.7058,2.6741,2.5054,2.5311,2.826,2.7887,83.8449,82.4846,79.5633,72.0817
1/19/2000,3.896,4.119,3.822,3.933,18495935.0,3.9602,3.7895,3.4919,3.1531,2.9516,2.8397,2.7349,2.6991,2.5198,2.5355,2.8309,2.7984,85.7403,83.1291,80.0989,72.4872
1/20/2000,3.933,4.082,3.933,4.082,11474567.0,4.0372,3.9023,3.5913,3.2199,3.0045,2.8824,2.769,2.7253,2.5366,2.5423,2.8366,2.8089,91.6313,85.5259,82.1179,74.0467
1/21/2000,4.008,4.082,3.896,3.971,4360228.0,3.954,3.9632,3.69,3.2818,3.0528,2.9212,2.8012,2.749,2.5524,2.5481,2.8406,2.8188,62.557,76.3713,75.8987,70.9274
1/24/2000,3.971,4.045,3.822,3.933,4193149.0,3.9098,3.9632,3.7791,3.3427,3.1037,2.9538,2.8354,2.7717,2.5677,2.5537,2.8444,2.8282,53.9914,73.4241,73.8898,69.9118
1/25/2000,3.822,3.859,3.696,3.785,8795910.0,3.7491,3.9409,3.831,3.3984,3.1473,2.9857,2.8624,2.7928,2.5815,2.561,2.8473,2.8367,29.6403,62.5601,66.3276,66.0013
1/26/2000,3.859,4.008,3.622,3.666,8993980.0,3.8311,3.8875,3.8385,3.4459,3.1854,3.0143,2.8906,2.8123,2.5944,2.5669,2.8495,2.8434,19.2317,55.2082,60.9531,63.0812
1/27/2000,3.711,3.822,3.488,3.696,10773912.0,3.651,3.8103,3.8563,3.4934,3.2195,3.0414,2.9194,2.8309,2.6088,2.5749,2.8523,2.8505,28.6302,56.6413,61.7867,63.4988
1/28/2000,3.748,3.748,3.622,3.637,4593330.0,3.6709,3.7435,3.8533,3.5342,3.2536,3.0685,2.9458,2.8492,2.6215,2.5827,2.8542,2.857,21.2219,52.8377,59.0704,62.0466
1/31/2000,3.622,3.666,3.548,3.651,3197410.0,3.6029,3.6871,3.8251,3.5705,3.2893,3.0974,2.9728,2.8682,2.6351,2.593,2.8551,2.8633,28.1899,53.7119,59.5492,62.2697
2/1/2000,3.622,3.666,3.548,3.651,3197410.0,3.6029,3.6871,3.8251,3.5705,3.2893,3.0974,2.9728,2.8682,2.6351,2.593,2.8551,2.8633,28.1899,53.7119,59.5492,62.2697
2/2/2000,3.666,3.748,3.622,3.711,4206623.0,3.6843,3.6722,3.8066,3.6099,3.3264,3.1275,3.001,2.8892,2.6492,2.6075,2.8567,2.8696,53.0871,57.2757,61.4897,63.1659
2/3/2000,3.748,3.822,3.637,3.681,3720207.0,3.6997,3.6752,3.7813,3.6366,3.3625,3.159,3.028,2.9093,2.6631,2.6201,2.8571,2.8757,42.1316,54.8982,59.9413,62.3993
2/4/2000,3.748,3.822,3.637,3.681,3720207.0,3.6997,3.6752,3.7813,3.6366,3.3625,3.159,3.028,2.9093,2.6631,2.6201,2.8571,2.8757,42.1316,54.8982,59.9413,62.3993
2/7/2000,3.748,3.822,3.637,3.681,3720207.0,3.6997,3.6752,3.7813,3.6366,3.3625,3.159,3.028,2.9093,2.6631,2.6201,2.8571,2.8757,42.1316,54.8982,59.9413,62.3993
2/8/2000,3.748,3.748,3.577,3.696,4269951.0,3.6783,3.6752,3.7427,3.667,3.3942,3.1891,3.0544,2.9313,2.6774,2.6318,2.8583,2.8821,49.8878,55.9273,60.4772,62.6339
2/9/2000,3.681,3.711,3.607,3.711,5706293.0,3.6751,3.69,3.7168,3.7034,3.4268,3.2188,3.0803,2.9538,2.6923,2.642,2.8597,2.8881,58.2762,57.0303,61.0385,62.8735
2/10/2000,3.711,4.008,3.637,3.822,10261896.0,3.8213,3.7242,3.7056,3.7424,3.4637,3.2542,3.1042,2.9804,2.7072,2.651,2.8628,2.8943,85.5285,64.5219,65.0478,64.633
2/11/2000,3.859,3.933,3.711,3.822,6063357.0,3.8015,3.7464,3.7093,3.7702,3.502,3.2878,3.1304,3.0035,2.722,2.6618,2.8663,2.9,85.5285,64.5219,65.0478,64.633
2/14/2000,3.822,4.156,3.822,4.008,13056430.0,4.0223,3.8117,3.7435,3.791,3.5451,3.3249,3.1601,3.0327,2.7389,2.6759,2.87,2.9054,95.8046,74.0612,70.8467,67.3895
2/15/2000,4.305,5.047,4.305,4.75,58115260.0,4.8076,4.0225,3.8489,3.8526,3.6119,3.3768,3.2029,3.0743,2.7641,2.695,2.8784,2.9145,99.2025,88.2628,82.9978,75.3421
2/16/2000,4.824,4.824,4.564,4.676,6774791.0,4.6828,4.2155,3.9528,3.903,3.6737,3.4284,3.2453,3.1136,2.7896,2.7142,2.8863,2.9232,88.4563,83.1417,79.4324,73.4882
2/17/2000,4.75,4.824,4.639,4.75,6762665.0,4.7392,4.401,4.0626,3.9439,3.7346,3.4826,3.2905,3.1544,2.8167,2.7337,2.8955,2.9324,90.0698,84.1747,80.3418,74.1463
2/18/2000,4.824,4.898,4.639,4.676,4234918.0,4.7105,4.5717,4.1591,3.9828,3.7929,3.5346,3.3338,3.194,2.8417,2.7516,2.9043,2.9416,74.4585,78.7465,76.69,72.2899
2/21/2000,4.601,4.676,4.49,4.639,3565254.0,4.5662,4.6979,4.2548,4.0181,3.8427,3.5856,3.3782,3.2325,2.8678,2.7695,2.9128,2.9496,65.8929,75.99,74.8578,71.3657
2/22/2000,4.639,4.861,4.49,4.601,9743142.0,4.6825,4.6682,4.3454,4.044,3.8931,3.632,3.4203,3.2696,2.8944,2.7878,2.9211,2.9573,56.1958,73.1109,72.9802,70.4342
2/23/2000,4.639,4.824,4.639,4.75,6777486.0,4.7366,4.683,4.4493,4.083,3.952,3.6824,3.4649,3.3084,2.922,2.8075,2.9305,2.9648,76.7368,77.0276,75.615,71.9493
2/24/2000,4.824,4.861,4.601,4.639,3607024.0,4.7005,4.6608,4.5309,4.1183,4.0052,3.7305,3.5095,3.342,2.9497,2.8261,2.9395,2.9718,50.2354,68.597,70.0943,69.1981
2/25/2000,4.676,4.676,4.49,4.49,3400870.0,4.5508,4.6237,4.5977,4.1535,4.046,3.7759,3.5498,3.375,2.9758,2.8435,2.9479,2.9779,29.7126,58.9232,63.4433,65.7314
2/28/2000,4.49,4.564,4.305,4.416,5411210.0,4.4177,4.5791,4.6385,4.191,4.0735,3.8184,3.5876,3.4065,3.0009,2.8605,2.9548,2.9836,22.7439,54.5927,60.3593,64.0712
2/29/2000,4.453,4.527,4.119,4.49,7311062.0,4.294,4.5569,4.6125,4.2307,4.1059,3.862,3.624,3.4378,3.0274,2.8791,2.9625,2.9901,42.8497,58.0603,62.3312,64.9861
3/1/2000,4.49,4.527,4.305,4.342,1902547.0,4.392,4.4752,4.5791,4.266,4.1284,3.9001,3.6586,3.4676,3.052,2.8956,2.9684,2.9954,24.0628,49.5468,56.2992,61.7337
3/2/2000,4.379,4.379,4.045,4.193,4823738.0,4.1687,4.3862,4.5235,4.293,4.1371,3.9318,3.6908,3.496,3.0743,2.9114,2.9737,2.9989,14.5161,42.5309,50.9856,58.6948
