Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,0.886,0.9,0.886,0.9,47197.0,0.8969,0.8429,0.8335,0.8054,0.8055,0.8087,0.8046,0.8142,0.872,0.88,0.8977,0.9266,90.4085,71.8521,61.3185,58.9981
1/4/2000,0.908,0.955,0.908,0.922,52749.0,0.9278,0.8702,0.8432,0.8137,0.8074,0.8111,0.8065,0.8157,0.8719,0.8803,0.8953,0.9266,93.2195,75.123,64.0612,60.1818
1/5/2000,0.864,0.893,0.864,0.893,8329.0,0.8765,0.889,0.8497,0.8187,0.8084,0.8139,0.8076,0.8166,0.8715,0.8802,0.8931,0.926,58.7714,63.9721,58.1417,57.8772
1/6/2000,0.893,0.893,0.893,0.893,2776.0,0.8933,0.8947,0.8562,0.8239,0.8125,0.8159,0.8089,0.8147,0.8706,0.8799,0.8911,0.9255,58.7714,63.9721,58.1417,57.8772
1/7/2000,0.893,0.893,0.893,0.893,2776.0,0.8933,0.8947,0.8562,0.8239,0.8125,0.8159,0.8089,0.8147,0.8706,0.8799,0.8911,0.9255,58.7714,63.9721,58.1417,57.8772
1/10/2000,0.893,0.893,0.893,0.893,2776.0,0.8933,0.8947,0.8562,0.8239,0.8125,0.8159,0.8089,0.8147,0.8706,0.8799,0.8911,0.9255,58.7714,63.9721,58.1417,57.8772
1/11/2000,0.915,0.915,0.9,0.908,13881.0,0.9099,0.9034,0.8641,0.8293,0.817,0.8202,0.8122,0.8152,0.8694,0.8797,0.8898,0.9252,70.8782,67.0657,60.2705,58.7229
1/12/2000,0.915,0.915,0.9,0.908,13881.0,0.9099,0.9034,0.8641,0.8293,0.817,0.8202,0.8122,0.8152,0.8694,0.8797,0.8898,0.9252,70.8782,67.0657,60.2705,58.7229
1/13/2000,0.864,0.864,0.857,0.857,5553.0,0.8609,0.8947,0.8688,0.8326,0.8192,0.8227,0.8146,0.8142,0.8671,0.8786,0.8881,0.9244,27.8865,50.1202,50.5754,54.7431
1/14/2000,0.836,0.836,0.836,0.836,2776.0,0.8357,0.8774,0.8738,0.8366,0.8211,0.8224,0.8166,0.814,0.8647,0.8775,0.8866,0.923,20.0632,44.6774,47.08,53.1462
1/17/2000,0.85,0.864,0.846,0.861,38868.0,0.8537,0.871,0.88,0.8414,0.8222,0.8227,0.8187,0.8141,0.8625,0.877,0.8852,0.9215,46.3851,51.5789,51.3081,54.7396
1/18/2000,0.864,0.864,0.864,0.864,11105.0,0.8645,0.8652,0.88,0.8461,0.8246,0.8229,0.8194,0.8152,0.8597,0.8765,0.884,0.9197,49.9189,52.5306,51.8993,54.966
1/19/2000,0.832,0.864,0.832,0.864,8329.0,0.8537,0.8565,0.88,0.8506,0.8264,0.823,0.8215,0.8163,0.858,0.876,0.8828,0.9181,49.9189,52.5306,51.8993,54.966
1/20/2000,0.882,0.882,0.882,0.882,8329.0,0.8825,0.8616,0.8782,0.8558,0.8296,0.8237,0.8226,0.8169,0.8563,0.8756,0.8817,0.9162,71.2424,57.7816,55.0634,56.1396
1/21/2000,0.9,0.944,0.9,0.918,44420.0,0.9115,0.8782,0.8778,0.8605,0.8351,0.825,0.8244,0.8184,0.8547,0.8758,0.8808,0.9141,87.3722,66.1954,60.6399,58.3835
1/24/2000,0.908,0.908,0.9,0.9,8329.0,0.9029,0.8861,0.8785,0.8641,0.8387,0.8259,0.8268,0.8194,0.8533,0.8764,0.8798,0.9119,61.5008,59.5228,56.8416,56.8784
1/25/2000,0.9,0.918,0.9,0.918,69407.0,0.9166,0.8969,0.881,0.8686,0.843,0.8296,0.829,0.8209,0.852,0.8771,0.8791,0.9097,73.3414,63.6455,59.5689,57.9985
1/26/2000,0.9,0.918,0.882,0.9,38868.0,0.9121,0.9041,0.8803,0.8722,0.8463,0.8329,0.8322,0.8236,0.8506,0.8774,0.8782,0.9078,50.1881,57.1025,55.7734,56.4808
1/27/2000,0.9,0.911,0.886,0.911,13881.0,0.9041,0.9099,0.8857,0.8773,0.8503,0.8358,0.8353,0.8265,0.8497,0.8775,0.8776,0.9059,61.2094,59.8861,57.5222,57.1763
1/28/2000,0.879,0.918,0.879,0.918,63854.0,0.9168,0.9099,0.894,0.8839,0.8557,0.8393,0.8367,0.8295,0.8483,0.8773,0.8769,0.9042,68.2372,61.7477,58.6948,57.6432
1/31/2000,0.918,0.918,0.9,0.918,72183.0,0.9167,0.9135,0.8998,0.8899,0.8609,0.8416,0.8381,0.8322,0.8474,0.877,0.8763,0.9025,68.2372,61.7477,58.6948,57.6432
2/1/2000,0.918,0.918,0.9,0.918,72183.0,0.9167,0.9135,0.8998,0.8899,0.8609,0.8416,0.8381,0.8322,0.8474,0.877,0.8763,0.9025,68.2372,61.7477,58.6948,57.6432
2/2/2000,0.918,0.973,0.918,0.955,158247.0,0.9351,0.9207,0.9088,0.8944,0.867,0.8456,0.84,0.8343,0.8471,0.8768,0.876,0.901,89.5455,70.4314,64.3946,59.978
2/3/2000,0.944,1.189,0.944,1.088,810671.0,1.1035,0.9581,0.9311,0.9055,0.8774,0.8526,0.8447,0.8398,0.8478,0.8779,0.8763,0.9005,97.7866,84.7971,77.0265,66.9509
2/4/2000,0.944,1.189,0.944,1.088,810671.0,1.1035,0.9581,0.9311,0.9055,0.8774,0.8526,0.8447,0.8398,0.8478,0.8779,0.8763,0.9005,97.7866,84.7971,77.0265,66.9509
2/7/2000,0.944,1.189,0.944,1.088,810671.0,1.1035,0.9581,0.9311,0.9055,0.8774,0.8526,0.8447,0.8398,0.8478,0.8779,0.8763,0.9005,97.7866,84.7971,77.0265,66.9509
2/8/2000,1.153,1.311,1.153,1.268,2562498.0,1.2593,1.0294,0.9696,0.9239,0.8938,0.8646,0.8529,0.8471,0.8503,0.8807,0.8778,0.9003,99.148,91.2558,84.849,73.4237
2/9/2000,1.297,1.819,1.297,1.801,4927882.0,1.6155,1.2059,1.0579,0.9678,0.9263,0.8908,0.8716,0.8633,0.8582,0.8879,0.8821,0.9025,99.7716,96.3787,92.7348,83.387
2/10/2000,1.801,1.837,1.592,1.664,1829563.0,1.7306,1.3551,1.1343,1.0064,0.9542,0.9126,0.8876,0.878,0.8648,0.8939,0.8858,0.9045,77.8306,82.4293,81.0678,75.8356
2/11/2000,1.729,1.819,1.635,1.657,1265980.0,1.6963,1.4955,1.2081,1.0446,0.9818,0.9343,0.9053,0.8921,0.8716,0.8996,0.8892,0.9065,76.5024,81.7289,80.4938,75.4635
2/14/2000,1.657,1.729,1.549,1.585,1110509.0,1.6198,1.5949,1.2765,1.0784,1.007,0.9539,0.9216,0.9063,0.8785,0.9042,0.8926,0.9087,60.9107,74.598,74.7909,71.8184
2/15/2000,1.599,1.642,1.477,1.477,1199349.0,1.5481,1.6367,1.3331,1.1094,1.0292,0.971,0.9353,0.9183,0.8832,0.9075,0.8954,0.9102,41.7606,65.0241,67.1103,66.8106
2/16/2000,1.549,1.794,1.455,1.787,2631905.0,1.6516,1.6338,1.4199,1.1569,1.0626,0.9968,0.9555,0.9339,0.8917,0.9134,0.8995,0.9137,75.2373,75.2627,75.0275,72.4976
2/17/2000,1.819,2.071,1.819,1.891,3900661.0,1.9278,1.6792,1.5171,1.2085,1.099,1.0249,0.9767,0.9513,0.9016,0.9201,0.905,0.9175,80.8152,77.7353,77.035,74.0487
2/18/2000,1.945,2.017,1.765,1.855,2490315.0,1.9134,1.7189,1.6072,1.258,1.132,1.052,0.998,0.9679,0.9111,0.9261,0.9103,0.9214,72.3819,74.8337,74.802,72.5883
2/21/2000,1.801,1.909,1.779,1.873,1332610.0,1.8379,1.7765,1.6857,1.3084,1.1656,1.0795,1.0192,0.9848,0.921,0.9331,0.9149,0.9253,74.3866,75.3512,75.1892,72.8651
2/22/2000,1.891,1.909,1.715,1.787,957814.0,1.8333,1.8384,1.7376,1.3536,1.1951,1.1047,1.0392,1.0003,0.93,0.9392,0.9193,0.9289,48.8548,67.8198,69.6555,69.3859
2/23/2000,1.837,1.873,1.787,1.794,1243770.0,1.816,1.8399,1.7369,1.3974,1.2242,1.1289,1.06,1.0158,0.9391,0.9452,0.924,0.9325,50.9588,68.1186,69.8546,69.5114
2/24/2000,1.837,2.017,1.801,1.963,2568051.0,1.9164,1.8543,1.7668,1.4505,1.2598,1.1573,1.0834,1.0341,0.9502,0.9528,0.9298,0.9369,79.9844,74.4012,74.1476,72.2745
2/25/2000,1.999,2.017,1.758,1.765,1532502.0,1.8472,1.8363,1.7776,1.4928,1.2889,1.1807,1.1029,1.0507,0.9595,0.9588,0.9346,0.9404,39.2291,59.0752,62.8652,65.1292
