Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D
5/30/2000,2.069,2.069,2.069,2.069,19200.0,2.0688,2.0878,2.09,2.0692,2.0817,2.1284,2.097,2.0661,1.9664,1.9847,1.9587,1.9571,48.6149,48.8989,50.7711,49.2834
5/31/2000,2.069,2.069,2.069,2.069,19200.0,2.0688,2.0878,2.09,2.0692,2.0817,2.1284,2.097,2.0661,1.9664,1.9847,1.9587,1.9571,48.6149,48.8989,50.7711,49.2834
6/1/2000,2.04,2.04,2.04,2.04,32000.0,2.0397,2.0616,2.0929,2.0692,2.0817,2.1269,2.0993,2.068,1.9687,1.9818,1.9587,1.9588,43.0437,46.9753,50.0207,47.9338
6/2/2000,2.04,2.04,2.04,2.04,32000.0,2.0397,2.0616,2.0929,2.0692,2.0817,2.1269,2.0993,2.068,1.9687,1.9818,1.9587,1.9588,43.0437,46.9753,50.0207,47.9338
6/5/2000,2.04,2.04,2.04,2.04,32000.0,2.0397,2.0616,2.0929,2.0692,2.0817,2.1269,2.0993,2.068,1.9687,1.9818,1.9587,1.9588,43.0437,46.9753,50.0207,47.9338
6/6/2000,2.04,2.04,2.04,2.04,32000.0,2.0397,2.0616,2.0929,2.0692,2.0817,2.1269,2.0993,2.068,1.9687,1.9818,1.9587,1.9588,43.0437,46.9753,50.0207,47.9338
6/7/2000,2.069,2.069,2.069,2.069,12800.0,2.0688,2.0674,2.09,2.0707,2.0827,2.1204,2.1022,2.0709,1.9716,1.9791,1.9584,1.9598,51.3982,49.2225,50.7733,49.4253
6/8/2000,2.069,2.069,2.069,2.069,12800.0,2.0688,2.0674,2.09,2.0707,2.0827,2.1204,2.1022,2.0709,1.9716,1.9791,1.9584,1.9598,51.3982,49.2225,50.7733,49.4253
6/9/2000,2.069,2.069,2.069,2.069,12800.0,2.0688,2.0674,2.09,2.0707,2.0827,2.1204,2.1022,2.0709,1.9716,1.9791,1.9584,1.9598,51.3982,49.2225,50.7733,49.4253
6/12/2000,2.069,2.069,2.069,2.069,12800.0,2.0688,2.0674,2.09,2.0707,2.0827,2.1204,2.1022,2.0709,1.9716,1.9791,1.9584,1.9598,51.3982,49.2225,50.7733,49.4253
6/13/2000,2.069,2.011,2.069,1.981,19200.0,1.9911,2.0295,2.0754,2.0692,2.0827,2.1102,2.104,2.0724,1.9744,1.9757,1.9579,1.9613,30.9615,43.063,48.5063,45.2387
6/14/2000,2.069,1.974,2.069,1.974,32000.0,1.9741,2.0266,2.0688,2.0659,2.0824,2.1013,2.105,2.0737,1.9772,1.9727,1.9571,1.9627,29.4955,42.5637,48.3203,44.8974
6/15/2000,2.069,1.974,2.069,1.974,32000.0,1.9741,2.0266,2.0688,2.0659,2.0824,2.1013,2.105,2.0737,1.9772,1.9727,1.9571,1.9627,29.4955,42.5637,48.3203,44.8974
6/16/2000,2.011,2.011,1.945,1.945,19200.0,1.9887,2.0018,2.0448,2.0623,2.0725,2.0905,2.1054,2.075,1.9789,1.9695,1.9563,1.964,22.9699,40.4529,47.5656,43.4842
6/19/2000,2.011,1.93,1.945,1.923,19200.0,1.9256,1.9785,2.02,2.0535,2.0628,2.0803,2.1042,2.075,1.9798,1.9662,1.9557,1.9644,18.3922,38.8282,46.9961,42.4061
6/20/2000,2.011,1.894,1.945,1.894,38400.0,1.894,1.9435,2.0055,2.0492,2.0531,2.0694,2.1013,2.0746,1.9811,1.9638,1.9557,1.9646,13.1506,36.622,46.2326,40.9483
6/21/2000,2.011,1.894,1.945,1.894,38400.0,1.894,1.9435,2.0055,2.0492,2.0531,2.0694,2.1013,2.0746,1.9811,1.9638,1.9557,1.9646,13.1506,36.622,46.2326,40.9483
6/22/2000,2.011,1.8940000000000001,1.945,1.8940000000000001,38400.0,1.8940000000000001,1.9435,2.0055,2.0492,2.0531,2.0694,2.1013,2.0746,1.9811,1.9638,1.9557,1.9646,13.1506,36.622,46.2326,40.9483
6/23/2000,2.011,1.8940000000000001,1.945,1.8940000000000001,38400.0,1.8940000000000001,1.9435,2.0055,2.0492,2.0531,2.0694,2.1013,2.0746,1.9811,1.9638,1.9557,1.9646,13.1506,36.622,46.2326,40.9483
6/26/2000,2.04,2.04,2.04,2.04,12800.0,2.0397,1.9552,1.9924,2.0448,2.0463,2.065,2.1008,2.0765,1.9842,1.9614,1.9561,1.9647,72.3183,51.9723,50.4005,50.1717
6/27/2000,2.04,2.04,2.04,2.04,12800.0,2.0397,1.9552,1.9924,2.0448,2.0463,2.065,2.1008,2.0765,1.9842,1.9614,1.9561,1.9647,72.3183,51.9723,50.4005,50.1717
6/28/2000,2.04,2.04,2.04,2.04,12800.0,2.0397,1.9552,1.9924,2.0448,2.0463,2.065,2.1008,2.0765,1.9842,1.9614,1.9561,1.9647,72.3183,51.9723,50.4005,50.1717
6/29/2000,2.04,2.04,2.04,2.04,12800.0,2.0397,1.9552,1.9924,2.0448,2.0463,2.065,2.1008,2.0765,1.9842,1.9614,1.9561,1.9647,72.3183,51.9723,50.4005,50.1717
6/30/2000,2.04,2.04,2.04,2.04,12800.0,2.0397,1.9552,1.9924,2.0448,2.0463,2.065,2.1008,2.0765,1.9842,1.9614,1.9561,1.9647,72.3183,51.9723,50.4005,50.1717
7/3/2000,2.04,2.04,2.04,2.04,12800.0,2.0397,1.9552,1.9924,2.0448,2.0463,2.065,2.1008,2.0765,1.9842,1.9614,1.9561,1.9647,72.3183,51.9723,50.4005,50.1717
7/4/2000,2.032,2.032,1.9809999999999999,1.9809999999999999,19200.0,2.0154,1.9567,1.9916,2.0379,2.0424,2.0599,2.1005,2.0775,1.9862,1.9597,1.9567,1.9646,51.3347,46.8645,48.8341,47.0088
7/5/2000,2.032,2.032,1.9809999999999999,1.9809999999999999,19200.0,2.0154,1.9567,1.9916,2.0379,2.0424,2.0599,2.1005,2.0775,1.9862,1.9597,1.9567,1.9646,51.3347,46.8645,48.8341,47.0088
7/6/2000,2.032,2.032,1.9809999999999999,1.9809999999999999,19200.0,2.0154,1.9567,1.9916,2.0379,2.0424,2.0599,2.1005,2.0775,1.9862,1.9597,1.9567,1.9646,51.3347,46.8645,48.8341,47.0088
7/7/2000,2.032,2.032,1.9809999999999999,1.9809999999999999,19200.0,2.0154,1.9567,1.9916,2.0379,2.0424,2.0599,2.1005,2.0775,1.9862,1.9597,1.9567,1.9646,51.3347,46.8645,48.8341,47.0088
7/10/2000,2.032,2.032,1.9809999999999999,1.9809999999999999,19200.0,2.0154,1.9567,1.9916,2.0379,2.0424,2.0599,2.1005,2.0775,1.9862,1.9597,1.9567,1.9646,51.3347,46.8645,48.8341,47.0088
7/11/2000,1.96,1.9809999999999999,1.96,1.9809999999999999,19200.0,1.9669,1.9639,1.9829,2.0364,2.0404,2.057,2.0993,2.0780000000000003,1.9880000000000002,1.9592,1.9580000000000002,1.9653,51.3347,46.8645,48.8341,47.0088
7/12/2000,2.032,2.032,2.011,2.011,12800.0,2.0215,1.9814,1.98,2.0364,2.0395,2.0563,2.0975,2.0794,1.99,1.959,1.9593,1.9652,63.31100000000001,49.9757,49.6711,48.8776
7/13/2000,2.04,2.04,2.04,2.04,19200.0,2.0397,2.0106,1.9771,2.0335,2.0395,2.0563,2.0917,2.0814,1.9924,1.9592,1.9608,1.9652,73.2029,53.0671,50.5085,50.7482
7/14/2000,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0106,1.9829,2.0291,2.0404,2.0577,2.0847,2.0838,1.9953,1.9604,1.9624,1.9653,73.2029,53.0671,50.5085,50.7482
7/17/2000,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0106,1.9829,2.0291,2.0404,2.0577,2.0847,2.0838,1.9953,1.9604,1.9624,1.9653,73.2029,53.0671,50.5085,50.7482
7/18/2000,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0106,1.9829,2.0291,2.0404,2.0577,2.0847,2.0838,1.9953,1.9604,1.9624,1.9653,73.2029,53.0671,50.5085,50.7482
7/19/2000,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0106,1.9829,2.0291,2.0404,2.0577,2.0847,2.0838,1.9953,1.9604,1.9624,1.9653,73.2029,53.0671,50.5085,50.7482
7/20/2000,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0106,1.9829,2.0291,2.0404,2.0577,2.0847,2.0838,1.9953,1.9604,1.9624,1.9653,73.2029,53.0671,50.5085,50.7482
7/21/2000,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0222,1.9894,2.0291,2.0404,2.0592,2.0789,2.0857,1.9967,1.9621,1.964,1.9653,73.2029,53.0671,50.5085,50.7482
7/24/2000,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0222,1.9894,2.0291,2.0404,2.0592,2.0789,2.0857,1.9967,1.9621,1.964,1.9653,73.2029,53.0671,50.5085,50.7482
7/25/2000,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0222,1.9894,2.0291,2.0404,2.0592,2.0789,2.0857,1.9967,1.9621,1.964,1.9653,73.2029,53.0671,50.5085,50.7482
7/26/2000,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0222,1.9894,2.0291,2.0404,2.0592,2.0789,2.0857,1.9967,1.9621,1.964,1.9653,73.2029,53.0671,50.5085,50.7482
7/27/2000,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0339,1.9989,2.0219,2.0412,2.0541,2.0722,2.0877,1.9989,1.9638,1.9656,1.9646,73.2029,53.0671,50.5085,50.7482
7/28/2000,2.032,2.032,2.032,2.032,6400.0,2.0324,2.0382,2.0098,2.0149,2.039,2.0495,2.0662,2.0885,2.001,1.9653,1.9672,1.9644,54.5788,51.7856,50.269,50.1314
7/31/2000,2.025,2.025,2.025,2.025,6400.0,2.0251,2.0353,2.023,2.0142,2.0404,2.0455,2.0601,2.0883,2.0026,1.9668,1.9696,1.9639,39.5034,50.4158,50.0237,49.4837
8/1/2000,2.025,2.025,2.025,2.025,6400.0,2.0251,2.0353,2.023,2.0142,2.0404,2.0455,2.0601,2.0883,2.0026,1.9668,1.9696,1.9639,39.5034,50.4158,50.0237,49.4837
8/2/2000,2.025,2.025,2.025,2.025,6400.0,2.0251,2.0353,2.023,2.0142,2.0404,2.0455,2.0601,2.0883,2.0026,1.9668,1.9696,1.9639,39.5034,50.4158,50.0237,49.4837
8/3/2000,2.003,2.003,2.003,2.003,6400.0,2.0033,2.0281,2.0193,2.0058,2.0363,2.0395,2.0559,2.0872,2.0043,1.9689,1.9712,1.9638,17.6121,46.2841,49.2772,47.5009
8/4/2000,2.003,2.003,2.003,2.003,6400.0,2.0033,2.0281,2.0193,2.0058,2.0363,2.0395,2.0559,2.0872,2.0043,1.9689,1.9712,1.9638,17.6121,46.2841,49.2772,47.5009
