Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,4.255,4.596,4.255,4.596,24676.0,4.4314,4.3402,4.3164,4.1989,4.1666,4.1385,4.204,4.284,4.4304,4.6944,4.3518,4.1683,83.5132,71.4374,66.1748,55.5583
1/4/2000,4.63,4.885,4.527,4.766,54640.0,4.7062,4.4355,4.3674,4.233,4.1893,4.1513,4.2058,4.2855,4.4427,4.6779,4.3607,4.18,89.2472,76.5879,70.4558,58.2622
1/5/2000,4.596,4.596,4.442,4.459,11163.0,4.4997,4.4764,4.3879,4.2602,4.2075,4.1585,4.2023,4.2843,4.4462,4.6584,4.3694,4.19,46.0262,56.102,56.5758,52.3332
1/6/2000,4.51,4.732,4.51,4.596,22914.0,4.592,4.5308,4.4185,4.2934,4.2245,4.1713,4.2037,4.2835,4.4551,4.6371,4.3789,4.2006,59.199,61.2804,60.3175,54.4638
1/7/2000,4.51,4.732,4.51,4.596,22914.0,4.592,4.5308,4.4185,4.2934,4.2245,4.1713,4.2037,4.2835,4.4551,4.6371,4.3789,4.2006,59.199,61.2804,60.3175,54.4638
1/10/2000,4.51,4.732,4.51,4.596,22914.0,4.592,4.5308,4.4185,4.2934,4.2245,4.1713,4.2037,4.2835,4.4551,4.6371,4.3789,4.2006,59.199,61.2804,60.3175,54.4638
1/11/2000,4.63,4.749,4.63,4.63,21151.0,4.6612,4.6091,4.444,4.3291,4.2426,4.1879,4.2078,4.2812,4.4619,4.6178,4.3881,4.2112,62.6201,62.5238,61.2173,54.9841
1/12/2000,4.681,4.766,4.596,4.63,26439.0,4.6973,4.6159,4.4781,4.3632,4.2579,4.2058,4.2126,4.2741,4.4605,4.5982,4.3972,4.2237,62.6201,62.5238,61.2173,54.9841
1/13/2000,4.647,4.664,4.561,4.561,14688.0,4.6459,4.5751,4.5053,4.3853,4.2738,4.2177,4.216,4.2693,4.4585,4.5789,4.4044,4.2363,45.4653,57.8237,58.1587,53.6714
1/14/2000,4.527,4.698,4.527,4.698,11163.0,4.634,4.6228,4.5496,4.4074,4.2943,4.233,4.2231,4.271,4.4599,4.5625,4.4129,4.2496,70.0664,63.9253,62.2238,55.8521
1/17/2000,4.936,4.936,4.766,4.8,31727.0,4.8452,4.6636,4.5972,4.4389,4.317,4.2509,4.2292,4.2713,4.4636,4.548,4.423,4.2631,80.1435,67.8498,64.9725,57.4076
1/18/2000,4.834,4.834,4.732,4.766,16451.0,4.773,4.6908,4.65,4.4662,4.33,4.2704,4.236,4.275,4.4677,4.5296,4.433,4.2757,68.5969,65.1903,63.3187,56.7185
1/19/2000,4.766,4.936,4.561,4.817,34664.0,4.7862,4.7283,4.6721,4.4942,4.3567,4.293,4.2452,4.2821,4.4721,4.5172,4.4431,4.2878,76.2846,67.3499,64.7674,57.5099
1/20/2000,4.851,5.021,4.851,5.004,51703.0,4.9545,4.8168,4.6959,4.5317,4.3873,4.316,4.2602,4.2874,4.4779,4.5135,4.4541,4.3004,89.893,74.0029,69.5209,60.2659
1/21/2000,5.038,5.14,4.936,5.089,61103.0,5.0402,4.8951,4.7589,4.5734,4.4264,4.3453,4.2786,4.2951,4.4806,4.5097,4.4656,4.3132,92.7353,76.4562,71.4091,61.4418
1/24/2000,5.14,5.447,5.106,5.106,71091.0,5.2935,4.9564,4.81,4.6142,4.4656,4.3708,4.299,4.3048,4.484,4.5086,4.4769,4.326,93.3005,76.9457,71.7856,61.6765
1/25/2000,5.038,5.106,4.936,5.106,15863.0,5.0198,5.0244,4.8576,4.6508,4.5053,4.3964,4.3218,4.3161,4.4893,4.5049,4.4872,4.3388,93.3005,76.9457,71.7856,61.6765
1/26/2000,5.106,5.208,4.851,4.851,32314.0,5.0009,5.0312,4.8798,4.6789,4.5354,4.4134,4.3406,4.3238,4.491,4.4994,4.4965,4.3498,25.7324,55.1699,58.4064,56.1873
1/27/2000,4.817,4.936,4.766,4.936,22914.0,4.8028,5.0176,4.9172,4.7113,4.5626,4.4347,4.3576,4.3328,4.4919,4.4979,4.5064,4.3603,45.4756,59.4711,61.0147,57.4918
