Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
9/23/2008,1.449,1.506,1.4380000000000002,1.483,6735000.0,1.4824,1.4216,1.3977,1.445,1.4642,1.5263,1.5841,1.6494,1.8427,1.8897,2.1122,2.1588,91.9989,60.5454,50.6396,40.571999999999996
9/24/2008,1.483,1.506,1.472,1.495,4637100.0,1.4948,1.449,1.4068,1.4461,1.4612,1.5183,1.577,1.6392,1.8365,1.8858,2.1058,2.1538,93.3694,62.6271,52.295,41.4588
9/25/2008,1.495,1.517,1.495,1.495,5277000.0,1.5029,1.4718,1.4205,1.4456,1.4585,1.5103,1.5704,1.6293,1.83,1.8819,2.0989,2.1481,93.3694,62.6271,52.295,41.4588
9/26/2008,1.506,1.5290000000000001,1.495,1.506,7065400.0,1.5151,1.4855,1.4319,1.445,1.4574,1.5029,1.5635,1.6203,1.8236,1.8780000000000001,2.0913,2.1431,95.2138,64.9665,54.081,42.3791
9/29/2008,1.506,1.5290000000000001,1.472,1.517,6051200.0,1.5124,1.4992,1.4479,1.4433,1.4574,1.4961,1.5585,1.6123,1.8168,1.8742,2.0836,2.1378,96.6229,67.2713,55.8607,43.3011
9/30/2008,1.449,1.5290000000000001,1.4380000000000002,1.506,5179100.0,1.4927,1.5038,1.4627,1.4427,1.4589,1.4892,1.554,1.6045,1.8103,1.8703,2.0761,2.1322,67.0238,62.6355,53.6226,42.596000000000004
10/1/2008,1.449,1.5290000000000001,1.4380000000000002,1.506,5179100.0,1.4927,1.5038,1.4627,1.4427,1.4589,1.4892,1.554,1.6045,1.8103,1.8703,2.0761,2.1322,67.0238,62.6355,53.6226,42.596000000000004
10/2/2008,1.449,1.5290000000000001,1.4380000000000002,1.506,5179100.0,1.4927,1.5038,1.4627,1.4427,1.4589,1.4892,1.554,1.6045,1.8103,1.8703,2.0761,2.1322,67.0238,62.6355,53.6226,42.596000000000004
10/3/2008,1.506,1.5290000000000001,1.495,1.506,8685900.0,1.51,1.506,1.4775,1.4427,1.4608,1.4841,1.5483,1.5979,1.8037,1.8659,2.0683,2.1269,67.0238,62.6355,53.6226,42.596000000000004
10/6/2008,1.495,1.54,1.495,1.517,11225600.0,1.5198,1.5106,1.4912,1.4439,1.4631,1.4812,1.5416,1.591,1.7971,1.8613,2.0598,2.1217,80.4789,65.6329,55.6819,43.5792
10/7/2008,1.517,1.54,1.483,1.517,4667700.0,1.5198,1.5129,1.4992,1.4467,1.465,1.4789,1.5352,1.5846,1.7907,1.8571,2.0519,2.1163,80.4789,65.6329,55.6819,43.5792
10/8/2008,1.483,1.517,1.483,1.495,10571600.0,1.5003,1.5083,1.5038,1.4479,1.465,1.4764,1.5286,1.5773,1.784,1.8524,2.0437,2.1109,28.3765,54.5552,50.4825,42.0381
10/9/2008,1.483,1.54,1.483,1.5290000000000001,10053300.0,1.5171,1.5129,1.5083,1.453,1.4661,1.4752,1.5227,1.5715,1.777,1.8477,2.0366,2.1057,70.8452,64.6295,56.9727,45.0531
10/10/2008,1.46,1.495,1.46,1.483,18315200.0,1.4780000000000002,1.5083,1.5072,1.4569999999999999,1.4665,1.4727,1.5161,1.5654,1.7697,1.8422,2.0295,2.1005,32.4103,48.5016,47.9487,42.0371
10/13/2008,1.483,1.54,1.46,1.5290000000000001,11959900.0,1.5053,1.5106,1.5106,1.4655,1.4672,1.4715,1.5104,1.5604,1.7630000000000001,1.8368,2.0232,2.0957,62.7354,59.79,55.5336,45.7912
10/14/2008,1.5519999999999998,1.5630000000000002,1.5290000000000001,1.54,10928800.0,1.5423,1.5152,1.514,1.473,1.4680000000000002,1.4715,1.5051,1.5553,1.7565,1.8308,2.0171,2.0909,68.1022,62.125,57.2123,46.6842
10/15/2008,1.5519999999999998,1.5519999999999998,1.517,1.54,11736500.0,1.5323,1.5243,1.5163,1.4821,1.4676,1.4721,1.5001,1.5515,1.7499,1.8246,2.0114,2.086,68.1022,62.125,57.2123,46.6842
10/16/2008,1.5290000000000001,1.5290000000000001,1.472,1.506,12414800.0,1.4983,1.5197,1.5163,1.4895,1.4672,1.4732,1.4946,1.5477,1.7432,1.8185,2.0048,2.0808,34.5324,50.9019,50.57,44.3391
10/17/2008,1.517,1.517,1.46,1.46,18365600.0,1.4801,1.5152,1.5117,1.4946,1.4657,1.4735,1.4896,1.5422,1.7363,1.8118,1.9976,2.0752,17.3891,40.0494,43.3443,41.4661
10/20/2008,1.46,1.46,1.369,1.415,28529300.0,1.4003,1.4923,1.5015,1.4963,1.4631,1.4727,1.4853,1.5349,1.7288,1.8047,1.9904,2.0693,9.967,32.3016,37.5641,38.8611
10/21/2008,1.4380000000000002,1.472,1.426,1.449,13002500.0,1.4434,1.4741,1.4946,1.4969,1.4627,1.4724,1.4821,1.5285,1.7221,1.7977,1.9837,2.0632,39.1741,41.8013,43.6352,41.7026
10/22/2008,1.4380000000000002,1.449,1.415,1.449,8551500.0,1.4374,1.4558,1.4901,1.4969,1.4619,1.4712,1.4791,1.5222,1.7151,1.791,1.9771,2.0568,39.1741,41.8013,43.6352,41.7026
10/23/2008,1.403,1.4380000000000002,1.392,1.426,16013600.0,1.4103,1.4399,1.4798,1.4941,1.4619,1.4695,1.4761,1.5155,1.7076,1.7846,1.97,2.0504,26.3514,37.376,40.584,40.3642
10/24/2008,1.426,1.4380000000000002,1.358,1.369,27547100.0,1.3861,1.4216,1.4684,1.4878,1.4608,1.4669999999999999,1.4718,1.5081,1.7001,1.7783,1.9624,2.044,11.8301,28.8008,34.1542,37.2708
10/27/2008,1.426,1.4380000000000002,1.358,1.369,27547100.0,1.3861,1.4216,1.4684,1.4878,1.4608,1.4669999999999999,1.4718,1.5081,1.7001,1.7783,1.9624,2.044,11.8301,28.8008,34.1542,37.2708
10/28/2008,1.3230000000000002,1.3459999999999999,1.244,1.3230000000000002,20622700.0,1.2864,1.4034,1.4479,1.4792,1.4596,1.4624,1.4668,1.5,1.6922,1.7715,1.9546,2.0369,7.1211,23.8717,30.0522,35.0479
10/29/2008,1.369,1.369,1.301,1.3459999999999999,12267200.0,1.3313,1.3828,1.4285,1.4712,1.4581,1.4581,1.4629,1.4923,1.6849,1.7648,1.9469999999999998,2.0293,28.4743,30.557,34.301,36.9917
10/30/2008,1.3230000000000002,1.426,1.3119999999999998,1.392,12796000.0,1.381,1.3714,1.4136,1.465,1.4593,1.4541,1.4604,1.4857,1.6787,1.7582,1.9396,2.0217,57.6699,42.0142,41.9019,40.6654
10/31/2008,1.369,1.426,1.369,1.415,10238200.0,1.4068,1.3691,1.4045,1.4604,1.4612,1.4516,1.4595,1.4796,1.6722,1.7519999999999998,1.9324,2.0146,67.5914,46.9386,45.3089,42.4024
11/3/2008,1.415,1.483,1.415,1.449,12308400.0,1.4528,1.3851,1.4034,1.4576,1.4642,1.4501,1.4595,1.4752,1.6658,1.746,1.9252,2.0072,78.7813,53.5896,50.0416,44.9052
11/4/2008,1.449,1.472,1.4380000000000002,1.449,7637600.0,1.4508,1.4102,1.4068,1.4541,1.4665,1.449,1.4595,1.4722,1.6595,1.7399,1.9178,1.9993,78.7813,53.5896,50.0416,44.9052
11/5/2008,1.472,1.506,1.4380000000000002,1.449,17401700.0,1.4685,1.4307,1.4068,1.4507,1.4669,1.4487,1.4593,1.4695,1.6534,1.734,1.9104,1.9918,78.7813,53.5896,50.0416,44.9052
11/6/2008,1.4380000000000002,1.449,1.403,1.449,5621400.0,1.4243,1.4421,1.4068,1.4484,1.4669,1.4481,1.4583,1.4671,1.6472,1.7280000000000002,1.9033,1.9842,78.7813,53.5896,50.0416,44.9052
11/7/2008,1.403,1.4380000000000002,1.369,1.415,8987800.0,1.4040000000000001,1.4421,1.4056,1.4427,1.4646,1.4479,1.4568,1.4644,1.6403,1.7213,1.8957,1.9772,28.669,44.629,44.8244,42.7765
11/10/2008,1.426,1.483,1.426,1.46,3985600.0,1.4553,1.4444,1.4148,1.4416,1.4634,1.4493,1.4565,1.4623,1.6337,1.715,1.8884,1.9707,68.6069,55.732,52.0088,46.2885
11/11/2008,1.4380000000000002,1.46,1.4380000000000002,1.46,2739900.0,1.4496,1.4467,1.4285,1.4382,1.4623,1.4518,1.4556,1.4604,1.6269999999999998,1.7088,1.8813,1.9647,68.6069,55.732,52.0088,46.2885
11/12/2008,1.4380000000000002,1.46,1.4380000000000002,1.46,4008300.0,1.4491,1.449,1.4399,1.4342,1.4608,1.4536,1.4545,1.4591,1.6205,1.7028,1.8746,1.9588,68.6069,55.732,52.0088,46.2885
11/13/2008,1.4380000000000002,1.449,1.426,1.449,5209800.0,1.4408,1.449,1.4456,1.4296,1.4585,1.4558,1.4524,1.4579,1.614,1.6965,1.8675,1.9532,46.5949,52.019,49.9769,45.5154
11/14/2008,1.46,1.46,1.4380000000000002,1.449,9212400.0,1.4496,1.4558,1.449,1.4267,1.4566,1.4581,1.4509999999999998,1.4577,1.6071,1.6905,1.8605,1.9469999999999998,46.5949,52.019,49.9769,45.5154
