Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
6/19/2008,3.78,3.8,3.62,3.64,71200.0,3.7455,3.68,3.708,3.79,3.782,3.781,3.7744,3.7157,3.5384,3.5142,3.3948,3.3562,22.486,33.8192,39.5639,48.2433
6/20/2008,3.66,3.68,3.62,3.66,173600.0,3.6432,3.6719999999999997,3.698,3.7739999999999996,3.78,3.7769999999999997,3.7760000000000002,3.721,3.5428,3.5185,3.3977,3.3595,39.398,38.0705,41.8915,49.052
6/23/2008,3.68,3.74,3.68,3.7,118900.0,3.7137,3.68,3.69,3.759,3.7793,3.7739999999999996,3.7756,3.7260000000000004,3.5458,3.523,3.4008,3.362,63.3723,45.8911,46.3426,50.6474
6/24/2008,3.7,3.72,3.7,3.72,43300.0,3.7195,3.6839999999999997,3.6860000000000004,3.745,3.7787,3.7745,3.7732,3.7310000000000003,3.5502,3.5273,3.4042,3.3652,71.7532,49.4798,48.4681,51.434
6/25/2008,3.72,3.74,3.72,3.72,53000.0,3.7279,3.688,3.688,3.738,3.778,3.773,3.7716,3.735,3.5548,3.532,3.4076,3.3684,71.7532,49.4798,48.4681,51.434
6/26/2008,3.72,3.74,3.72,3.74,56000.0,3.7375,3.708,3.694,3.7319999999999998,3.7767,3.773,3.7716,3.74,3.5596,3.5368,3.4114,3.3719,81.3531,53.391999999999996,50.7315,52.2485
6/27/2008,3.7,3.72,3.68,3.72,133200.0,3.7021,3.72,3.696,3.725,3.7739999999999996,3.7710000000000004,3.7704,3.7453,3.5648,3.5415,3.4151,3.3756,53.8838,49.1133,48.4402,51.3575
6/30/2008,3.7,3.7,3.66,3.66,72000.0,3.6617,3.7119999999999997,3.696,3.716,3.77,3.7695,3.7692,3.7497,3.5682,3.5457,3.4186,3.3789,21.3871,38.6577,42.272,48.776
7/1/2008,3.66,3.66,3.66,3.66,98000.0,3.66,3.7,3.6919999999999997,3.707,3.7673,3.7665,3.7684,3.7539999999999996,3.5706,3.5498,3.4219,3.3822,21.3871,38.6577,42.272,48.776
7/2/2008,3.64,3.66,3.62,3.64,117400.0,3.6375,3.6839999999999997,3.6860000000000004,3.7,3.7627,3.762,3.7656,3.7573,3.5732,3.5518,3.4252,3.3855,14.7262,35.4719,40.2887,47.9169
7/3/2008,3.64,3.66,3.62,3.64,117400.0,3.6375,3.6839999999999997,3.6860000000000004,3.7,3.7627,3.762,3.7656,3.7573,3.5732,3.5518,3.4252,3.3855,14.7262,35.4719,40.2887,47.9169
7/4/2008,3.48,3.58,3.46,3.58,112300.0,3.5601,3.6519999999999997,3.68,3.694,3.7533,3.7565,3.7608,3.7587,3.5758,3.5537,3.4284,3.3885,6.1321,27.7529,34.9856,45.4332
7/7/2008,3.5,3.6,3.5,3.6,43500.0,3.5816,3.628,3.674,3.6860000000000004,3.7407,3.7535,3.7564,3.759,3.5784,3.5548,3.4314,3.3916,27.3354,33.2037,37.919000000000004,46.3914
7/8/2008,3.6,3.6,3.58,3.58,82300.0,3.5812,3.612,3.662,3.676,3.7267,3.75,3.7516,3.7567,3.5810000000000004,3.556,3.4342,3.3948,20.4174,30.605999999999998,36.1619,45.5637
7/9/2008,3.58,3.58,3.48,3.48,315400.0,3.4813,3.576,3.638,3.662,3.7093,3.7435,3.7472,3.7507,3.582,3.556,3.4364,3.3973,7.0452,21.2529,28.9408,41.7144
7/10/2008,3.48,3.48,3.44,3.46,394300.0,3.4582,3.54,3.612,3.65,3.696,3.7365,3.7408,3.745,3.5826,3.5532,3.4384,3.3997,5.8882,19.8856,27.7474,40.9978
7/11/2008,3.44,3.44,3.38,3.38,113000.0,3.4046,3.5,3.576,3.635,3.68,3.7265,3.7336,3.739,3.583,3.549,3.4402,3.4019,2.9659,15.421,23.561999999999998,38.2768
7/14/2008,3.38,3.44,3.38,3.38,156000.0,3.426,3.4560000000000004,3.542,3.6189999999999998,3.6639999999999997,3.716,3.7252,3.7323,3.5836,3.5458,3.4418,3.4041,2.9659,15.421,23.561999999999998,38.2768
7/15/2008,3.34,3.34,3.14,3.28,154500.0,3.2659,3.3960000000000004,3.5039999999999996,3.6,3.6453,3.7035,3.7164,3.725,3.5824,3.5418,3.4428,3.4055,1.2379,11.3793,19.3342,35.1557
7/16/2008,3.24,3.24,3.16,3.18,159100.0,3.1814,3.3360000000000003,3.4560000000000004,3.574,3.6233,3.6895,3.7044,3.7163,3.5810000000000004,3.5377,3.4433,3.4063,0.6606,8.7881,16.2032,32.4209
7/17/2008,3.18,3.32,3.16,3.32,24700.0,3.1836,3.3080000000000003,3.424,3.555,3.608,3.678,3.6944,3.7087,3.5812,3.5372,3.4446,3.4079,49.8122,32.8656,32.6479,39.2636
7/18/2008,3.32,3.32,3.18,3.2,20000.0,3.208,3.272,3.386,3.533,3.5913,3.6615,3.6824,3.6983,3.5802,3.5375,3.4452,3.4086,30.4447,26.1972,27.6408,36.0289
7/21/2008,3.14,3.16,3.1,3.12,65900.0,3.1365,3.22,3.338,3.5060000000000002,3.57,3.64,3.6704,3.6867,3.5774,3.5367,3.4453,3.4085,21.9215,22.7372,24.8991,34.0918
7/22/2008,3.12,3.16,3.12,3.16,104300.0,3.1588,3.196,3.2960000000000003,3.4789999999999996,3.5493,3.6189999999999998,3.6592,3.6757,3.575,3.5347,3.4456,3.4086,35.4706,28.0803,28.7068,35.875
7/23/2008,3.22,3.22,3.18,3.2,27000.0,3.2007,3.2,3.2680000000000002,3.4530000000000003,3.5307,3.5989999999999998,3.6484,3.6673,3.5734,3.534,3.4458,3.4091,48.7984,33.2717,32.398,37.621
7/24/2008,3.2,3.2,3.12,3.12,3000.0,3.1733,3.16,3.234,3.423,3.5113,3.5805,3.636,3.6563,3.571,3.5328,3.4454,3.4091,30.1297,28.623,29.1476,35.6147
7/25/2008,3.1,3.12,3.1,3.12,60500.0,3.113,3.1439999999999997,3.208,3.392,3.4927,3.562,3.6228,3.6460000000000004,3.569,3.5317,3.4449,3.4095,30.1297,28.623,29.1476,35.6147
7/28/2008,3.26,3.28,3.26,3.26,155500.0,3.2641,3.1719999999999997,3.196,3.3689999999999998,3.478,3.5469999999999997,3.612,3.637,3.5684,3.5322,3.445,3.4105,72.1228,45.4912,41.13399999999999,41.4611
7/29/2008,3.26,3.26,3.2,3.22,68000.0,3.2441,3.1839999999999997,3.19,3.347,3.4633,3.5315,3.6008,3.6287,3.5676,3.5313,3.4449,3.4114,57.3506,42.2796,39.0987,40.3774
7/30/2008,3.22,3.22,3.2,3.2,33000.0,3.2061,3.1839999999999997,3.1919999999999997,3.324,3.4467,3.5155,3.59,3.6189999999999998,3.5668,3.5295,3.4448,3.4121,49.7138,40.6647,38.0841,39.8388
7/31/2008,3.2,3.2,3.2,3.2,63200.0,3.2,3.2,3.18,3.302,3.43,3.5010000000000003,3.5784,3.6087,3.5660000000000003,3.528,3.4448,3.4129,49.7138,40.6647,38.0841,39.8388
8/1/2008,3.2,3.2,3.18,3.2,137800.0,3.1997,3.216,3.18,3.283,3.4153,3.4885,3.5652,3.5987,3.5684,3.5269999999999997,3.4448,3.4139,49.7138,40.6647,38.0841,39.8388
8/4/2008,3.18,3.26,3.18,3.26,14900.0,3.1874,3.216,3.194,3.266,3.4019999999999997,3.4760000000000004,3.5508,3.591,3.57,3.5263,3.4451,3.4149,78.5856,48.9874,43.571000000000005,42.3909
8/5/2008,3.18,3.18,3.12,3.18,59500.0,3.1541,3.208,3.196,3.2460000000000004,3.3847,3.4610000000000003,3.5344,3.582,3.57,3.5252,3.4451,3.4154,36.5804,40.4721,38.6526,40.0477
8/6/2008,3.14,3.14,3.12,3.14,10000.0,3.134,3.196,3.19,3.2289999999999996,3.3653,3.4455,3.5172,3.572,3.57,3.5232,3.4452,3.4157,26.1123,36.8674,36.4378,38.9345
8/7/2008,3.12,3.12,3.08,3.1,224000.0,3.1014,3.176,3.188,3.2110000000000003,3.3447,3.4305,3.502,3.5613,3.5698,3.5207,3.4448,3.4157,18.2699,33.5096,34.32,37.8462
8/8/2008,3.1,3.1,3.06,3.1,35000.0,3.0894,3.156,3.1860000000000004,3.197,3.3233,3.4160000000000004,3.4868,3.55,3.5696,3.5187,3.4444,3.4159,18.2699,33.5096,34.32,37.8462
8/11/2008,3.1,3.1,3.08,3.1,52800.0,3.094,3.1239999999999997,3.17,3.1830000000000003,3.3027,3.4010000000000002,3.4716,3.5383,3.5696,3.5168,3.4441,3.4159,18.2699,33.5096,34.32,37.8462
8/12/2008,3.08,3.08,3.06,3.06,11200.0,3.0689,3.1,3.154,3.1719999999999997,3.2827,3.386,3.4560000000000004,3.5263,3.5684,3.514,3.4434,3.4157,9.0732,29.663,31.9972,36.7102
8/13/2008,3.0,3.04,3.0,3.04,183100.0,3.0312,3.08,3.138,3.165,3.262,3.3695,3.44,3.5147,3.5678,3.5117,3.4428,3.4155,6.5865,27.8639,30.8722,36.149
8/14/2008,3.22,3.24,3.2,3.2,13200.0,3.2336,3.1,3.138,3.159,3.2473,3.3569999999999998,3.4284,3.505,3.5684,3.5108,3.4429,3.4160000000000004,78.2192,53.3365,46.9442,43.3201
8/15/2008,3.08,3.08,3.08,3.08,2000.0,3.08,3.096,3.1260000000000003,3.153,3.2307,3.343,3.4160000000000004,3.492,3.5666,3.509,3.4424,3.4160000000000004,41.9926,41.0931,39.5224,39.8479
