Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,1.212,1.293,1.204,1.293,4493371.0,1.2328,1.2037,1.194,1.1177,1.0909,1.0765,1.0701,1.067,1.0551,1.0431,0.9323,0.8818,94.7986,86.0546,82.9976,77.2496
1/4/2000,1.293,1.293,1.244,1.252,1398763.0,1.26,1.2215,1.2005,1.1286,1.0981,1.0819,1.0741,1.0705,1.0585,1.0454,0.9365,0.8862,62.9926,71.253,71.7577,69.6888
1/5/2000,1.236,1.252,1.22,1.228,2574714.0,1.2315,1.2328,1.2045,1.1391,1.1043,1.0868,1.0777,1.0736,1.0618,1.0477,0.9406,0.8904,48.3829,63.8409,65.9839,65.6977
1/6/2000,1.293,1.293,1.228,1.228,1776305.0,1.2371,1.2425,1.2086,1.1488,1.1103,1.0916,1.0814,1.0766,1.0644,1.0498,0.9445,0.8945,48.3829,63.8409,65.9839,65.6977
1/7/2000,1.293,1.293,1.228,1.228,1776305.0,1.2371,1.2425,1.2086,1.1488,1.1103,1.0916,1.0814,1.0766,1.0644,1.0498,0.9445,0.8945,48.3829,63.8409,65.9839,65.6977
1/10/2000,1.293,1.293,1.228,1.228,1776305.0,1.2371,1.2425,1.2086,1.1488,1.1103,1.0916,1.0814,1.0766,1.0644,1.0498,0.9445,0.8945,48.3829,63.8409,65.9839,65.6977
1/11/2000,1.284,1.293,1.244,1.284,3397880.0,1.2597,1.257,1.2199,1.1613,1.1181,1.0979,1.0862,1.0804,1.067,1.0522,0.9485,0.899,76.7241,72.3385,72.0663,69.9894
1/12/2000,1.293,1.349,1.276,1.349,5737404.0,1.2903,1.2683,1.236,1.1775,1.1286,1.1058,1.0924,1.0852,1.0699,1.0547,0.9526,0.9038,88.0099,78.757,77.1049,73.8565
1/13/2000,1.373,1.373,1.301,1.341,3014149.0,1.3216,1.2861,1.2538,1.1928,1.1388,1.1136,1.0984,1.0899,1.0728,1.0573,0.9565,0.9086,80.6754,76.2683,75.277,72.646
1/14/2000,1.188,1.357,1.188,1.349,4969941.0,1.3246,1.3103,1.2716,1.2081,1.149,1.1215,1.1043,1.0948,1.0758,1.0598,0.9605,0.9134,82.8227,77.083,75.8925,73.1021
