Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D
1/3/2000,2.7,3.125,2.7,3.075,2176000.0,3.0558,2.71,2.7425,2.6713,2.5263,2.4341,2.3833,2.3538,2.2905,2.2657,2.156,2.0732,86.5593,74.1195,69.2214,72.8446
1/4/2000,3.075,3.1,3.025,3.075,724000.0,3.0645,2.795,2.765,2.7138,2.5563,2.4563,2.402,2.3683,2.3008,2.2732,2.165,2.0827,86.5593,74.1195,69.2214,72.8446
1/5/2000,3.075,3.15,3.05,3.125,3216000.0,3.0915,2.895,2.8,2.7575,2.5875,2.48,2.4213,2.3833,2.3115,2.2814,2.174,2.0924,88.741,75.7912,70.1895,74.154
1/6/2000,3.15,3.375,3.15,3.375,2748000.0,3.272,3.065,2.8625,2.8138,2.6267,2.5113,2.4458,2.4031,2.3251,2.2917,2.1844,2.1035,94.9225,82.2429,74.3608,79.4814
1/7/2000,3.15,3.375,3.15,3.375,2748000.0,3.272,3.065,2.8625,2.8138,2.6267,2.5113,2.4458,2.4031,2.3251,2.2917,2.1844,2.1035,94.9225,82.2429,74.3608,79.4814
1/10/2000,3.15,3.375,3.15,3.375,2748000.0,3.272,3.065,2.8625,2.8138,2.6267,2.5113,2.4458,2.4031,2.3251,2.2917,2.1844,2.1035,94.9225,82.2429,74.3608,79.4814
1/11/2000,3.5,3.775,3.475,3.75,2548000.0,3.7077,3.28,2.9625,2.8825,2.6767,2.5516,2.477,2.4288,2.3424,2.3053,2.1969,2.1163,97.7285,87.7514,78.9347,84.6067
1/12/2000,3.7,3.875,3.65,3.75,2056000.0,3.7994,3.415,3.0625,2.945,2.7267,2.5919,2.508,2.454,2.3591,2.3191,2.2095,2.1289,97.7285,87.7514,78.9347,84.6067
1/13/2000,3.8,3.85,3.675,3.75,1604000.0,3.7733,3.55,3.1725,2.9975,2.775,2.6325,2.539,2.4798,2.3746,2.333,2.2218,2.1414,97.7285,87.7514,78.9347,84.6067
1/14/2000,3.75,3.75,3.7,3.725,528000.0,3.7235,3.67,3.2825,3.0375,2.8233,2.6709,2.5698,2.5054,2.3893,2.347,2.2333,2.1538,86.9206,85.2414,77.9089,82.8829
1/17/2000,3.75,3.875,3.75,3.8,1648000.0,3.8057,3.755,3.41,3.08,2.875,2.7122,2.6018,2.5315,2.4043,2.3617,2.2451,2.1665,91.2668,86.5407,78.7653,83.94
1/18/2000,3.775,3.875,3.75,3.85,2536000.0,3.8644,3.775,3.5275,3.1263,2.9283,2.7541,2.635,2.559,2.4199,2.3772,2.2571,2.1794,93.445,87.3744,79.3182,84.6219
1/19/2000,3.875,3.875,3.8,3.875,644000.0,3.8405,3.8,3.6075,3.175,2.9833,2.7966,2.6688,2.5873,2.4361,2.3906,2.2694,2.1924,94.4779,87.7995,79.5931,84.9657
1/20/2000,3.85,3.875,3.85,3.875,1656000.0,3.8697,3.825,3.6875,3.2263,3.0383,2.8391,2.7025,2.6163,2.4524,2.4043,2.282,2.2051,94.4779,87.7995,79.5931,84.9657
1/21/2000,3.875,3.875,3.75,3.85,80000.0,3.7875,3.85,3.76,3.28,3.0917,2.8806,2.736,2.6444,2.4684,2.4178,2.2945,2.2173,69.748,84.2111,78.477,82.8188
1/24/2000,3.775,3.9,3.775,3.9,1144000.0,3.8588,3.87,3.8125,3.3375,3.1467,2.9231,2.7715,2.6735,2.4849,2.432,2.3074,2.2299,83.0546,85.5408,79.0838,83.7056
1/25/2000,3.825,3.85,3.825,3.85,572000.0,3.839,3.87,3.8225,3.3925,3.1958,2.9631,2.8058,2.7013,2.5009,2.4456,2.3196,2.2419,50.0393,78.1381,76.8426,79.2979
1/26/2000,3.825,3.825,3.775,3.8,152000.0,3.8053,3.855,3.8275,3.445,3.2392,3.0019,2.839,2.7279,2.5164,2.4588,2.3312,2.2537,31.3476,71.2056,74.654,75.0425
1/27/2000,3.825,3.875,3.8,3.85,1908000.0,3.858,3.85,3.8375,3.505,3.2775,3.0406,2.8735,2.7554,2.5319,2.4724,2.3426,2.2657,56.0008,73.8188,75.3794,76.406
1/28/2000,3.875,3.875,3.85,3.85,1656000.0,3.867,3.85,3.85,3.5663,3.3083,3.08,2.9068,2.7831,2.5473,2.4868,2.3544,2.2777,56.0008,73.8188,75.3794,76.406
1/31/2000,3.85,3.875,3.825,3.85,792000.0,3.8516,3.84,3.855,3.6325,3.3383,3.12,2.9408,2.8106,2.5623,2.5011,2.3653,2.2896,56.0008,73.8188,75.3794,76.406
2/1/2000,3.85,3.875,3.825,3.85,792000.0,3.8516,3.84,3.855,3.6325,3.3383,3.12,2.9408,2.8106,2.5623,2.5011,2.3653,2.2896,56.0008,73.8188,75.3794,76.406
2/2/2000,3.85,4.025,3.85,4.025,2756000.0,3.9579,3.875,3.8725,3.7,3.375,3.1644,2.9778,2.8413,2.58,2.5171,2.377,2.3024,91.6062,81.972,77.8372,80.9546
2/3/2000,4.075,4.4,4.075,4.4,1924000.0,4.1862,3.995,3.925,3.7663,3.425,3.2188,3.0223,2.8781,2.6023,2.5365,2.3908,2.3171,97.6691,89.7026,81.8529,86.8188
2/4/2000,4.075,4.4,4.075,4.4,1924000.0,4.1862,3.995,3.925,3.7663,3.425,3.2188,3.0223,2.8781,2.6023,2.5365,2.3908,2.3171,97.6691,89.7026,81.8529,86.8188
2/7/2000,4.075,4.4,4.075,4.4,1924000.0,4.1862,3.995,3.925,3.7663,3.425,3.2188,3.0223,2.8781,2.6023,2.5365,2.3908,2.3171,97.6691,89.7026,81.8529,86.8188
2/8/2000,4.4,4.725,4.4,4.625,1040000.0,4.5513,4.15,4.0,3.8438,3.4842,3.2788,3.0713,2.9188,2.627,2.5579,2.406,2.3329,98.5874,92.0141,83.6875,89.0061
2/9/2000,4.675,4.675,4.45,4.5,412000.0,4.5663,4.28,4.065,3.9125,3.5417,3.335,3.1175,2.9575,2.6501,2.5783,2.4202,2.3479,74.2204,80.6932,79.0922,80.9676
2/10/2000,4.5,4.5,4.3,4.3,84000.0,4.3833,4.37,4.105,3.9588,3.5933,3.3863,3.1595,2.9938,2.6713,2.5974,2.4333,2.3618,46.5861,66.0627,72.5027,70.0643
2/11/2000,4.3,4.3,4.225,4.25,1388000.0,4.2368,4.415,4.145,3.9838,3.6433,3.4331,3.1995,3.029,2.6915,2.6159,2.446,2.3756,40.8785,62.8574,70.9735,67.613
2/14/2000,4.225,4.35,4.225,4.275,1064000.0,4.3256,4.39,4.1925,4.01,3.6942,3.4775,3.24,3.0646,2.7121,2.6343,2.4589,2.3896,45.8539,63.8442,71.2868,68.2118
2/15/2000,4.3,4.4,4.125,4.125,772000.0,4.3069,4.29,4.22,4.0288,3.7433,3.5131,3.2765,3.0979,2.7315,2.6503,2.471,2.4025,26.092,54.1361,66.8114,60.9318
2/16/2000,4.125,4.25,4.1,4.25,716000.0,4.1785,4.24,4.26,4.055,3.7975,3.5463,3.316,3.1323,2.752,2.6669,2.4837,2.4154,51.9678,59.8585,68.5154,64.3467
2/17/2000,4.25,4.5,4.25,4.375,952000.0,4.3892,4.255,4.3125,4.0838,3.8592,3.5819,3.3585,3.1694,2.7738,2.6842,2.4974,2.4289,68.5069,64.7994,70.1032,67.4141
2/18/2000,4.375,4.525,4.375,4.525,664000.0,4.5044,4.31,4.3625,4.1175,3.9208,3.6219,3.404,3.2085,2.7965,2.7028,2.5117,2.4431,80.5574,69.8152,71.8647,70.6745
2/21/2000,4.425,4.6,4.425,4.6,1692000.0,4.5316,4.375,4.3825,4.1538,3.9717,3.6644,3.4515,3.249,2.8208,2.7224,2.5265,2.4579,84.8928,72.055,72.6968,72.1737
2/22/2000,4.6,4.6,4.375,4.55,404000.0,4.4718,4.46,4.375,4.1875,4.0208,3.7069,3.498,3.2885,2.8445,2.7416,2.5407,2.4726,69.4143,68.2563,71.2437,69.6185
2/23/2000,4.55,4.55,4.475,4.5,76000.0,4.4855,4.51,4.375,4.22,4.0667,3.75,3.543,3.3271,2.868,2.7603,2.5546,2.4871,54.507,64.4348,69.8004,67.0616
2/24/2000,4.475,4.475,4.425,4.45,504000.0,4.448,4.525,4.39,4.2475,4.1025,3.7925,3.587,3.3646,2.891,2.7786,2.5681,2.5014,41.2264,60.6168,68.3676,64.5101
2/25/2000,4.425,4.425,4.325,4.35,756000.0,4.359,4.49,4.4,4.2725,4.1225,3.8325,3.6265,3.3996,2.913,2.7961,2.5813,2.5149,23.8172,53.4859,65.5824,59.624
2/28/2000,4.3,4.325,4.15,4.2,824000.0,4.1973,4.41,4.3925,4.2925,4.1375,3.8688,3.6605,3.4321,2.9335,2.8124,2.5936,2.5273,12.2131,44.6268,61.6831,53.1242
2/29/2000,4.25,4.25,3.85,4.0,1788000.0,4.0607,4.3,4.38,4.3,4.1458,3.9025,3.6865,3.4604,2.952,2.8266,2.6048,2.5383,6.1856,35.7458,57.0079,45.934
3/1/2000,4.0,4.0,3.7,3.7,528000.0,3.8517,4.14,4.325,4.2925,4.145,3.9294,3.702,3.4842,2.9675,2.8381,2.6143,2.5482,2.931,26.7593,51.0087,37.693
3/2/2000,3.7,3.875,3.7,3.825,716000.0,3.8186,4.015,4.27,4.2913,4.1458,3.9619,3.7195,3.5104,2.9838,2.8504,2.6247,2.5579,26.9527,34.4804,53.1345,42.3353
3/3/2000,3.9,4.025,3.9,3.975,428000.0,3.9907,3.94,4.215,4.2888,4.15,3.9944,3.7405,3.5392,3.0015,2.8648,2.6358,2.5682,49.4639,42.6432,55.5299,47.3999
3/6/2000,4.025,4.125,4.025,4.125,296000.0,4.078,3.925,4.1675,4.275,4.1583,4.0206,3.765,3.5708,3.0205,2.881,2.6476,2.5793,65.4397,49.6941,57.7631,51.9451
3/7/2000,4.0,4.2,4.0,4.125,1252000.0,4.1485,3.95,4.125,4.25,4.1667,4.0469,3.7905,3.6025,3.0398,2.8975,2.6592,2.5904,65.4397,49.6941,57.7631,51.9451
3/8/2000,4.1,4.1,4.075,4.075,152000.0,4.0974,4.025,4.0825,4.2288,4.1742,4.0706,3.8165,3.6329,3.0583,2.9132,2.6703,2.6011,52.8979,47.244,56.7466,50.266
3/9/2000,4.075,4.075,4.0,4.025,232000.0,4.031,4.065,4.04,4.215,4.1783,4.0869,3.842,3.6625,3.0766,2.9285,2.6807,2.6115,41.0863,44.7612,55.7319,48.575
3/10/2000,4.075,4.125,3.975,4.1,2000000.0,4.0644,4.09,4.015,4.2075,4.1867,4.0956,3.869,3.6913,3.0955,2.9442,2.6913,2.6221,60.787,49.2608,56.927,51.2255
3/13/2000,3.875,4.0,3.875,3.95,728000.0,3.9239,4.055,3.99,4.1913,4.1917,4.1006,3.893,3.7154,3.1126,2.9586,2.701,2.6321,30.345,41.6307,53.9156,46.107
3/14/2000,4.0,4.025,3.75,3.85,708000.0,3.9243,4.0,3.975,4.1775,4.1917,4.1031,3.917,3.7346,3.1291,2.9725,2.71,2.6416,20.2192,37.2979,52.0178,43.0207
3/15/2000,3.85,3.925,3.8,3.925,516000.0,3.8252,3.97,3.9975,4.1613,4.1942,4.1081,3.943,3.7513,3.1465,2.9869,2.7196,2.6514,41.9944,42.3596,53.2934,45.9433
3/16/2000,3.85,3.925,3.8,3.925,516000.0,3.8252,3.97,3.9975,4.1613,4.1942,4.1081,3.943,3.7513,3.1465,2.9869,2.7196,2.6514,41.9944,42.3596,53.2934,45.9433
3/17/2000,4.0,4.0,3.975,3.975,1028000.0,3.9823,3.96,4.0125,4.1413,4.1983,4.1125,3.972,3.7683,3.1639,3.0017,2.7297,2.6618,54.4318,45.6502,54.1342,47.8632
3/20/2000,4.0,4.0,3.975,3.975,1028000.0,3.9823,3.96,4.0125,4.1413,4.1983,4.1125,3.972,3.7683,3.1639,3.0017,2.7297,2.6618,54.4318,45.6502,54.1342,47.8632
3/21/2000,3.85,4.0,3.85,3.975,508000.0,3.9642,3.935,4.0125,4.1138,4.1967,4.1156,3.998,3.7858,3.1816,3.016,2.7397,2.6719,54.4318,45.6502,54.1342,47.8632
3/22/2000,4.0,4.0,3.95,3.975,236000.0,3.9576,3.94,3.9975,4.0825,4.1825,4.1181,4.016,3.8038,3.1996,3.031,2.7494,2.6821,54.4318,45.6502,54.1342,47.8632
3/23/2000,3.975,4.25,3.975,4.125,1660000.0,4.141,3.995,3.9975,4.0613,4.1658,4.1244,4.037,3.825,3.2195,3.0473,2.7602,2.6928,85.6295,56.3053,56.7219,53.9866
3/24/2000,4.15,4.15,4.025,4.075,176000.0,4.0881,4.025,3.9975,4.04,4.1517,4.13,4.056,3.8467,3.2386,3.0633,2.7708,2.7031,63.7922,52.4494,55.6394,51.8025
3/27/2000,4.05,4.25,4.05,4.225,1564000.0,4.213,4.075,4.0175,4.0288,4.1492,4.1381,4.073,3.8713,3.2594,3.0806,2.7822,2.7142,83.1403,61.3764,58.1197,57.3739
3/28/2000,4.225,4.225,4.125,4.125,248000.0,4.1786,4.105,4.02,4.0175,4.145,4.145,4.0805,3.8942,3.2788,3.0971,2.7928,2.7249,54.1856,53.8011,55.9618,52.9773
3/29/2000,4.1,4.2,4.1,4.2,700000.0,4.1604,4.15,4.045,4.0175,4.1425,4.155,4.0895,3.9183,3.2988,3.1142,2.8037,2.736,67.0825,58.1584,57.1949,55.718
3/30/2000,4.175,4.2,4.175,4.175,884000.0,4.1919,4.16,4.0775,4.0263,4.1442,4.1631,4.098,3.9438,3.3185,3.131,2.8144,2.7469,58.8055,56.1717,56.648,54.5761
3/31/2000,4.175,4.2,4.175,4.2,16000.0,4.1438,4.185,4.105,4.0513,4.1425,4.1719,4.1075,3.97,3.3386,3.1481,2.8252,2.758,65.239,57.7937,57.0726,55.557
4/3/2000,4.075,4.075,4.075,4.075,820000.0,4.0706,4.155,4.115,4.0638,4.1325,4.1775,4.113,3.9958,3.3574,3.1638,2.8353,2.7686,30.046,47.8356,54.3204,49.7699
4/4/2000,4.075,4.1,4.075,4.1,172000.0,4.082,4.15,4.1275,4.07,4.1183,4.1794,4.118,4.0196,3.3765,3.1796,2.8457,2.7792,39.79,49.7825,54.7716,50.8721
4/5/2000,4.05,4.25,3.95,4.25,2536000.0,3.9851,4.16,4.155,4.0763,4.1067,4.1756,4.1255,4.0392,3.3971,3.1965,2.8569,2.7905,73.2831,59.8876,57.3847,56.9728
4/6/2000,4.05,4.25,3.95,4.25,2536000.0,3.9851,4.16,4.155,4.0763,4.1067,4.1756,4.1255,4.0392,3.3971,3.1965,2.8569,2.7905,73.2831,59.8876,57.3847,56.9728
4/7/2000,4.225,4.225,4.225,4.225,636000.0,4.2208,4.17,4.165,4.0813,4.0958,4.1656,4.1325,4.0583,3.4175,3.2133,2.8683,2.8014,64.336,57.7102,56.8187,55.7307
4/10/2000,4.15,4.2,4.1,4.2,72000.0,4.1569,4.17,4.1775,4.0875,4.0858,4.1581,4.1395,4.0763,3.4378,3.2298,2.8797,2.812,54.3777,55.4424,56.2448,54.4521
4/11/2000,4.2,4.225,4.175,4.175,692000.0,4.1945,4.19,4.1725,4.095,4.0767,4.155,4.145,4.0896,3.4583,3.2464,2.891,2.8221,44.1312,53.0952,55.6632,53.1393
4/12/2000,4.175,4.175,4.0,4.025,888000.0,4.0575,4.175,4.1625,4.0913,4.0658,4.1494,4.1485,4.0942,3.4771,3.2615,2.9016,2.8313,16.3699,41.2945,52.3062,45.9766
4/13/2000,4.0,4.125,4.0,4.125,116000.0,4.0991,4.15,4.155,4.1,4.0633,4.1456,4.155,4.1004,3.497,3.2772,2.9128,2.8409,48.6637,49.6821,54.2107,50.7433
4/14/2000,4.05,4.05,3.975,4.05,76000.0,4.0118,4.115,4.1425,4.11,4.065,4.1438,4.159,4.1054,3.5163,3.2926,2.9238,2.85,33.9257,44.3372,52.5817,47.3676
4/17/2000,3.55,3.675,3.3,3.475,2880000.0,3.4361,3.97,4.07,4.0875,4.0575,4.1244,4.1515,4.1013,3.5291,3.3033,2.9317,2.8564,7.5679,22.9977,42.4617,30.5743
4/18/2000,3.65,3.65,3.425,3.45,1228000.0,3.4974,3.825,4.0075,4.0613,4.045,4.1013,4.1435,4.0954,3.5421,3.3134,2.9396,2.8628,7.203,22.4688,42.0972,30.0751
4/19/2000,3.55,3.55,3.475,3.5,616000.0,3.5042,3.72,3.9475,4.0375,4.0292,4.0756,4.133,4.0896,3.5554,3.3243,2.948,2.8694,18.9317,26.2836,43.1074,32.4508
4/20/2000,3.5,3.5,3.45,3.475,1104000.0,3.4805,3.59,3.87,4.0125,4.0075,4.0475,4.1145,4.0829,3.5684,3.3351,2.9547,2.8757,17.2925,25.5758,42.7219,31.8678
4/21/2000,3.5,3.725,3.5,3.725,332000.0,3.5187,3.525,3.82,3.9925,3.9942,4.0269,4.0965,4.0804,3.5839,3.3483,2.963,2.8834,64.0211,42.8818,47.5724,42.9129
4/24/2000,3.475,3.55,3.475,3.5,228000.0,3.5088,3.53,3.75,3.9638,3.975,4.0019,4.0765,4.0746,3.597,3.3595,2.9701,2.8901,36.3193,34.7098,44.0958,37.0858
4/25/2000,3.5,3.5,3.4,3.45,440000.0,3.4432,3.53,3.6775,3.925,3.9558,3.9769,4.0595,4.0671,3.6095,3.3703,2.977,2.8964,31.7411,33.1313,43.3672,35.9186
4/26/2000,3.5,3.5,3.475,3.475,492000.0,3.488,3.525,3.6225,3.8925,3.935,3.955,4.044,4.0608,3.6218,3.381,2.984,2.9028,37.6369,34.7992,43.8471,36.9865
4/27/2000,3.475,3.475,3.45,3.475,316000.0,3.4601,3.525,3.5575,3.8563,3.9192,3.9369,4.028,4.0554,3.634,3.3917,2.991,2.9089,37.6369,34.7992,43.8471,36.9865
4/28/2000,3.475,3.475,3.45,3.45,620000.0,3.4642,3.47,3.4975,3.82,3.9058,3.9231,4.0145,4.0488,3.6455,3.4021,2.9978,2.9149,31.5127,33.7342,43.453,36.2852
5/1/2000,3.475,3.475,3.45,3.45,620000.0,3.4642,3.47,3.4975,3.82,3.9058,3.9231,4.0145,4.0488,3.6455,3.4021,2.9978,2.9149,31.5127,33.7342,43.453,36.2852
