Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
12/31/2001,9.019,9.133,9.019,9.095,35200.0,9.0932,8.9814,9.0042,9.0705,9.0673,8.8829,8.8079,8.7572,8.9659,9.0329,8.6258,8.5998,80.7339,55.411,54.1891,52.4113
1/1/2002,9.019,9.133,9.019,9.095,35200.0,9.0932,8.9814,9.0042,9.0705,9.0673,8.8829,8.8079,8.7572,8.9659,9.0329,8.6258,8.5998,80.7339,55.411,54.1891,52.4113
1/2/2002,9.057,9.171,9.019,9.171,11200.0,9.1073,9.0421,8.988999999999999,9.0743,9.0913,8.9037,8.8185,8.773,8.9549,9.0399,8.6355,8.5831,88.0458,59.9379,56.8067,53.3843
1/3/2002,9.247,9.436,9.247,9.36,22600.0,9.3466,9.1254,9.0231,9.0875,9.1229,8.9303,8.8321,8.7894,8.9477,9.0452,8.6458,8.5839,95.0668,68.8364,62.5656,55.7255
1/4/2002,9.398,9.777000000000001,9.398,9.777000000000001,135200.0,9.6076,9.2922,9.0951,9.1179,9.1532,8.9634,8.8511,8.809,8.9473,9.0579,8.658,8.5896,98.321,79.8911,71.5519,60.2671
1/7/2002,9.853,9.853,9.474,9.664,52800.0,9.7445,9.4134,9.1709,9.1444,9.1709,8.9985,8.8693,8.8223,8.9477,9.0705,8.67,8.5949,77.4268,72.0494,66.8393,58.571999999999996
1/8/2002,9.55,9.55,9.398,9.398,27200.0,9.4771,9.4741,9.2278,9.1614,9.181000000000001,9.026,8.8859,8.8393,8.945,9.0822,8.6787,8.6008,44.4016,57.2886,57.3483,54.8483
1/9/2002,9.55,9.55,9.398,9.436,36400.0,9.4387,9.5271,9.2846,9.1785,9.1949,9.0544,8.9117,8.8583,8.9473,9.0945,8.6884,8.6078,49.0577,58.6501,58.2601,55.2686
1/10/2002,9.474,9.626,9.398,9.474,71200.0,9.4748,9.5499,9.3377,9.1955,9.2,9.0847,8.9337,8.8728,8.9526,9.1018,8.6997,8.6165,54.7429,60.0816,59.1995,55.6952
1/11/2002,9.474,9.55,9.057,9.171,62600.0,9.245,9.4286,9.3604,9.1993,9.1848,9.1036,8.9504,8.8867,8.9579,9.1081,8.7088,8.6216,23.4024,45.8088,49.5853,51.6209
1/14/2002,9.095,9.285,9.095,9.171,48400.0,9.2057,9.3301,9.3718,9.1955,9.1747,9.1226,8.967,8.8949,8.9538,9.1109,8.7176,8.625,23.4024,45.8088,49.5853,51.6209
1/15/2002,9.019,9.171,9.019,9.171,23600.0,9.133,9.2846,9.3793,9.1918,9.1734,9.1453,8.9822,8.9031,8.9507,9.1055,8.7239,8.6271,23.4024,45.8088,49.5853,51.6209
1/16/2002,9.209,9.209,9.133,9.133,22600.0,9.1605,9.224,9.3756,9.1823,9.1747,9.1624,8.9981,8.9113,8.9466,9.0976,8.7309,8.6307,18.8497,43.9506,48.3592,51.1036
1/17/2002,9.209,9.209,9.057,9.171,43200.0,9.1132,9.1633,9.3566,9.1899,9.1772,9.1813,9.0155,8.9195,8.9428,9.091000000000001,8.7387,8.6343,37.1809,46.3968,49.6987,51.6053
1/18/2002,9.095,9.209,9.095,9.133,8200.0,9.158,9.1558,9.2922,9.1936,9.176,9.187999999999999,9.0292,8.9246,8.9394,9.0853,8.7467,8.6385,27.771,44.2254,48.3481,51.0633
1/21/2002,9.133,9.133,8.943999999999999,8.943999999999999,39400.0,9.0332,9.1103,9.2202,9.1955,9.1696,9.1832,9.0428,8.9277,8.9325,9.0686,8.7534,8.6436,9.5824,35.009,42.1765,48.4321
1/22/2002,8.943999999999999,9.057,8.868,9.057,96800.0,8.9045,9.0875,9.1861,9.2069,9.1696,9.1823,9.058,8.936,8.9265,9.056000000000001,8.7608,8.6495,43.1141,43.0237,46.5824,50.0303
