Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,39.52,46.4,39.2,46.4,526375.0,42.4382,39.808,39.216,36.496,34.1493,31.226,29.488,28.4293,26.3848,26.608,28.371,27.6734,95.2423,80.129,76.3592,71.5863
1/4/2000,46.4,50.0,44.8,46.4,540250.0,47.7677,41.696,40.048,37.456,34.6027,31.83,29.968,28.8227,26.6208,26.716,28.4841,27.8171,95.2423,80.129,76.3592,71.5863
1/5/2000,44.0,45.6,40.8,44.0,471875.0,43.9639,42.848,40.528,38.128,34.9813,32.378,30.4,29.172,26.8232,26.8093,28.5769,27.9517,59.2003,68.0582,68.4637,67.2637
1/6/2000,44.0,46.4,42.8,43.2,173000.0,44.4087,43.744,40.848,38.808,35.376,32.918,30.8224,29.4707,27.016,26.8853,28.664,28.0764,49.7811,64.419,66.0134,65.8917
1/7/2000,44.0,46.4,42.8,43.2,173000.0,44.4087,43.744,40.848,38.808,35.376,32.918,30.8224,29.4707,27.016,26.8853,28.664,28.0764,49.7811,64.419,66.0134,65.8917
1/10/2000,44.0,46.4,42.8,43.2,173000.0,44.4087,43.744,40.848,38.808,35.376,32.918,30.8224,29.4707,27.016,26.8853,28.664,28.0764,49.7811,64.419,66.0134,65.8917
1/11/2000,46.4,46.8,44.0,44.0,180875.0,45.2055,44.8,41.44,39.384,35.888,33.458,31.2544,29.804,27.2144,26.9787,28.7354,28.2077,59.4571,66.4379,67.2748,66.5965
1/12/2000,43.2,44.0,42.4,43.2,78125.0,43.1117,44.16,41.984,39.952,36.3413,33.99,31.6608,30.1373,27.412,27.0693,28.8107,28.3358,46.126,62.4514,64.6893,65.2027
1/13/2000,43.2,44.0,42.0,42.4,177000.0,42.9969,43.36,42.528,40.224,36.752,34.498,32.0384,30.4573,27.6024,27.156,28.8803,28.4561,34.5172,58.5023,62.1184,63.8209
1/14/2000,43.6,45.2,42.4,42.8,237125.0,43.5825,43.12,42.984,40.532,37.2453,35.006,32.4416,30.7973,27.7952,27.2567,28.9474,28.5664,44.9149,59.9277,62.9121,64.2132
1/17/2000,44.4,46.0,43.6,44.8,296125.0,44.565,43.44,43.592,41.012,37.8587,35.566,32.8896,31.1773,28.0056,27.3793,29.0209,28.6762,74.8572,66.4163,66.672,66.1136
1/18/2000,45.2,45.6,43.2,43.2,190625.0,44.6303,43.28,44.04,41.284,38.3813,36.062,33.3104,31.5133,28.1976,27.506,29.0879,28.7881,45.3055,57.9685,61.3165,63.3304
1/19/2000,43.2,45.2,41.6,42.4,175750.0,43.0031,43.12,43.64,41.428,38.8773,36.522,33.7088,31.8467,28.3768,27.6247,29.1551,28.8913,34.9557,54.098,58.7744,61.9807
1/20/2000,43.2,44.4,42.4,42.8,116125.0,43.2728,43.2,43.28,41.664,39.3973,36.772,34.12,32.1867,28.5568,27.7547,29.2329,28.9987,44.4699,55.7595,59.6747,62.3952
1/21/2000,43.2,43.6,41.6,41.6,186750.0,42.2008,42.96,43.04,41.784,39.7653,36.996,34.5104,32.5067,28.7336,27.8867,29.2747,29.1021,26.8178,49.689,55.7421,60.3531
1/24/2000,42.4,43.2,40.0,40.8,201375.0,41.1424,42.16,42.8,41.824,40.1387,37.232,34.8944,32.8187,28.8984,28.012,29.3236,29.1963,19.1975,45.9381,53.2239,59.0209
1/25/2000,40.0,40.4,39.36,39.52,187500.0,39.8372,41.424,42.352,41.896,40.3733,37.504,35.2368,33.104,29.0504,28.14,29.3653,29.2861,11.4137,40.4428,49.3802,56.9406
1/26/2000,39.52,41.2,36.8,37.6,107375.0,39.8461,40.464,41.792,41.888,40.5653,37.704,35.5504,33.3493,29.1936,28.2467,29.3947,29.3643,5.9687,33.65,44.2213,53.9878
1/27/2000,38.4,42.4,37.44,40.0,184625.0,40.2385,39.904,41.552,42.04,40.6667,37.952,35.9088,33.624,29.3616,28.3807,29.4427,29.4555,50.366,46.3272,51.0986,56.8793
1/28/2000,41.6,42.0,39.84,40.8,191875.0,41.1718,39.744,41.352,42.168,40.8053,38.272,36.2752,33.9267,29.5296,28.5293,29.4969,29.5251,59.8455,49.9157,53.1713,57.794
1/31/2000,39.84,41.6,39.04,40.0,110750.0,40.031,39.584,40.872,42.232,40.9653,38.612,36.6272,34.22,29.6912,28.6727,29.5431,29.5939,46.5187,46.4239,50.8502,56.5531
2/1/2000,39.84,41.6,39.04,40.0,110750.0,40.031,39.584,40.872,42.232,40.9653,38.612,36.6272,34.22,29.6912,28.6727,29.5431,29.5939,46.5187,46.4239,50.8502,56.5531
2/2/2000,40.0,45.2,40.0,42.8,378750.0,42.4915,40.24,40.832,42.436,41.1333,38.994,37.016,34.564,29.8816,28.8533,29.6004,29.6756,75.3441,57.9943,57.7945,59.687
2/3/2000,44.0,48.4,42.8,48.4,625125.0,46.4142,42.4,41.432,42.536,41.4293,39.516,37.504,34.996,30.124,29.0767,29.6871,29.7875,90.5784,71.7307,67.6416,64.9219
2/4/2000,44.0,48.4,42.8,48.4,625125.0,46.4142,42.4,41.432,42.536,41.4293,39.516,37.504,34.996,30.124,29.0767,29.6871,29.7875,90.5784,71.7307,67.6416,64.9219
2/7/2000,44.0,48.4,42.8,48.4,625125.0,46.4142,42.4,41.432,42.536,41.4293,39.516,37.504,34.996,30.124,29.0767,29.6871,29.7875,90.5784,71.7307,67.6416,64.9219
2/8/2000,49.6,58.4,49.6,56.0,949500.0,55.1502,45.6,42.752,43.016,42.0267,40.236,37.968,35.5587,30.444,29.3533,29.8151,29.9373,95.8271,81.1447,75.8699,70.331
2/9/2000,58.4,60.0,53.6,55.2,466875.0,57.4637,48.48,44.112,43.576,42.56,40.852,38.4192,36.1107,30.7616,29.6153,29.9404,30.0768,88.0794,78.0661,73.7442,69.1695
2/10/2000,55.2,59.6,52.8,55.2,371125.0,56.7561,51.52,45.552,44.176,43.0667,41.492,38.896,36.6707,31.0808,29.876,30.064,30.2152,88.0794,78.0661,73.7442,69.1695
2/11/2000,56.0,58.0,54.0,54.8,182875.0,55.6626,53.92,47.08,44.716,43.624,42.05,39.4192,37.2107,31.392,30.1313,30.1924,30.3335,80.736,76.2358,72.5652,68.5637
