Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.037,2.051,1.982,2.024,166670.0,2.0246,1.9903,1.9722,1.9182,1.8983,1.8901,1.8838,1.8715,1.9408,2.0017,1.981,1.8998,78.3792,74.1129,71.0412,67.2847
1/4/2000,1.996,2.024,1.982,1.996,203337.0,1.996,1.9958,1.9778,1.9272,1.902,1.8943,1.8866,1.8748,1.9399,1.9983,1.9847,1.9044,52.8974,63.0478,63.7785,63.5744
1/5/2000,1.968,1.968,1.954,1.954,1443362.0,1.9611,1.9875,1.9778,1.932,1.9043,1.897,1.8882,1.8771,1.9366,1.9943,1.9882,1.9089,30.5501,50.36,54.7388,58.5632
1/6/2000,1.968,1.968,1.94,1.94,143336.0,1.9474,1.9764,1.9764,1.9376,1.9066,1.8998,1.8896,1.8789,1.9313,1.9903,1.9914,1.9131,25.2224,46.8262,52.0886,57.0135
1/7/2000,1.968,1.968,1.94,1.94,143336.0,1.9474,1.9764,1.9764,1.9376,1.9066,1.8998,1.8896,1.8789,1.9313,1.9903,1.9914,1.9131,25.2224,46.8262,52.0886,57.0135
1/10/2000,1.968,1.968,1.94,1.94,143336.0,1.9474,1.9764,1.9764,1.9376,1.9066,1.8998,1.8896,1.8789,1.9313,1.9903,1.9914,1.9131,25.2224,46.8262,52.0886,57.0135
1/11/2000,1.968,1.968,1.94,1.954,936685.0,1.9566,1.9736,1.9764,1.9424,1.9089,1.9022,1.8913,1.881,1.9273,1.9863,1.9946,1.9174,40.7275,50.7167,54.4629,58.1589
1/12/2000,1.968,2.037,1.954,2.01,2986726.0,2.0014,1.9708,1.9806,1.948,1.9131,1.9057,1.8941,1.8842,1.9239,1.983,1.9979,1.9218,73.5875,62.9239,62.4738,62.3139
1/13/2000,2.024,2.134,1.968,2.107,1886704.0,2.055,1.993,1.9944,1.9605,1.9214,1.9113,1.8988,1.8891,1.9215,1.9797,2.0017,1.9268,89.2425,75.0773,71.8175,68.0565
1/14/2000,2.107,2.204,2.093,2.176,3366734.0,2.1533,2.0374,2.0124,1.9764,1.9325,1.9189,1.9049,1.8953,1.9198,1.9771,2.0056,1.932,93.4207,80.2735,76.3477,71.2893
1/17/2000,2.19,2.287,2.19,2.245,3870077.0,2.2617,2.0984,2.0374,1.9951,1.9464,1.9279,1.9129,1.9029,1.919,1.975,2.0097,1.9376,95.8427,84.0213,79.8379,74.0102
1/18/2000,2.218,2.287,2.218,2.273,1223358.0,2.2592,2.1621,2.0679,2.0145,1.9611,1.9369,1.9218,1.9108,1.9186,1.9747,2.0137,1.9432,96.5948,85.2798,81.0429,74.9909
1/19/2000,2.273,2.301,2.245,2.301,1780036.0,2.2677,2.2203,2.0956,2.0339,1.9773,1.9476,1.9312,1.9191,1.9186,1.9745,2.0172,1.9489,97.3217,86.4779,82.1893,75.9305
1/20/2000,2.301,2.356,2.301,2.315,593345.0,2.3253,2.2619,2.1275,2.0526,1.9939,1.9584,1.9409,1.9267,1.9187,1.9744,2.0207,1.9547,97.6913,87.0699,82.751,76.3893
1/21/2000,2.315,2.37,2.287,2.356,606679.0,2.3189,2.2979,2.1677,2.0727,2.0106,1.9702,1.9512,1.9348,1.9198,1.9749,2.0246,1.9607,98.5757,88.7345,84.3459,77.7081
1/24/2000,2.37,2.37,2.328,2.328,93335.0,2.3423,2.3146,2.2065,2.0914,2.0272,1.9816,1.9611,1.9424,1.9198,1.9752,2.0289,1.9665,71.2721,80.9214,79.0953,74.8258
1/25/2000,2.315,2.315,2.259,2.315,223338.0,2.2929,2.3229,2.2425,2.1094,2.0425,1.9923,1.9703,1.9498,1.9203,1.976,2.0324,1.9721,59.013,77.1026,76.53,73.4172
1/26/2000,2.328,2.328,2.287,2.328,330007.0,2.3091,2.3284,2.2744,2.1275,2.0568,2.0034,1.9794,1.9575,1.9214,1.9769,2.036,1.9776,67.4191,78.257,77.3221,73.925
1/27/2000,2.301,2.356,2.301,2.356,140003.0,2.3288,2.3367,2.2993,2.1469,2.0734,2.0159,1.9889,1.9655,1.9237,1.9784,2.0394,1.9833,79.8295,80.472,78.8588,74.9163
1/28/2000,2.301,2.356,2.259,2.356,3080062.0,2.2739,2.3367,2.3173,2.1649,2.09,2.0287,1.9986,1.9736,1.9253,1.9804,2.0425,1.9891,79.8295,80.472,78.8588,74.9163
1/31/2000,2.259,2.342,2.259,2.342,520010.0,2.2669,2.3395,2.327,2.1822,2.1058,2.0415,2.0077,1.9819,1.9271,1.9824,2.0455,1.9944,55.8825,75.5984,75.8772,73.4227
2/1/2000,2.259,2.342,2.259,2.342,520010.0,2.2669,2.3395,2.327,2.1822,2.1058,2.0415,2.0077,1.9819,1.9271,1.9824,2.0455,1.9944,55.8825,75.5984,75.8772,73.4227
2/2/2000,2.342,2.356,2.328,2.356,763349.0,2.3544,2.3478,2.3354,2.2016,2.1215,2.0547,2.0166,1.9907,1.9291,1.9847,2.0492,1.9996,69.5734,77.1549,76.821,73.9598
2/3/2000,2.37,2.425,2.37,2.412,1183357.0,2.3992,2.3645,2.3464,2.221,2.1381,2.0696,2.0274,2.0004,1.9319,1.9875,2.0532,2.005,89.3687,82.2499,80.1641,75.9692
