Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,6.41,6.859,6.41,6.667,1318200.0,6.6547,6.3744,6.3744,5.8756,5.5795,5.2577,5.0087,4.8585,4.3931,4.1355,3.5207,3.3367,86.1566,80.199,81.2478,78.7459
1/4/2000,6.667,7.051,6.667,6.731,865800.0,6.8682,6.4385,6.409,5.9609,5.6329,5.3279,5.0613,4.9032,4.434,4.1681,3.5483,3.3621,88.2832,81.3517,81.9566,79.2098
1/5/2000,6.667,6.731,6.231,6.731,713700.0,6.5586,6.5333,6.441,6.0423,5.6872,5.3981,5.1149,4.9474,4.4736,4.2009,3.576,3.3876,88.2832,81.3517,81.9566,79.2098
1/6/2000,6.795,6.795,6.538,6.731,3568500.0,6.7079,6.6231,6.4756,6.1224,5.7432,5.4676,5.1685,4.9904,4.5122,4.2317,3.6027,3.413,88.2832,81.3517,81.9566,79.2098
1/7/2000,6.795,6.795,6.538,6.731,3568500.0,6.7079,6.6231,6.4756,6.1224,5.7432,5.4676,5.1685,4.9904,4.5122,4.2317,3.6027,3.413,88.2832,81.3517,81.9566,79.2098
1/10/2000,6.795,6.795,6.538,6.731,3568500.0,6.7079,6.6231,6.4756,6.1224,5.7432,5.4676,5.1685,4.9904,4.5122,4.2317,3.6027,3.413,88.2832,81.3517,81.9566,79.2098
1/11/2000,6.923,6.923,6.474,6.538,3385200.0,6.6003,6.6795,6.5013,6.1968,5.7944,5.5311,5.2192,5.0301,4.5471,4.2621,3.6278,3.4378,34.5481,65.1514,71.7891,73.8553
1/12/2000,6.538,6.795,6.41,6.41,2655900.0,6.681,6.6282,6.5013,6.2647,5.8415,5.5862,5.2659,5.0677,4.5794,4.2913,3.6521,3.4617,21.4762,56.6852,65.918,70.5655
1/13/2000,6.474,6.538,6.359,6.359,2219100.0,6.5114,6.5538,6.4962,6.3173,5.8876,5.6394,5.3126,5.1045,4.6106,4.3204,3.6757,3.4854,17.5027,53.5537,63.6747,69.2884
1/14/2000,6.282,7.115,6.282,7.051,2886000.0,6.9304,6.6179,6.5756,6.4019,5.9568,5.701,5.3741,5.1532,4.6488,4.3546,3.7026,3.5126,82.6197,74.7442,75.6982,75.4847
1/17/2000,7.179,7.692,7.115,7.564,3751800.0,7.5414,6.7846,6.7038,6.4981,6.0423,5.7766,5.4459,5.2126,4.6927,4.3926,3.7321,3.5422,90.7405,81.7013,80.7745,78.7673
1/18/2000,7.5,7.756,7.308,7.372,2039700.0,7.4803,6.9513,6.8154,6.5641,6.1274,5.8429,5.5149,5.2671,4.7344,4.4297,3.761,3.5708,71.8553,73.1951,74.4906,74.8778
1/19/2000,7.436,7.564,7.436,7.564,1833000.0,7.4598,7.1821,6.9051,6.6397,6.2188,5.9109,5.5872,5.3248,4.7777,4.4694,3.7907,3.6004,78.5513,76.0055,76.4626,76.0988
1/20/2000,7.564,7.628,7.5,7.628,1220700.0,7.5799,7.4359,6.9949,6.7019,6.3056,5.9734,5.6613,5.3835,4.8191,4.5097,3.8209,3.6302,80.8315,76.9133,77.0981,76.4927
1/21/2000,7.564,7.692,7.564,7.692,2453100.0,7.6879,7.5641,7.091,6.766,6.3919,6.0381,5.7367,5.4442,4.8604,4.5503,3.8516,3.6603,83.4678,77.8557,77.7452,76.8868
1/24/2000,7.692,7.756,7.628,7.628,1875900.0,7.7107,7.5769,7.1808,6.8282,6.4752,6.1026,5.8103,5.5038,4.9,4.5897,3.8821,3.69,69.1932,74.4372,75.4494,75.5761
1/25/2000,7.628,7.756,7.5,7.5,1189500.0,7.6728,7.6026,7.2769,6.8891,6.5568,6.1651,5.8803,5.5622,4.9381,4.627,3.9123,3.7188,45.7308,67.7446,70.9374,73.0013
1/26/2000,7.692,8.077,7.628,7.949,2889900.0,7.8918,7.6795,7.4308,6.966,6.6534,6.2388,5.9551,5.6267,4.9799,4.6691,3.9449,3.7499,80.4801,76.178,76.2833,75.966
1/27/2000,7.885,8.397,7.821,8.269,1154400.0,8.2012,7.8077,7.6218,7.059,6.7521,6.3212,6.0359,5.6974,5.0249,4.7145,3.9792,3.7826,88.4227,80.3141,79.2231,77.7697
1/28/2000,8.397,9.615,8.397,9.423,4095000.0,9.107,8.1538,7.859,7.2173,6.8876,6.4324,6.1326,5.7882,5.0817,4.7696,4.0202,3.8211,96.379,88.4416,85.9669,82.6257
1/31/2000,9.359,9.423,8.205,8.333,2176200.0,8.9705,8.2949,7.9359,7.3199,6.9774,6.5157,6.2085,5.8609,5.1278,4.8168,4.055,3.854,48.8347,61.4748,64.6304,68.0933
2/1/2000,9.359,9.423,8.205,8.333,2176200.0,8.9705,8.2949,7.9359,7.3199,6.9774,6.5157,6.2085,5.8609,5.1278,4.8168,4.055,3.854,48.8347,61.4748,64.6304,68.0933
2/2/2000,8.846,9.551,8.846,9.487,3061500.0,9.1976,8.6923,8.1474,7.4814,7.0919,6.6324,6.3038,5.9536,5.1855,4.8734,4.0961,3.8926,71.3116,71.7392,72.4323,73.2472
2/3/2000,9.487,10.385,9.487,10.256,2449200.0,10.0563,9.1538,8.4167,7.6609,7.2321,6.7683,6.4121,6.0588,5.2504,4.9377,4.1415,3.9347,80.0678,76.4459,76.2012,75.9288
2/4/2000,9.487,10.385,9.487,10.256,2449200.0,10.0563,9.1538,8.4167,7.6609,7.2321,6.7683,6.4121,6.0588,5.2504,4.9377,4.1415,3.9347,80.0678,76.4459,76.2012,75.9288
2/7/2000,9.487,10.385,9.487,10.256,2449200.0,10.0563,9.1538,8.4167,7.6609,7.2321,6.7683,6.4121,6.0588,5.2504,4.9377,4.1415,3.9347,80.0678,76.4459,76.2012,75.9288
2/8/2000,10.769,10.962,10.321,10.321,1599000.0,10.707,9.5641,8.6859,7.8404,7.3632,6.9006,6.5159,6.1654,5.3144,5.0017,4.1871,3.9775,80.8003,76.808,76.4897,76.135
2/9/2000,10.641,11.026,10.256,10.449,2199600.0,10.5349,9.7692,8.9615,8.0263,7.4979,7.0343,6.6228,6.2741,5.3773,5.0657,4.2335,4.021,82.7069,77.5834,77.0878,76.5506
2/10/2000,10.385,10.705,10.128,10.641,1840800.0,10.4148,10.2308,9.2628,8.2218,7.6397,7.1721,6.7346,6.3857,5.4427,5.1304,4.2809,4.0646,85.8651,78.7806,77.9923,77.1677
2/11/2000,10.641,11.026,10.256,10.641,2308800.0,10.6599,10.4615,9.5769,8.4269,7.785,7.3119,6.8474,6.4964,5.5094,5.1937,4.3283,4.1078,85.8651,78.7806,77.9923,77.1677
2/14/2000,10.513,10.962,10.513,10.769,1630200.0,10.745,10.5641,9.859,8.6449,7.9303,7.4548,6.9628,6.6058,5.5768,5.2569,4.3766,4.1513,88.9045,79.6956,78.6441,77.5884
2/15/2000,10.833,10.897,10.192,10.577,1778400.0,10.5944,10.6154,10.0897,8.8558,8.0692,7.5865,7.0749,6.7115,5.6415,5.3182,4.4238,4.1937,59.9158,74.29,75.0533,75.4315
2/16/2000,10.513,10.962,10.449,10.897,1185600.0,10.7359,10.7051,10.2372,9.0481,8.2239,7.725,7.1933,6.8167,5.7097,5.3821,4.4727,4.2372,77.9171,77.1908,76.9429,76.5552
2/17/2000,10.769,11.282,10.769,11.026,1813500.0,11.0602,10.7821,10.5064,9.2212,8.3821,7.8596,7.3138,6.9248,5.7797,5.4474,4.5224,4.281,82.6043,78.2929,77.6714,76.9907
2/18/2000,11.154,11.218,10.897,10.897,1583400.0,11.1167,10.8333,10.6474,9.3974,8.5368,7.9808,7.4354,7.0278,5.849,5.5115,4.5714,4.3246,62.6556,74.2564,75.1154,75.5392
2/21/2000,10.641,11.09,10.513,11.09,362700.0,10.7417,10.8974,10.7308,9.5737,8.6842,8.1067,7.5608,7.1318,5.9191,5.577,4.6215,4.369,75.8033,76.3169,76.3715,76.2344
2/22/2000,11.09,11.09,10.256,10.256,2098200.0,10.7103,10.8333,10.7244,9.7051,8.8017,8.2035,7.6654,7.2173,5.9809,5.6334,4.667,4.4093,23.0515,54.8969,61.8113,67.6191
2/23/2000,10.385,10.705,10.0,10.128,2706600.0,10.208,10.6795,10.6923,9.8269,8.915,8.2965,7.7659,7.3011,6.0422,5.6881,4.7117,4.4491,19.8618,52.3536,59.9187,66.4244
2/24/2000,10.256,10.256,9.872,9.872,487500.0,9.9872,10.4487,10.6154,9.9391,9.0197,8.3837,7.8608,7.3814,6.1014,5.7399,4.755,4.4878,14.0355,47.4116,56.2115,64.0819
2/25/2000,9.872,9.872,8.269,8.782,3650400.0,8.8369,10.0256,10.4295,10.0032,9.0944,8.4462,7.9354,7.4444,6.15,5.7823,4.7922,4.5214,4.8903,32.6676,43.8066,55.4799
2/28/2000,8.718,9.679,8.462,9.038,3685500.0,8.9412,9.6154,10.2564,10.0577,9.1821,8.5119,8.0151,7.5118,6.2012,5.8262,4.8311,4.5562,22.673,37.7887,46.7825,56.8885
2/29/2000,9.038,9.423,8.782,9.231,2016300.0,9.078,9.4103,10.1218,10.1058,9.2778,8.5824,8.0936,7.5827,6.2535,5.8717,4.8708,4.5919,36.1115,41.5402,48.9655,57.9215
3/1/2000,9.487,10.321,9.231,9.551,1856400.0,9.8144,9.2949,9.9872,10.1122,9.3611,8.6647,8.1774,7.659,6.3092,5.9201,4.9123,4.6294,55.4619,47.4788,52.4652,59.5908
