Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
1/3/2000,2.1,2.1,2.05,2.09,130000.0,2.0892,2.068,2.038,2.012,1.989,1.961,1.9454,1.9355,1.9223,1.9114,1.9721,1.9626,79.0418,79.2474,78.0429,69.5376
1/4/2000,2.08,2.08,2.0,2.01,50000.0,2.0236,2.062,2.038,2.013,1.9923,1.9648,1.9478,1.9382,1.9248,1.9121,1.9722,1.9636,23.8334,46.5378,53.2192,56.9689
1/5/2000,1.98,1.98,1.95,1.98,94000.0,1.97,2.048,2.037,2.0125,1.9953,1.9675,1.9496,1.9403,1.9265,1.9123,1.9722,1.9644,17.1108,39.636,47.1612,53.2362
1/6/2000,1.96,1.99,1.95,1.98,92000.0,1.9589,2.032,2.035,2.0125,1.9973,1.9708,1.9512,1.9422,1.9277,1.9127,1.9719,1.9654,17.1108,39.636,47.1612,53.2362
1/7/2000,1.96,1.99,1.95,1.98,92000.0,1.9589,2.032,2.035,2.0125,1.9973,1.9708,1.9512,1.9422,1.9277,1.9127,1.9719,1.9654,17.1108,39.636,47.1612,53.2362
1/10/2000,1.96,1.99,1.95,1.98,92000.0,1.9589,2.032,2.035,2.0125,1.9973,1.9708,1.9512,1.9422,1.9277,1.9127,1.9719,1.9654,17.1108,39.636,47.1612,53.2362
1/11/2000,1.97,1.98,1.97,1.98,96000.0,1.9765,2.008,2.031,2.013,1.9983,1.9738,1.953,1.9427,1.9284,1.9129,1.9716,1.9663,17.1108,39.636,47.1612,53.2362
1/12/2000,1.98,1.98,1.97,1.98,46000.0,1.9761,1.986,2.027,2.013,2.0003,1.9765,1.9548,1.944,1.9292,1.9133,1.9709,1.9671,17.1108,39.636,47.1612,53.2362
1/13/2000,1.95,1.97,1.95,1.97,268000.0,1.9672,1.978,2.02,2.012,2.0013,1.9785,1.9562,1.945,1.9302,1.9136,1.9704,1.9679,11.5927,36.7277,44.8711,51.9371
1/14/2000,1.95,1.97,1.95,1.97,148000.0,1.9669,1.976,2.012,2.0115,2.0013,1.9805,1.9582,1.9465,1.9312,1.9139,1.9698,1.9685,11.5927,36.7277,44.8711,51.9371
1/17/2000,2.0,2.01,1.98,1.99,188000.0,1.9965,1.978,2.005,2.0115,2.002,1.983,1.9606,1.9485,1.9317,1.9147,1.9693,1.9691,63.9331,46.6386,50.4518,54.3227
1/18/2000,2.0,2.0,1.98,1.99,38000.0,1.9942,1.98,1.994,2.0115,2.0023,1.9855,1.9632,1.95,1.9321,1.9155,1.969,1.9696,63.9331,46.6386,50.4518,54.3227
1/19/2000,2.0,2.01,2.0,2.0,152000.0,2.0043,1.984,1.985,2.0115,2.003,1.988,1.9658,1.952,1.9326,1.917,1.9686,1.9705,78.3517,51.4509,53.1991,55.5045
1/20/2000,2.0,2.0,1.98,1.99,154000.0,1.9922,1.988,1.983,2.0105,2.003,1.99,1.9684,1.9537,1.9329,1.9179,1.9682,1.971,48.9802,46.7117,50.2015,54.0577
1/21/2000,1.98,2.0,1.98,1.98,128000.0,1.9897,1.99,1.983,2.01,2.0027,1.9923,1.9706,1.9552,1.9334,1.9189,1.9677,1.9716,31.3513,42.3257,47.3295,52.6383
1/24/2000,2.0,2.0,1.98,1.98,72000.0,1.9956,1.988,1.983,2.009,2.0027,1.9938,1.9732,1.9565,1.9339,1.9202,1.9671,1.9721,31.3513,42.3257,47.3295,52.6383
