Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
8/8/2014,2.83,2.9,2.83,2.88,5714800.0,2.8654,2.8539999999999996,2.8480000000000003,2.7985,2.7663,2.7485,2.7334,2.7285,2.6537,2.6343,2.5997,2.5957,72.579,66.2953,64.4416,61.4163
8/11/2014,2.88,2.99,2.88,2.93,5044800.0,2.9452,2.8739999999999997,2.858,2.8080000000000003,2.7739999999999996,2.7548,2.739,2.7315,2.6577,2.6374,2.6018,2.5979,87.3333,73.1677,69.3434,64.1755
8/12/2014,2.87,2.95,2.87,2.91,2537700.0,2.9089,2.8939999999999997,2.862,2.8160000000000003,2.781,2.7605,2.7438,2.7342,2.6615,2.6403,2.6038,2.5992,66.0196,67.0184,65.4564,62.331
8/13/2014,2.87,2.93,2.87,2.92,3970800.0,2.917,2.9019999999999997,2.8689999999999998,2.8255,2.7887,2.7668,2.7486,2.737,2.6656,2.6436,2.6059,2.6003,71.277,68.5072,66.4685,62.8828
8/14/2014,2.89,2.96,2.89,2.96,1751000.0,2.9459,2.92,2.8810000000000002,2.838,2.7977,2.7739999999999996,2.7539999999999996,2.7405,2.6701,2.647,2.6083,2.6023,85.1046,73.8243,70.2262,65.00399999999999
8/15/2014,2.91,2.96,2.91,2.95,1351700.0,2.9422,2.9339999999999997,2.8939999999999997,2.846,2.806,2.7805,2.7596,2.7443,2.6746,2.6503,2.6105,2.6044,72.0902,70.4777,68.1695,64.0572
8/18/2014,2.91,2.95,2.91,2.93,1348700.0,2.9321,2.9339999999999997,2.904,2.8555,2.8139999999999996,2.7855,2.7644,2.7483,2.679,2.6536,2.6127,2.6065,49.4186,63.9545,64.1244,62.1834
8/19/2014,2.91,2.93,2.9,2.93,1854800.0,2.9212,2.938,2.9160000000000004,2.865,2.821,2.7913,2.7698,2.7522,2.6831,2.6568,2.6149,2.6085,49.4186,63.9545,64.1244,62.1834
8/20/2014,2.93,2.96,2.92,2.94,2165500.0,2.9411,2.9419999999999997,2.9219999999999997,2.8760000000000003,2.8293,2.7969999999999997,2.7748,2.7568,2.6872,2.6603,2.6173,2.6105,62.6375,65.9489,65.3178,62.7662
8/21/2014,2.92,2.96,2.91,2.96,2850700.0,2.9288,2.9419999999999997,2.931,2.8855,2.838,2.8035,2.7812,2.7623,2.6918,2.6639,2.6197,2.6126,79.0571,69.7187,67.6365,63.9167
8/22/2014,2.94,2.97,2.94,2.96,1965800.0,2.9558,2.944,2.9389999999999996,2.8935,2.8453,2.8095,2.7866,2.7677,2.6961,2.6677,2.6221,2.6145,79.0571,69.7187,67.6365,63.9167
8/25/2014,2.95,2.96,2.94,2.94,1376600.0,2.9489,2.946,2.94,2.8989999999999996,2.852,2.8155,2.7918,2.7725,2.7002,2.6711,2.6243,2.6164,39.7511,61.1504,62.7695,61.8708
8/26/2014,2.95,2.96,2.93,2.94,2401900.0,2.9445,2.948,2.943,2.9025,2.8583,2.8215,2.7969999999999997,2.7769999999999997,2.7043,2.6745,2.6266,2.6183,39.7511,61.1504,62.7695,61.8708
8/27/2014,2.93,2.94,2.84,2.86,707100.0,2.8773,2.932,2.937,2.903,2.8627,2.8258,2.8008,2.78,2.7075,2.6771,2.6284,2.6198,7.2609,37.6966,47.0599,54.4151
8/28/2014,2.85,2.94,2.85,2.9,1721900.0,2.9073,2.92,2.931,2.906,2.8689999999999998,2.8310000000000004,2.8054,2.7835,2.7112,2.6801,2.6304,2.6216,42.5054,48.7528,53.347,57.0897
8/29/2014,2.84,2.9,2.84,2.89,2462100.0,2.895,2.906,2.925,2.9095,2.8723,2.8358,2.8094,2.7872,2.7149,2.6829,2.6324,2.6232,37.2034,46.4352,51.6942,56.2364
9/1/2014,2.84,2.9,2.84,2.89,2462100.0,2.895,2.906,2.925,2.9095,2.8723,2.8358,2.8094,2.7872,2.7149,2.6829,2.6324,2.6232,37.2034,46.4352,51.6942,56.2364
9/2/2014,2.85,2.94,2.85,2.93,915400.0,2.9232,2.904,2.925,2.9145,2.8787,2.8418,2.8134,2.7912,2.7189,2.6863,2.6345,2.6251,64.0839,55.8745,57.3821,58.7855
9/3/2014,2.9,2.94,2.9,2.94,2087900.0,2.9207,2.904,2.926,2.9210000000000003,2.8853,2.8473,2.8182,2.7958,2.7232,2.6897,2.6367,2.6271,69.0518,57.9582,58.6917,59.3972
9/4/2014,2.91,2.93,2.89,2.89,2255200.0,2.9106,2.91,2.9210000000000003,2.9215,2.891,2.8523,2.8218,2.7992,2.727,2.6927,2.6387,2.6288,33.8923,45.7942,50.3594,55.1628
9/5/2014,2.88,2.93,2.88,2.9,1162900.0,2.9073,2.91,2.915,2.923,2.8953,2.8573,2.8258,2.8035,2.7307,2.6958,2.6407,2.6305,42.6523,48.2385,51.8323,55.8145
9/8/2014,2.92,2.95,2.86,2.86,977200.0,2.9155,2.904,2.905,2.9219999999999997,2.8973,2.8603,2.8286,2.8063,2.734,2.6984,2.6422,2.6319999999999997,23.7608,40.1013,45.9583,52.6479
9/9/2014,2.9,2.94,2.87,2.89,1882300.0,2.8948,2.8960000000000004,2.9,2.92,2.8993,2.864,2.8324,2.8098,2.738,2.7014,2.6441,2.6337,49.1156,47.5644,50.4901,54.6444
9/10/2014,2.87,2.93,2.86,2.9,2747400.0,2.8985,2.888,2.8960000000000004,2.9195,2.9003,2.8678,2.8364,2.8135,2.7421,2.7045,2.6460000000000004,2.6354,56.3705,49.905,51.9369,55.2943
9/11/2014,2.89,3.04,2.89,3.02,16147700.0,3.0038,2.9139999999999997,2.912,2.9245,2.906,2.875,2.843,2.8193,2.7473,2.7088,2.6487,2.6378,87.7664,68.7417,65.1122,62.04600000000001
