Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D
10/12/2000,1.95,1.95,1.95,1.95,2000.0,1.95,1.912,1.955,2.061,2.1283,2.148,2.1526,2.166,2.1778,2.1924,2.2346,2.2705,54.3129,43.2483,41.159,40.7772
10/13/2000,1.94,1.95,1.9,1.95,8000.0,1.9425,1.9380000000000002,1.946,2.049,2.1180000000000003,2.1418,2.1476,2.1618,2.1747,2.1898,2.2328,2.2643,54.3129,43.2483,41.159,40.7772
10/16/2000,1.95,2.0,1.95,1.96,39000.0,1.9685,1.932,1.9369999999999998,2.0395,2.108,2.1358,2.1428,2.1578,2.1717,2.1872,2.231,2.2591,58.2121,44.4901,42.1092,41.3761
10/17/2000,1.93,2.0,1.93,1.93,8000.0,1.965,1.95,1.9269999999999998,2.0285,2.097,2.129,2.1394,2.1525,2.1678,2.1841,2.229,2.2535,42.0593,41.4306,40.0211,40.1171
10/18/2000,1.93,1.93,1.93,1.93,1000.0,1.93,1.944,1.919,2.016,2.086,2.1223,2.1358,2.1475,2.1641,2.181,2.2269,2.248,42.0593,41.4306,40.0211,40.1171
10/19/2000,1.93,1.93,1.93,1.93,1000.0,1.93,1.944,1.919,2.016,2.086,2.1223,2.1358,2.1475,2.1641,2.181,2.2269,2.248,42.0593,41.4306,40.0211,40.1171
10/20/2000,1.93,1.93,1.93,1.93,1000.0,1.93,1.944,1.919,2.016,2.086,2.1223,2.1358,2.1475,2.1641,2.181,2.2269,2.248,42.0593,41.4306,40.0211,40.1171
10/23/2000,1.9,1.9,1.9,1.9,1000.0,1.9,1.9340000000000002,1.923,2.001,2.0737,2.1148,2.1318,2.1418,2.16,2.1779,2.2248,2.2430000000000003,25.8932,38.1135,37.8447,38.852
10/24/2000,1.9,1.9,1.9,1.9,1000.0,1.9,1.9240000000000002,1.931,1.9865,2.0613,2.1069999999999998,2.1258,2.1362,2.1565,2.1749,2.2228,2.2393,25.8932,38.1135,37.8447,38.852
10/25/2000,1.89,1.9,1.89,1.9,4000.0,1.8925,1.912,1.922,1.9725,2.0493,2.0993,2.1198,2.1305,2.1535,2.1719,2.221,2.2354,25.8932,38.1135,37.8447,38.852
10/26/2000,1.89,1.9,1.89,1.9,4000.0,1.8925,1.912,1.922,1.9725,2.0493,2.0993,2.1198,2.1305,2.1535,2.1719,2.221,2.2354,25.8932,38.1135,37.8447,38.852
10/27/2000,1.9,1.91,1.9,1.9,11000.0,1.9027,1.906,1.9280000000000002,1.9585,2.037,2.0918,2.1138,2.1248,2.1513,2.1693,2.2199,2.2317,25.8932,38.1135,37.8447,38.852
10/30/2000,1.88,1.88,1.86,1.86,17000.0,1.8741,1.892,1.9180000000000001,1.942,2.0237,2.083,2.1069999999999998,2.1183,2.1483,2.1665,2.2189,2.2285,7.2037,32.5478,34.4817,37.0672
10/31/2000,1.8,1.8,1.8,1.8,2000.0,1.8,1.8719999999999999,1.903,1.929,2.0083,2.072,2.099,2.1109999999999998,2.1445,2.1632,2.2176,2.2246,2.7453,26.113000000000003,30.1533,34.6006
11/1/2000,1.8,1.8,1.8,1.8,2000.0,1.8,1.8719999999999999,1.903,1.929,2.0083,2.072,2.099,2.1109999999999998,2.1445,2.1632,2.2176,2.2246,2.7453,26.113000000000003,30.1533,34.6006
11/2/2000,1.83,1.83,1.82,1.82,13000.0,1.8231,1.8559999999999999,1.89,1.9180000000000001,1.996,2.061,2.0914,2.1047,2.1407,2.16,2.2167,2.221,25.7288,31.2128,33.1649,36.0676
11/3/2000,1.85,1.85,1.82,1.82,4000.0,1.83,1.84,1.876,1.9065,1.985,2.05,2.0838,2.0983,2.1369,2.1568,2.2154,2.2175,25.7288,31.2128,33.1649,36.0676
11/6/2000,1.82,1.82,1.82,1.82,1000.0,1.82,1.824,1.865,1.896,1.974,2.039,2.0762,2.0937,2.1331,2.1533,2.2139,2.2139,25.7288,31.2128,33.1649,36.0676
11/7/2000,1.8,1.8,1.8,1.8,1000.0,1.8,1.8119999999999998,1.8519999999999999,1.8855,1.9613,2.0275,2.0682,2.0885,2.1293,2.1492,2.2127,2.2108,14.3129,28.4199,31.4701,35.1936
11/8/2000,1.82,1.82,1.82,1.82,7000.0,1.82,1.8159999999999998,1.844,1.8835,1.9487,2.0163,2.0606,2.0838,2.1253,2.1448,2.2099,2.2084,48.5533,34.9665,35.0448,36.7784
11/9/2000,1.82,1.82,1.82,1.82,5000.0,1.82,1.8159999999999998,1.8359999999999999,1.8835,1.9363,2.005,2.0528,2.0775,2.1215,2.1406,2.2063,2.206,48.5533,34.9665,35.0448,36.7784
11/10/2000,1.83,1.83,1.83,1.83,1000.0,1.83,1.818,1.829,1.8755,1.9247,1.9943,2.0452,2.0713,2.1180000000000003,2.1363,2.2036,2.2037,64.5084,38.5245,36.9519,37.5949
11/13/2000,1.8,1.8,1.8,1.8,7000.0,1.8,1.814,1.819,1.8735,1.912,1.9825,2.0372,2.0647,2.114,2.1321,2.2005,2.2012,26.9281,32.5198,33.7505,36.1461
11/14/2000,1.8,1.87,1.8,1.87,23000.0,1.8122,1.828,1.82,1.869,1.9013,1.9728,2.0304,2.0592,2.1107,2.1284,2.1979,2.1995,75.9551,52.1129,45.5947,41.5804
11/15/2000,1.85,1.86,1.84,1.85,34000.0,1.8485,1.834,1.825,1.864,1.8943,1.9625,2.0226,2.0533,2.1073,2.1255,2.1954,2.1976,58.9921,47.6645,43.2173,40.5602
11/16/2000,1.8,1.8,1.79,1.79,30000.0,1.7997,1.828,1.8219999999999998,1.8559999999999999,1.886,1.9525,2.0132,2.0465,2.1032,2.1216,2.1927,2.1951,29.4228,37.0039,36.9867,37.6901
11/17/2000,1.8,1.8,1.79,1.8,37000.0,1.7995,1.8219999999999998,1.82,1.848,1.8777,1.9438,2.004,2.0398,2.0993,2.1178,2.1897,2.1927,37.282,39.5394,38.5761,38.4411
11/20/2000,1.79,1.8,1.79,1.8,20000.0,1.7995,1.8219999999999998,1.818,1.8415,1.87,1.935,1.9948,2.0332,2.0956,2.1134,2.1867,2.1903,37.282,39.5394,38.5761,38.4411
11/21/2000,1.79,1.8,1.79,1.8,20000.0,1.7995,1.8219999999999998,1.818,1.8415,1.87,1.935,1.9948,2.0332,2.0956,2.1134,2.1867,2.1903,37.282,39.5394,38.5761,38.4411
11/22/2000,1.8,1.8,1.75,1.8,5000.0,1.79,1.808,1.818,1.835,1.8630000000000002,1.9255,1.9856,2.0265,2.092,2.1093,2.1838,2.1877,37.282,39.5394,38.5761,38.4411
11/23/2000,1.8,1.8,1.8,1.8,25000.0,1.8,1.798,1.8159999999999998,1.83,1.861,1.9155,1.9762,2.0198,2.0884,2.105,2.1806,2.1853,37.282,39.5394,38.5761,38.4411
11/24/2000,1.8,1.8,1.8,1.8,10000.0,1.8,1.8,1.814,1.825,1.8603,1.9058,1.9668,2.013,2.0849,2.1013,2.1771,2.1831,37.282,39.5394,38.5761,38.4411
11/27/2000,1.79,1.8,1.78,1.78,29000.0,1.7879,1.796,1.8090000000000002,1.819,1.8533,1.8958,1.9572,2.0058,2.0812,2.0978,2.1742,2.1808,13.8532,34.5305,35.9491,37.3737
11/28/2000,1.8,1.81,1.79,1.81,174000.0,1.8003,1.798,1.81,1.8145,1.8523,1.8865,1.9480000000000002,1.9993,2.0777,2.0952,2.1716,2.1794,64.3129,46.0612,42.2968,39.9606
11/29/2000,1.81,1.86,1.81,1.86,26000.0,1.8558,1.81,1.8090000000000002,1.8145,1.849,1.8783,1.94,1.9935,2.0748,2.0927,2.1692,2.1785,85.5187,59.4516,51.0109,43.9522
11/30/2000,1.85,1.87,1.85,1.86,85000.0,1.8535,1.8219999999999998,1.81,1.8175,1.8459999999999999,1.8733,1.932,1.9872,2.0718,2.09,2.1669,2.1776,85.5187,59.4516,51.0109,43.9522
12/1/2000,1.87,1.88,1.86,1.87,289000.0,1.8632,1.8359999999999999,1.818,1.82,1.8433,1.869,1.9256,1.9807,2.0689,2.0873,2.1653,2.177,88.574,61.8489,52.6688,44.7385
12/4/2000,1.88,1.9,1.87,1.88,76000.0,1.8845,1.8559999999999999,1.8259999999999998,1.8230000000000002,1.8407,1.8648,1.9202,1.9743,2.0659,2.0846,2.1632,2.1762,91.3207,64.2283,54.3332,45.5291
12/5/2000,1.86,1.86,1.86,1.86,22000.0,1.86,1.8659999999999999,1.8319999999999999,1.825,1.8383,1.8605,1.9144,1.9677,2.0627,2.0818,2.1609,2.1751,53.056999999999995,56.3246,50.5078,44.2202
12/6/2000,1.86,1.86,1.86,1.86,2000.0,1.86,1.8659999999999999,1.838,1.828,1.8359999999999999,1.8568,1.9080000000000001,1.9609999999999999,2.0594,2.0791,2.1593,2.1742,53.056999999999995,56.3246,50.5078,44.2202
12/7/2000,1.86,1.86,1.84,1.84,45000.0,1.8413,1.8619999999999999,1.8419999999999999,1.829,1.834,1.8563,1.9008,1.9538,2.0563,2.0759,2.1576,2.1718,27.3102,48.7346,46.6949,42.9004
12/8/2000,1.84,1.85,1.83,1.85,20000.0,1.8430000000000002,1.858,1.847,1.8305,1.8323,1.857,1.8940000000000001,1.9468,2.053,2.073,2.1557,2.1688,46.7064,52.3467,48.7771,43.7685
12/11/2000,1.83,1.83,1.83,1.83,1000.0,1.83,1.848,1.8519999999999999,1.8305,1.83,1.8530000000000002,1.8869999999999998,1.9397,2.0494,2.0701,2.1529,2.1663,25.9407,45.1836,44.9918,42.4338
12/12/2000,1.83,1.83,1.82,1.82,9000.0,1.8256,1.84,1.8530000000000002,1.8315,1.8273,1.8525,1.8798,1.9322,2.0456,2.0669,2.1504,2.1636,19.4538,41.9543,43.1872,41.7748
12/13/2000,1.82,1.82,1.76,1.8,37000.0,1.8178,1.828,1.847,1.828,1.8253,1.8485,1.8719999999999999,1.9245,2.0416,2.0636,2.1479,2.1609,11.1152,36.1423,39.7529,40.4745
12/14/2000,1.78,1.78,1.76,1.76,5000.0,1.776,1.8119999999999998,1.837,1.8235,1.824,1.8438,1.8659999999999999,1.9162,2.0371,2.06,2.1449,2.1583,4.8625,27.5539,33.9398,38.0256
12/15/2000,1.72,1.72,1.72,1.72,1000.0,1.72,1.786,1.8219999999999998,1.82,1.8207,1.838,1.8596,1.9083,2.0323,2.056,2.1417,2.1555,2.6372,21.7416,29.3222,35.7857
12/18/2000,1.7,1.7,1.65,1.7,8000.0,1.6838,1.76,1.804,1.815,1.8167,1.8315,1.8526,1.9008,2.0273,2.0519,2.1385,2.1522,1.9633,19.4355,27.3207,34.7276
12/19/2000,1.7,1.7,1.65,1.7,8000.0,1.6838,1.76,1.804,1.815,1.8167,1.8315,1.8526,1.9008,2.0273,2.0519,2.1385,2.1522,1.9633,19.4355,27.3207,34.7276
12/20/2000,1.7,1.7,1.6,1.6,16000.0,1.6675,1.716,1.778,1.805,1.8093,1.8233,1.844,1.8917,2.0208,2.0472,2.1347,2.1486,0.6732,12.1728,19.9779,30.1211
12/21/2000,1.56,1.58,1.55,1.58,6000.0,1.5633,1.672,1.75,1.794,1.8019999999999998,1.8145,1.8354,1.8817,2.0143,2.0423,2.1307,2.1448,0.5623,11.2287,18.8847,29.3165
12/22/2000,1.56,1.57,1.56,1.57,5000.0,1.5659999999999998,1.6340000000000001,1.723,1.7825,1.7937,1.8063,1.8296,1.8712,2.0076,2.0374,2.1261,2.1408,0.5005,10.7593,18.3442,28.916999999999998
12/25/2000,1.56,1.57,1.56,1.57,5000.0,1.5659999999999998,1.6340000000000001,1.723,1.7825,1.7937,1.8063,1.8296,1.8712,2.0076,2.0374,2.1261,2.1408,0.5005,10.7593,18.3442,28.916999999999998
12/26/2000,1.57,1.58,1.57,1.57,7000.0,1.5757,1.604,1.695,1.771,1.7853,1.798,1.8246,1.8608,2.0009,2.0326,2.1217,2.1365,0.5005,10.7593,18.3442,28.916999999999998
12/27/2000,1.57,1.58,1.57,1.57,7000.0,1.5757,1.604,1.695,1.771,1.7853,1.798,1.8246,1.8608,2.0009,2.0326,2.1217,2.1365,0.5005,10.7593,18.3442,28.916999999999998
12/28/2000,1.57,1.58,1.57,1.57,7000.0,1.5757,1.604,1.695,1.771,1.7853,1.798,1.8246,1.8608,2.0009,2.0326,2.1217,2.1365,0.5005,10.7593,18.3442,28.916999999999998
12/29/2000,1.57,1.58,1.57,1.57,7000.0,1.5757,1.604,1.695,1.771,1.7853,1.798,1.8246,1.8608,2.0009,2.0326,2.1217,2.1365,0.5005,10.7593,18.3442,28.916999999999998
1/1/2001,1.57,1.58,1.57,1.57,7000.0,1.5757,1.604,1.695,1.771,1.7853,1.798,1.8246,1.8608,2.0009,2.0326,2.1217,2.1365,0.5005,10.7593,18.3442,28.916999999999998
1/2/2001,1.52,1.52,1.5,1.5,18000.0,1.5122,1.564,1.662,1.757,1.7743,1.788,1.8148,1.8495,1.9935,2.0272,2.1156,2.1325,0.1832,7.8515,14.8854,26.2384
1/3/2001,1.5,1.5,1.46,1.46,19000.0,1.4805,1.536,1.626,1.7395,1.7630000000000001,1.777,1.8072,1.8375,1.9857,2.0213,2.1094,2.1284,0.1187,6.6894,13.3378,24.8762
1/4/2001,1.48,1.48,1.45,1.45,13000.0,1.4738,1.51,1.591,1.719,1.749,1.7668,1.797,1.8252,1.9777,2.0155,2.1025,2.1242,0.1049,6.422000000000001,12.9747,24.5466
1/5/2001,1.45,1.45,1.41,1.45,21000.0,1.4295,1.486,1.56,1.6985,1.7357,1.758,1.787,1.815,1.9698,2.0096,2.0961,2.1201,0.1049,6.422000000000001,12.9747,24.5466
