Date,Dividends
2000-01-06,0.030000
2000-04-28,0.020000
2001-01-18,0.020000
2001-04-10,0.020000
2002-01-21,0.020000
2002-04-22,0.025000
2003-01-15,0.025000
2003-04-17,0.035000
2004-01-13,0.045000
2004-04-14,0.035000
2005-01-13,0.025000
2005-04-14,0.035000
2006-01-11,0.045000
2006-04-14,0.035000
2007-01-16,0.045000
2007-04-17,0.115000
2007-07-17,0.115000
2008-01-14,0.125000
2008-07-16,0.125000
2009-01-13,0.040000
2009-08-04,0.040000
2010-01-26,0.060000
2010-08-04,0.060000
2011-01-13,0.060000
2011-07-08,0.060000
2012-01-04,0.060000
2012-07-12,0.060000
2013-01-04,0.060000
2013-07-15,0.060000
2014-01-09,0.060000
2014-07-10,0.060000
2015-01-12,0.060000
2015-07-13,0.060000
2016-01-12,0.060000
2016-07-14,0.060000
2017-01-03,0.060000
2017-07-12,0.060000
2018-01-03,0.060000
2018-07-12,0.060000
2019-01-03,0.060000
2019-07-18,0.060000
2020-01-24,0.060000
2022-02-09,0.060000
