Date,Dividends
2000-07-05,0.025000
2000-10-05,0.013000
2001-07-05,0.025000
2001-10-09,0.013000
2002-07-05,0.025000
2002-10-08,0.014000
2003-07-07,0.027000
2003-10-08,0.014000
2004-07-05,0.029000
2004-10-05,0.016000
2005-07-06,0.032000
2005-10-05,0.020000
2006-07-03,0.038000
2006-10-04,0.024000
2007-06-27,0.040000
2007-09-26,0.027000
2007-12-04,0.300000
2008-06-26,0.043000
2008-09-26,0.030000
2009-06-26,0.040000
2009-09-28,0.030000
2010-06-28,0.042000
2010-09-28,0.033000
2011-06-28,0.045000
2011-09-28,0.035000
2012-06-27,0.045000
2012-09-26,0.035000
2013-06-26,0.045000
2013-11-20,0.500000
2014-09-26,0.010000
2015-06-26,0.030000
2016-06-28,0.035000
2017-03-08,0.065000
2017-06-01,0.060000
2017-09-11,0.085000
2018-03-12,0.070000
2018-06-07,0.060000
2018-09-14,0.085000
2019-03-12,0.070000
2019-06-26,0.060000
2019-06-27,0.060000
2019-10-29,0.065000
2020-03-13,0.095000
2020-06-29,0.060000
2020-09-10,0.065000
2021-03-12,0.085000
2022-03-14,0.110000
