Date,Dividends
2000-10-27,0.125286
2001-04-03,0.023201
2001-10-30,0.102085
2002-02-22,0.032481
2002-10-28,0.069603
2003-03-11,0.055682
2003-10-14,0.269132
2004-03-16,0.078883
2004-11-04,0.143846
2005-03-11,0.078883
2005-11-11,0.143846
2006-03-13,0.083524
2006-10-27,0.139206
2007-03-13,0.083524
2007-11-02,0.139206
2008-02-28,0.083524
2008-11-03,0.139206
2009-02-25,0.083524
2009-10-30,0.139206
2010-03-11,0.083524
2010-10-25,0.139206
2011-03-11,0.083524
2011-10-31,0.144971
2012-03-13,0.106312
2012-10-31,0.260947
2013-03-08,0.144971
2013-10-25,0.289941
2014-03-11,0.144971
2014-10-29,0.251283
2015-03-10,0.144971
2015-10-29,0.251283
2016-03-08,0.150000
2016-10-31,0.260000
2017-03-07,0.150000
2017-10-27,0.300000
2018-03-12,0.160000
2018-11-01,0.320000
2019-03-11,0.160000
2019-11-01,0.340000
2020-03-11,0.160000
2020-11-04,0.200000
2021-03-12,0.147800
2021-11-01,0.352200
2022-03-14,0.180000
