Date,Dividends
2000-04-26,0.028380
2001-05-08,0.070951
2001-11-12,0.033111
2002-05-08,0.037841
2002-12-20,0.037841
2003-06-16,0.037841
2004-06-04,0.018920
2005-05-18,0.028380
2006-06-26,0.037841
2007-06-25,0.037841
2007-12-12,0.037841
2008-06-11,0.130550
2008-12-11,0.037841
2009-06-11,0.137645
2009-12-17,0.075681
2010-06-10,0.140956
2010-12-13,0.075681
2011-05-12,0.111157
2011-12-16,0.075681
2012-04-09,0.003122
2012-12-18,0.056761
2013-04-10,0.072181
2013-12-30,0.056761
2014-04-01,0.054680
2014-12-22,0.018920
2015-05-19,0.036000
2015-08-12,0.040000
2016-05-11,0.045000
2016-08-10,0.040000
2017-06-07,0.060000
2017-08-11,0.050000
2018-05-23,0.080000
2018-09-13,0.050000
2019-05-16,0.090000
2019-09-18,0.050000
2020-05-05,0.100000
