Date,Dividends
2000-07-14,0.082038
2001-01-02,0.048258
2001-09-11,0.077213
2001-12-31,0.072387
2002-07-30,0.072387
2002-12-30,0.072387
2003-07-29,0.072387
2003-12-09,0.072387
2004-08-13,0.048258
2004-12-02,0.096516
2005-09-01,0.096516
2005-12-09,0.096516
2006-08-16,0.193032
2006-12-11,0.096516
2007-08-15,0.193032
2007-12-10,0.144774
2008-08-15,0.193032
2008-12-09,0.144774
2009-08-19,0.193032
2009-12-08,0.144774
2010-08-06,0.200000
2010-12-08,0.150000
2011-09-26,0.100000
2014-05-20,0.050000
2014-09-08,0.040000
2015-02-24,0.060000
2015-08-18,0.075000
2016-02-22,0.125000
2016-04-18,0.100000
2016-08-18,0.100000
2017-02-24,0.200000
2017-05-19,0.070000
2017-08-21,0.070000
2017-11-15,0.070000
2018-02-26,0.090000
2018-05-24,0.070000
2018-08-17,0.070000
2018-11-30,0.070000
2019-03-06,0.090000
2019-06-10,0.070000
2019-08-27,0.070000
2019-11-26,0.070000
2020-03-02,0.030000
2020-05-22,0.070000
2020-08-27,0.070000
2020-12-02,0.070000
2021-03-04,0.120000
2021-05-24,0.070000
2021-08-27,0.070000
2021-12-02,0.070000
2022-03-03,0.120000
