Date,Dividends
2000-05-05,0.750000
2000-09-08,0.280000
2001-05-10,0.860000
2001-09-18,0.300000
2002-04-30,0.732300
2002-09-03,0.300000
2002-10-03,0.150000
2003-04-23,0.520000
2003-08-19,0.350000
2004-04-28,0.609100
2004-08-24,0.350000
2005-05-13,0.734600
2005-08-23,0.350000
2006-05-16,1.008500
2006-08-25,0.277800
2007-05-15,1.055226
2007-08-27,0.274000
2008-05-12,0.611900
2008-08-26,0.500000
2009-05-05,0.800000
2009-09-15,0.500000
2010-05-10,1.000000
2010-09-13,0.500000
2011-05-10,1.150000
2011-09-12,0.550000
2012-05-14,1.250000
2012-09-18,0.550000
2013-05-21,1.550000
2013-09-10,0.600000
2014-05-12,1.750000
2014-08-29,0.600000
2015-05-11,1.750000
2015-08-26,0.650000
2015-11-09,0.650000
2016-05-17,0.200000
2016-09-06,0.700000
2016-11-11,0.700000
2017-05-16,1.300000
2017-09-06,0.700000
2017-11-21,0.700000
2018-05-11,1.350000
2018-05-14,1.350000
2018-08-30,0.700000
2018-11-16,0.700000
2019-05-07,1.400000
2019-05-08,1.400000
2019-09-13,0.700000
2019-11-28,0.700000
2020-04-14,1.400000
2020-09-14,0.700000
2020-11-26,0.700000
2021-04-20,0.920000
2021-09-14,0.700000
2021-11-24,0.700000
