Date,Dividends
2000-07-03,0.006986
2001-03-07,0.013098
2002-05-17,0.020433
2003-04-21,0.025541
2004-04-21,0.039021
2004-12-17,0.070948
2005-04-01,0.026606
2005-08-08,0.035474
2006-03-21,0.026606
2006-10-03,0.035474
2007-03-16,0.017737
2007-08-01,0.044343
2008-02-27,0.017737
2008-08-01,0.053211
2009-02-26,0.045609
2009-08-03,0.054731
2010-02-03,0.046280
2010-08-03,0.046280
2011-02-10,0.061090
2011-08-05,0.037024
2012-02-15,0.051834
2012-08-03,0.037024
2013-02-21,0.055536
2013-08-06,0.040727
2014-02-18,0.055536
2014-08-08,0.046000
2015-02-18,0.062000
2015-08-12,0.048000
2016-02-18,0.064000
2016-08-10,0.052000
2017-02-16,0.064000
2017-08-07,0.054000
2018-03-13,0.068000
2018-09-05,0.064000
2019-03-05,0.074000
2019-08-28,0.066000
2020-03-11,0.080000
2021-03-11,0.130000
2021-09-13,0.075000
2022-03-11,0.077000
