Date,Dividends
2000-01-14,0.033333
2000-04-24,0.033333
2000-09-04,0.041667
2001-05-10,0.041667
2001-09-03,0.041667
2002-05-02,0.041667
2002-09-03,0.037500
2002-11-27,0.104167
2003-05-12,0.052083
2003-09-10,0.037500
2004-05-19,0.066667
2004-09-13,0.041667
2005-01-06,0.041667
2005-05-13,0.041667
2005-09-12,0.041667
2006-09-12,0.166667
2007-05-22,0.125000
2007-09-11,0.041667
2008-04-24,0.516667
2008-05-20,0.208333
2008-09-10,0.041667
2009-05-19,0.150000
2009-09-09,0.041667
2010-02-25,0.416667
2010-05-20,0.150000
2010-09-08,0.541667
2011-05-20,0.150000
2011-09-09,0.083333
2012-05-25,0.108333
2012-09-11,0.058333
2013-05-15,0.108333
2013-09-06,0.066667
2014-05-16,0.141667
2014-09-09,0.058333
2015-05-14,0.133333
2015-09-08,0.066667
2016-05-11,0.141667
2016-09-07,0.066667
2017-05-11,0.141667
2017-09-07,0.066667
2018-05-16,0.183333
2018-09-13,0.080000
2019-05-21,0.200000
2019-05-23,0.200000
2019-09-13,0.080000
2020-05-15,0.230000
2020-09-10,0.080000
2021-05-12,0.160000
2021-09-09,0.100000
